cohort,age_band,bin,rank,feature,feature_type,combined_importance,shap_norm,ffa_norm,is_top20,is_pt_like
opioid_ed,65_74,low,28,item_cpt_97112,cpt,0.0176916515928839,0.032019237302536,0.0033640658832317,False,True
opioid_ed,65_74,low,52,item_cpt_97162,cpt,0.0106798220413075,0.0199695631893893,0.0013900808932257,False,True
opioid_ed,65_74,low,55,item_cpt_97110,cpt,0.0101547898754314,0.0187695610810564,0.0015400186698064,False,True
opioid_ed,65_74,low,94,item_cpt_97530,cpt,0.0053896344693945,0.0105247506562364,0.0002545182825525,False,True
opioid_ed,65_74,low,106,item_cpt_97150,cpt,0.0041253562412948,0.0079643659543164,0.0002863465282732,False,True
opioid_ed,65_74,low,128,item_cpt_97001,cpt,0.002638272335863,0.0050668528373523,0.0002096918343738,False,True
opioid_ed,65_74,low,225,item_cpt_97035,cpt,0.0003216987477378,0.0006405599812225,2.837514253147212e-06,False,True
opioid_ed,65_74,low,294,item_cpt_97535,cpt,8.208121328926594e-05,0.000164046085503,1.1634107546939305e-07,False,True
opioid_ed,65_74,medium,20,item_cpt_97112,cpt,0.0284491137861726,0.0514880730620111,0.0054101545103342,True,True
opioid_ed,65_74,medium,24,item_cpt_97140,cpt,0.0257955786144262,0.0473854619471028,0.0042056952817495,False,True
opioid_ed,65_74,medium,49,item_cpt_97162,cpt,0.0167219167787319,0.0312668155039923,0.0021770180534716,False,True
opioid_ed,65_74,medium,58,item_cpt_97110,cpt,0.014098243556736,0.0260574115346129,0.0021390755788591,False,True
opioid_ed,65_74,medium,90,item_cpt_97530,cpt,0.0081831897657072,0.0159797180947379,0.0003866614366764,False,True
opioid_ed,65_74,medium,106,item_cpt_97150,cpt,0.0063335269128908,0.0122271216251799,0.0004399322006018,False,True
opioid_ed,65_74,medium,112,item_cpt_97001,cpt,0.0057211529120863,0.0109879990939174,0.0004543067302551,False,True
opioid_ed,65_74,medium,225,item_cpt_97035,cpt,0.0005342151544904,0.0010636985534018,4.731755579115508e-06,False,True
opioid_ed,65_74,medium,301,item_cpt_97535,cpt,0.0001345297631176,0.000268868850158,1.9067607731188203e-07,False,True
opioid_ed,65_74,extreme,17,item_cpt_97112,cpt,0.1050627565208039,0.1901594014692827,0.0199661115723252,True,True
opioid_ed,65_74,extreme,27,item_cpt_97162,cpt,0.0870839673743929,0.1628454288252803,0.0113225059235056,False,True
opioid_ed,65_74,extreme,39,item_cpt_97140,cpt,0.0698435737509329,0.1283068685580616,0.0113802789438043,False,True
opioid_ed,65_74,extreme,78,item_cpt_97530,cpt,0.0350745073699104,0.0684957653051187,0.0016532494347021,False,True
opioid_ed,65_74,extreme,87,item_cpt_97110,cpt,0.0307140913805468,0.0567721434258708,0.0046560393352228,False,True
opioid_ed,65_74,extreme,94,item_cpt_97001,cpt,0.0288899774347403,0.0554944371345784,0.0022855177349023,False,True
opioid_ed,65_74,extreme,110,item_cpt_97150,cpt,0.0194250666694508,0.0375044392435853,0.0013456940953163,False,True
opioid_ed,65_74,extreme,221,item_cpt_97035,cpt,0.0020978093052747,0.0041775856267737,1.803298377567401e-05,False,True
opioid_ed,65_74,extreme,290,item_cpt_97535,cpt,0.0005841096065684,0.0011673913360542,8.278770825970946e-07,False,True
opioid_ed,65_74,high,13,item_cpt_97112,cpt,0.0694235293500229,0.1256523351338187,0.013194723566227,True,True
opioid_ed,65_74,high,21,item_cpt_97140,cpt,0.0577957779581202,0.1061740603101822,0.0094174956060582,False,True
opioid_ed,65_74,high,32,item_cpt_97162,cpt,0.040348168855445,0.0754484372835449,0.0052479004273451,False,True
opioid_ed,65_74,high,55,item_cpt_97110,cpt,0.0287205911079641,0.0530877110782475,0.0043534711376807,False,True
opioid_ed,65_74,high,73,item_cpt_97530,cpt,0.0205767010776777,0.0401830489440776,0.0009703532112778,False,True
opioid_ed,65_74,high,91,item_cpt_97001,cpt,0.01610189973166,0.0309290951506135,0.0012747043127065,False,True
opioid_ed,65_74,high,104,item_cpt_97150,cpt,0.0134853613169767,0.0260360914467679,0.0009346311871855,False,True
opioid_ed,65_74,high,219,item_cpt_97035,cpt,0.0012190736708766,0.0024275964716458,1.0550870107466576e-05,False,True
opioid_ed,65_74,high,286,item_cpt_97535,cpt,0.0003095927842517,0.000618746768377,4.3880012647026763e-07,False,True
opioid_ed,55_64,low,41,item_cpt_97110,cpt,0.0127411861465353,0.0237869212522228,0.0016954510408478,False,True
opioid_ed,55_64,low,75,item_cpt_97530,cpt,0.0067046417570314,0.0128572638819788,0.000552019632084,False,True
opioid_ed,55_64,low,115,item_cpt_97112,cpt,0.0028348982918744,0.0055201707109262,0.0001496258728227,False,True
opioid_ed,55_64,low,118,item_cpt_97140,cpt,0.0025808004135183,0.0051062345419456,5.536628509098685e-05,False,True
opioid_ed,55_64,low,158,item_cpt_97161,cpt,0.0011054366986584,0.002196665903433,1.4207493883947704e-05,False,True
opioid_ed,55_64,low,204,item_cpt_97001,cpt,0.0003759462369771,0.0007487914245297,3.101049424554638e-06,False,True
opioid_ed,55_64,low,285,item_cpt_97035,cpt,6.892830710218424e-06,1.3759470071684804e-05,2.6191348752044186e-08,False,True
opioid_ed,55_64,medium,38,item_cpt_97110,cpt,0.0208040114060953,0.0388378321565403,0.0027701906556504,False,True
opioid_ed,55_64,medium,78,item_cpt_97530,cpt,0.0089668778886959,0.0171940437181214,0.0007397120592703,False,True
opioid_ed,55_64,medium,119,item_cpt_97112,cpt,0.003919219891405,0.007630688320761,0.0002077514620489,False,True
opioid_ed,55_64,medium,125,item_cpt_97140,cpt,0.0032151212228435,0.0063608848505024,6.935759518469783e-05,False,True
opioid_ed,55_64,medium,163,item_cpt_97161,cpt,0.0015062294371888,0.0029928937870361,1.9565087341491824e-05,False,True
opioid_ed,55_64,medium,199,item_cpt_97001,cpt,0.0006540301377867,0.0013025672008553,5.493074718204887e-06,False,True
opioid_ed,55_64,medium,283,item_cpt_97035,cpt,8.214950002880857e-06,1.6368652871649283e-05,6.124713411243223e-08,False,True
opioid_ed,55_64,extreme,34,item_cpt_97110,cpt,0.1080874918470525,0.2018003365258104,0.0143746471682945,False,True
opioid_ed,55_64,extreme,50,item_cpt_97530,cpt,0.0698049845342621,0.1338693903258965,0.0057405787426276,False,True
opioid_ed,55_64,extreme,91,item_cpt_97112,cpt,0.0293202249210856,0.0570970314146992,0.0015434184274721,False,True
opioid_ed,55_64,extreme,124,item_cpt_97140,cpt,0.0133668133362043,0.0264472779436548,0.0002863487287537,False,True
opioid_ed,55_64,extreme,152,item_cpt_97161,cpt,0.0087585403221287,0.0174050594507964,0.0001120211934611,False,True
opioid_ed,55_64,extreme,184,item_cpt_97001,cpt,0.0048644573116511,0.0096894282612522,3.948636205015546e-05,False,True
opioid_ed,55_64,extreme,281,item_cpt_97035,cpt,7.665631464458295e-05,0.0001530565118285,2.5611746065077964e-07,False,True
opioid_ed,55_64,high,29,item_cpt_97110,cpt,0.0571747129786297,0.1067422571489978,0.0076071688082617,False,True
opioid_ed,55_64,high,53,item_cpt_97530,cpt,0.0254775526269057,0.0488572420612905,0.002097863192521,False,True
opioid_ed,55_64,high,95,item_cpt_97112,cpt,0.011996836723782,0.0233605464358993,0.0006331270116646,False,True
opioid_ed,55_64,high,114,item_cpt_97140,cpt,0.0076542076392271,0.015143932968288,0.0001644823101662,False,True
opioid_ed,55_64,high,146,item_cpt_97161,cpt,0.0040428519205189,0.0080336583219481,5.2045519089711015e-05,False,True
opioid_ed,55_64,high,179,item_cpt_97001,cpt,0.0021764379562397,0.0043350066306326,1.78692818468552e-05,False,True
opioid_ed,55_64,high,279,item_cpt_97035,cpt,3.639644751978001e-05,7.263280245924653e-05,1.6009258031348566e-07,False,True
opioid_ed,85_114,low,29,item_cpt_97110,cpt,0.0184771938592415,0.0337124114776806,0.0032419762408025,False,True
opioid_ed,85_114,low,46,item_cpt_97140,cpt,0.0053185984351215,0.0103295984059225,0.0003075984643205,False,True
opioid_ed,85_114,low,49,item_cpt_97116,cpt,0.0048676876984593,0.0093836631954,0.0003517122015186,False,True
opioid_ed,85_114,low,91,item_cpt_97535,cpt,0.000687327080933,0.0013681891971365,6.464964729459311e-06,False,True
opioid_ed,85_114,medium,25,item_cpt_97110,cpt,0.0286905956748275,0.0522917623054733,0.0050894290441818,False,True
opioid_ed,85_114,medium,40,item_cpt_97116,cpt,0.0101207843488453,0.0194989591378639,0.0007426095598268,False,True
opioid_ed,85_114,medium,45,item_cpt_97140,cpt,0.00808589568085,0.0156872637865369,0.0004845275751631,False,True
opioid_ed,85_114,medium,85,item_cpt_97535,cpt,0.0010731215524167,0.0021361601727993,1.0082932034180822e-05,False,True
opioid_ed,85_114,extreme,21,item_cpt_97110,cpt,0.0468389521020668,0.0853405142597239,0.0083373899444097,False,True
opioid_ed,85_114,extreme,28,item_cpt_97116,cpt,0.0292841053260411,0.0564892034641079,0.0020790071879743,False,True
opioid_ed,85_114,extreme,49,item_cpt_97140,cpt,0.010927116861637,0.0212134568875816,0.0006407768356924,False,True
opioid_ed,85_114,extreme,74,item_cpt_97535,cpt,0.0033797082656332,0.0067269547358348,3.2461795431776164e-05,False,True
opioid_ed,85_114,high,23,item_cpt_97110,cpt,0.0442295352484339,0.0805223581800259,0.0079367123168419,False,True
opioid_ed,85_114,high,36,item_cpt_97116,cpt,0.0206910275381196,0.0398811925962507,0.0015008624799885,False,True
opioid_ed,85_114,high,51,item_cpt_97140,cpt,0.0101631968974515,0.0197110622513449,0.0006153315435581,False,True
opioid_ed,85_114,high,79,item_cpt_97535,cpt,0.0027491000178523,0.0054718152163139,2.638481939078371e-05,False,True
