cohort_name,year,drug_name,frequency
opioid_ed,2016,DIVALPROEX SODIUM DR,865
opioid_ed,2016,PAROXETINE HCL,837
opioid_ed,2016,LORATADINE,833
opioid_ed,2016,OXYMORPHONE HYDROCHLORIDE,833
opioid_ed,2016,MORPHINE SULFATE,832
opioid_ed,2016,ISOSORBIDE MONONITRATE ER,802
opioid_ed,2016,METFORMIN HYDROCHLORIDE E,782
opioid_ed,2016,ROPINIROLE HCL,776
opioid_ed,2016,METRONIDAZOLE,772
opioid_ed,2016,NYSTATIN,761
opioid_ed,2016,DOXEPIN HCL,757
opioid_ed,2016,ZIPRASIDONE HCL,705
opioid_ed,2016,DIVALPROEX SODIUM ER,700
opioid_ed,2016,LIDOCAINE,695
opioid_ed,2016,LOSARTAN POTASSIUM/HYDROC,685
opioid_ed,2016,TRIAMCINOLONE ACETONIDE,681
opioid_ed,2016,ESTRADIOL,678
opioid_ed,2016,LANTUS SOLOSTAR,677
opioid_ed,2016,GLIMEPIRIDE,676
opioid_ed,2016,CRESTOR,661
opioid_ed,2016,LITHIUM CARBONATE,658
opioid_ed,2016,TEMAZEPAM,657
opioid_ed,2016,CELECOXIB,654
opioid_ed,2016,LINZESS,651
opioid_ed,2016,BENZONATATE,639
opioid_ed,2016,GLIPIZIDE,629
opioid_ed,2016,NITROFURANTOIN MONOHYDRAT,623
opioid_ed,2016,FENOFIBRATE,618
opioid_ed,2016,IBU,613
opioid_ed,2016,OPANA ER (CRUSH RESISTANT,610
opioid_ed,2016,OXCARBAZEPINE,608
opioid_ed,2016,MUPIROCIN,607
opioid_ed,2016,SUCRALFATE,596
opioid_ed,2016,COMBIVENT RESPIMAT,580
opioid_ed,2016,TESTOSTERONE CYPIONATE,576
opioid_ed,2016,LATUDA,575
opioid_ed,2016,PRAMIPEXOLE DIHYDROCHLORI,563
opioid_ed,2016,LACTULOSE,556
opioid_ed,2016,LANTUS,547
opioid_ed,2016,VOLTAREN,539
opioid_ed,2016,TRIAMTERENE/HYDROCHLOROTH,536
opioid_ed,2016,ACYCLOVIR,518
opioid_ed,2016,AMITIZA,517
opioid_ed,2016,SYNTHROID,517
opioid_ed,2016,XARELTO,517
opioid_ed,2016,PROMETHAZINE HCL,508
opioid_ed,2016,HYDROXYCHLOROQUINE SULFAT,503
opioid_ed,2016,ACETAMINOPHEN/CODEINE,501
opioid_ed,2016,PRAZOSIN HCL,497
opioid_ed,2016,BENZTROPINE MESYLATE,497
opioid_ed,2016,LOVASTATIN,487
opioid_ed,2016,CETIRIZINE HYDROCHLORIDE,481
opioid_ed,2016,VALACYCLOVIR HYDROCHLORID,470
opioid_ed,2016,DEXILANT,465
opioid_ed,2016,NALTREXONE HCL,464
opioid_ed,2016,CARISOPRODOL,461
opioid_ed,2016,NITROSTAT,455
opioid_ed,2016,PENICILLIN V POTASSIUM,451
opioid_ed,2016,ALBUTEROL SULFATE,450
opioid_ed,2016,VENLAFAXINE HCL,442
opioid_ed,2016,HYDROXYZINE HCL,432
opioid_ed,2016,PRISTIQ,431
opioid_ed,2016,VALSARTAN,427
opioid_ed,2016,FOLIC ACID,423
opioid_ed,2016,ZETIA,422
opioid_ed,2016,LEVEMIR FLEXTOUCH,412
opioid_ed,2016,CYANOCOBALAMIN,412
opioid_ed,2016,ALENDRONATE SODIUM,408
opioid_ed,2016,BUTRANS,400
opioid_ed,2016,NICOTINE TRANSDERMAL SYST,380
opioid_ed,2016,KLOR-CON M20,375
opioid_ed,2016,BUPROPION HCL,374
opioid_ed,2016,CLOBETASOL PROPIONATE,371
opioid_ed,2016,OXYBUTYNIN CHLORIDE,371
opioid_ed,2016,HYDRALAZINE HYDROCHLORIDE,371
opioid_ed,2016,NOVOLOG FLEXPEN,370
opioid_ed,2016,JANUVIA,370
opioid_ed,2016,KETOROLAC TROMETHAMINE,369
opioid_ed,2016,CHLORTHALIDONE,367
opioid_ed,2016,STRATTERA,362
opioid_ed,2016,LEVOCETIRIZINE DIHYDROCHL,359
opioid_ed,2016,MEDROXYPROGESTERONE ACETA,358
opioid_ed,2016,KETOCONAZOLE,356
opioid_ed,2016,PREMARIN,355
opioid_ed,2016,DICLOFENAC SODIUM,354
opioid_ed,2016,NORTRIPTYLINE HCL,353
opioid_ed,2016,CEFDINIR,352
opioid_ed,2016,FINASTERIDE,352
opioid_ed,2016,PRAZOSIN HYDROCHLORIDE,345
opioid_ed,2016,DILTIAZEM HYDROCHLORIDE E,341
opioid_ed,2016,NORTRIPTYLINE HYDROCHLORI,340
opioid_ed,2016,SEROQUEL XR,335
opioid_ed,2016,ELIQUIS,333
opioid_ed,2016,LIDOCAINE/PRILOCAINE,332
opioid_ed,2016,VALACYCLOVIR HCL,330
opioid_ed,2016,ESZOPICLONE,327
opioid_ed,2016,BD INSULIN SYRINGE ULTRA-,324
opioid_ed,2016,LANSOPRAZOLE,321
opioid_ed,2016,BUMETANIDE,314
opioid_ed,2016,OXYBUTYNIN CHLORIDE ER,308
opioid_ed,2016,NOVOLOG,303
opioid_ed,2016,BUPROPION HCL XL,300
opioid_ed,2016,LITHIUM CARBONATE ER,298
opioid_ed,2016,CHLORHEXIDINE GLUCONATE,295
opioid_ed,2016,ROSUVASTATIN CALCIUM,295
opioid_ed,2016,METHOTREXATE,293
opioid_ed,2016,ZOLPIDEM TARTRATE ER,291
opioid_ed,2016,PROVENTIL HFA,289
opioid_ed,2016,VERAPAMIL HCL ER,288
opioid_ed,2016,PROPRANOLOL HCL,287
opioid_ed,2016,CEFUROXIME AXETIL,284
opioid_ed,2016,CARBAMAZEPINE,278
opioid_ed,2016,POTASSIUM CHLORIDE CR,278
opioid_ed,2016,RIZATRIPTAN BENZOATE,276
opioid_ed,2016,PHENYTOIN SODIUM EXTENDED,275
opioid_ed,2016,NUCYNTA ER,274
opioid_ed,2016,ANDROGEL PUMP,269
opioid_ed,2016,CHLORPROMAZINE HCL,267
opioid_ed,2016,HALOPERIDOL,267
opioid_ed,2016,DOXEPIN HYDROCHLORIDE,265
opioid_ed,2016,LATANOPROST,265
opioid_ed,2016,LIDOCAINE VISCOUS,263
opioid_ed,2016,BUNAVAIL,258
opioid_ed,2016,MECLIZINE HCL,256
opioid_ed,2016,OMEGA-3-ACID ETHYL ESTERS,252
opioid_ed,2016,OXYCODONE HCL ER,250
opioid_ed,2016,ENALAPRIL MALEATE,245
opioid_ed,2016,VESICARE,244
opioid_ed,2016,INVOKANA,243
opioid_ed,2016,VIVITROL,242
opioid_ed,2016,NABUMETONE,242
opioid_ed,2016,CLOTRIMAZOLE/BETAMETHASON,239
opioid_ed,2016,LABETALOL HYDROCHLORIDE,236
opioid_ed,2016,FERROUS SULFATE,235
opioid_ed,2016,METOCLOPRAMIDE HYDROCHLOR,235
opioid_ed,2016,SPRINTEC 28,233
opioid_ed,2016,HYDROCORTISONE,233
opioid_ed,2016,FLUVOXAMINE MALEATE,232
opioid_ed,2016,IPRATROPIUM BROMIDE,230
opioid_ed,2016,ADDERALL XR,229
opioid_ed,2016,PROCHLORPERAZINE MALEATE,227
opioid_ed,2016,COLCHICINE,227
opioid_ed,2016,DIPHENOXYLATE/ATROPINE,226
