model,recall_mean,pr_auc_mean,auc_mean,logloss_mean,n_runs,selected
XGBoost,0.6166515837104073,0.8278797472008748,0.9291936185935397,0.24609463674451415,25,False
XGBoost_RF,0.3080542986425339,0.6594801570431517,0.8768206342939862,0.38224729611834357,25,False
CatBoost,0.5502262443438913,0.8347363376386494,0.9366948080212985,0.2523993099170699,25,True
Ensemble,0.5882352941176471,0.8439367143874534,0.9393191411825442,0.24014852676726017,25,False
