iter	Logloss
266	0.1871598005
267	0.1870694046
268	0.1867587059
269	0.1865290478
270	0.1863685353
271	0.1862762971
272	0.1861593356
273	0.1860444828
274	0.1858010761
275	0.1857180546
276	0.1856055486
277	0.1853269643
278	0.1851167387
279	0.1850026101
280	0.1849013066
281	0.1847966397
282	0.1847409282
283	0.1846463535
284	0.1845835475
285	0.184473734
286	0.1843386558
287	0.1842385386
288	0.1839494163
289	0.1838310868
290	0.1837331748
291	0.1836578385
292	0.1835458301
293	0.1834562214
294	0.1833865383
295	0.1833097451
296	0.1831878634
297	0.1830834161
298	0.1829852891
299	0.1828408555
300	0.1827163886
301	0.1826309882
302	0.1824785658
303	0.1822377206
304	0.1821298085
305	0.1820446452
306	0.1819749129
307	0.1818629387
308	0.1817869123
309	0.1817104392
310	0.1816119846
311	0.1815192851
312	0.1813989722
313	0.1813254834
314	0.1812413422
315	0.1811559625
316	0.1810824968
317	0.1809893869
318	0.1808079162
319	0.1806884264
320	0.1806250422
321	0.1805598127
322	0.1805008934
323	0.1802090091
324	0.1801432737
325	0.1800433747
326	0.179974778
327	0.1798983527
328	0.1798196618
329	0.1797176839
330	0.1796694006
331	0.1795528445
332	0.1794754079
333	0.1793793487
334	0.1792696986
335	0.1791870916
336	0.17906222
337	0.1789903912
338	0.1788732291
339	0.1788005249
340	0.1786829322
341	0.1785591909
342	0.1784572738
343	0.1783260194
344	0.1781881305
345	0.1781225169
346	0.1780390054
347	0.177936232
348	0.1778348488
349	0.1777457858
350	0.1776397514
351	0.1775043674
352	0.1774367172
353	0.1773724074
354	0.1772549926
355	0.1771734823
356	0.1771071024
357	0.1770469112
358	0.1769704441
359	0.1768978238
360	0.1768304248
361	0.1766764649
362	0.1765984631
363	0.1765234057
364	0.176423785
365	0.1763667654
366	0.1762659407
367	0.1761715825
368	0.1760954432
369	0.1760190899
370	0.1759204559
371	0.1758350655
372	0.1757423378
373	0.1756435964
374	0.1755776929
375	0.1754133418
376	0.175326969
377	0.1752385395
378	0.1751833074
379	0.1751138102
380	0.1750519456
381	0.174997414
382	0.1748074939
383	0.174741772
384	0.1745520152
385	0.1744839974
386	0.1744166915
387	0.1743678804
388	0.1742993287
389	0.1742294486
390	0.1741272265
391	0.174045336
392	0.1739820245
393	0.1738941602
394	0.1738427431
395	0.1737753042
396	0.1736937661
397	0.1736004537
398	0.1735639131
399	0.1734773313
400	0.1734015598
401	0.1732913579
402	0.1732329197
403	0.1731643505
404	0.1730981
405	0.1730081328
406	0.1729413099
407	0.1728593043
408	0.172778535
409	0.1726700513
410	0.1726022137
411	0.1723135261
412	0.172232599
413	0.1721376863
414	0.1720900213
415	0.1720186501
416	0.171957539
417	0.1718153237
418	0.171753375
419	0.171693798
420	0.1715680489
421	0.1715219716
422	0.1714196801
423	0.1713737921
424	0.1712981825
425	0.1712261751
426	0.1711437799
427	0.171079861
428	0.1709893507
429	0.1709427683
430	0.1708246263
431	0.1707445846
432	0.1706678101
433	0.1706153482
434	0.1705449956
435	0.1704966819
436	0.1704552338
437	0.1703874473
438	0.1703198715
439	0.17026231
440	0.1702223372
441	0.1701937594
442	0.1701248939
443	0.1700445304
444	0.1699847535
445	0.1699148916
446	0.1698601592
447	0.1697559232
448	0.1697049262
449	0.1696476408
450	0.1696000679
451	0.1695437662
452	0.1694744768
453	0.1694129603
454	0.1693639241
455	0.1693276788
456	0.1692705347
457	0.1692049327
458	0.169134858
459	0.1690702183
460	0.1690263088
461	0.1689484894
462	0.1688728279
463	0.1688359568
464	0.1687866852
465	0.1687165447
466	0.1686288722
467	0.1685339916
468	0.1684376369
469	0.1683427002
470	0.168308527
471	0.1682566278
472	0.168205672
473	0.1681253
474	0.1680835023
475	0.1680122844
476	0.1679683239
477	0.1679092809
478	0.1678644572
479	0.1678079831
480	0.1677212847
481	0.1676649869
482	0.1676081453
483	0.16756112
484	0.1675130558
485	0.1674614463
486	0.1674255063
487	0.1673957455
488	0.1672862764
489	0.1672350007
490	0.1671571685
491	0.1670916616
492	0.1668225343
493	0.1667809249
494	0.166709614
495	0.1666671823
496	0.1665905497
497	0.1665415871
498	0.1664641595
499	0.1664004372
