title,pubdate,pmc_id,authors
Machine Learning in Adolescent Mental Health: Advanced Comorbidity Analysis and Text Mining Insights.,2025,PMC12428453,"Patsiala, Bolias, Passia, Feretzakis, Anastasiou, Koumpouros"
Measuring the Value of a Practical Text Mining Approach to Identify Patients With Housing Issues in the Free-Text Notes in Electronic Health Record: Findings of a Retrospective Cohort Study.,2021,PMC8429931,"Hatef, Singh Deol, Rouhizadeh, Li, Eibensteiner, Monsen, Bratslaver, Senese, Kharrazi"
Medication Use in the Management of Comorbidities Among Individuals With Autism Spectrum Disorder From a Large Nationwide Insurance Database.,2021,PMC8185632,"Feroe, Uppal, Gutiérrez-Sacristán, Mousavi, Greenspun, Surati, Kohane, Avillach"
Methodology for Exploring Patterns of Epigenetic Information in Cancer Cells Using Data Mining Technique.,2021,PMC8700852,"Aljuaid, Mahmoud"
Patterns and factors associated with dental service utilization among insured people: a data mining approach.,2024,PMC11197210,"Pouraskari, Yazdani, Khademi, Hessari"
"Perceptions, Causes and Treatment of Severe Acute Malnutrition, Mbuji-Mayi, Kasai-Oriental, Democratic Republic of the Congo.",2025,PMC12150118,"Alendi, Muyer, Salpeteur, Botomba, Mayavanga, Mupuala, Muadi, Mampunza, Quénéet, Camrrubi, Fabregat"
Prevalence of Multimorbidity Among School-Aged Children in the Yangzhou District of China.,2025,PMC12154384,"Wang, Zhou, Zhang, Lai, Zhu, Jia, Yu, Yin"
Prevalence of common chronic disease and multimorbidity patterns in Guangdong province with three typical cultures: analysis of data from the Diverse Life-Course Cohort study.,2023,PMC10192874,"Hu, He, Ou, Nai, Pan, Chen, Tu, Zeng, Pei, Wang, Lin, Liu, Shan"
Prevalence of multimorbidity combinations and their association with medical costs and poor health: A population-based study of U.S. adults.,2022,PMC9717681,Schiltz
Process Mining on National Health Care Data for the Discovery of Patient Journeys of Older Adults.,2025,NA,"de Boer, Arntzen, Bekker, Buurman, Willems, van der Mei"
