feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_AMLODIPINE_BESYLATE_BENAZ,False,True,,19.0,
item_drug_AMOXICILLIN,False,True,,15.0,
item_drug_ATENOLOL,False,True,,17.0,
item_drug_AZITHROMYCIN,False,True,,6.0,
item_drug_BD_INSULIN_SYRINGE_SAFETY,False,True,,18.0,
item_drug_BD_PEN_NEEDLE_MINI_ULTRA,True,False,39.0,,
item_drug_BETAMETHASONE_VALERATE,True,False,27.0,,
item_drug_CARVEDILOL,True,True,21.0,10.0,-11.0
item_drug_CEPHALEXIN,True,True,17.0,13.0,-4.0
item_drug_CLINDAMYCIN_HYDROCHLORIDE,True,False,29.0,,
item_drug_CLOPIDOGREL,False,True,,5.0,
item_drug_COLCRYS,True,True,35.0,24.0,-11.0
item_drug_DIGITEK,True,True,33.0,22.0,-11.0
item_drug_ENOXAPARIN_SODIUM,True,True,30.0,25.0,-5.0
item_drug_FLUOROURACIL,True,False,36.0,,
item_drug_FUROSEMIDE,True,True,18.0,1.0,-17.0
item_drug_GABAPENTIN,True,True,22.0,8.0,-14.0
item_drug_GLIPIZIDE,True,False,37.0,,
item_drug_HYDROCHLOROTHIAZIDE,False,True,,4.0,
item_drug_JANUVIA,True,True,32.0,20.0,-12.0
item_drug_LATANOPROST,False,True,,12.0,
item_drug_LEVOFLOXACIN,False,True,,14.0,
item_drug_LISINOPRIL,True,True,16.0,9.0,-7.0
item_drug_LORAZEPAM,False,True,,11.0,
item_drug_MIRTAZAPINE,True,False,23.0,,
item_drug_NYSTATIN,False,True,,16.0,
item_drug_OMEPRAZOLE,True,True,19.0,2.0,-17.0
item_drug_ONDANSETRON_HYDROCHLORIDE,True,False,38.0,,
item_drug_PEG_3350_ELECTROLYTES,True,False,26.0,,
item_drug_PENTOXIFYLLINE_ER,True,False,40.0,,
item_drug_PREDNISONE,True,True,20.0,3.0,-17.0
item_drug_SIMVASTATIN,False,True,,7.0,
item_drug_STIOLTO_RESPIMAT,True,False,25.0,,
item_drug_TESTOSTERONE_CYPIONATE,True,False,28.0,,
item_drug_ULORIC,True,False,24.0,,
item_drug_URSODIOL,True,False,31.0,,
item_drug_VALSARTAN_HYDROCHLOROTHIA,True,True,34.0,23.0,-11.0
item_drug_VOLTAREN,False,True,,21.0,
