drugs,features,features_resolved,n_all_three,case_rate_all_three,prevalence,lift_vs_prevalence
Furosemide + Hydrochlorothiazide + Lisinopril,"['item_drug_FUROSEMIDE', 'item_drug_HYDROCHLOROTHIAZIDE', 'item_drug_LISINOPRIL']",True,4.0,0.0,0.0798,
Digoxin + Furosemide + Amiodarone,"[None, 'item_drug_FUROSEMIDE', 'item_drug_AMIODARONE_HYDROCHLORIDE']",False,,,,
