feature,mean_abs_shap,rank,is_drug
item_drug_FUROSEMIDE,0.20726211,1,True
item_drug_OMEPRAZOLE,0.1576102,2,True
item_drug_PREDNISONE,0.10174921,3,True
item_drug_HYDROCHLOROTHIAZIDE,0.09358626,4,True
item_drug_CLOPIDOGREL,0.0671725,5,True
item_drug_AZITHROMYCIN,0.05844565,6,True
item_drug_SIMVASTATIN,0.048245214,7,True
item_drug_GABAPENTIN,0.047247995,8,True
item_drug_LISINOPRIL,0.038423035,9,True
item_drug_CARVEDILOL,0.035946146,10,True
item_drug_LORAZEPAM,0.024719903,11,True
item_drug_LATANOPROST,0.014067847,12,True
item_drug_CEPHALEXIN,0.009381858,13,True
item_drug_LEVOFLOXACIN,0.0046565454,14,True
item_drug_AMOXICILLIN,0.0029998077,15,True
item_drug_NYSTATIN,0.0011927924,16,True
item_drug_ATENOLOL,0.0010616604,17,True
item_drug_BD_INSULIN_SYRINGE_SAFETY,0.0,18,True
item_drug_AMLODIPINE_BESYLATE_BENAZ,0.0,19,True
item_drug_JANUVIA,0.0,20,True
item_drug_VOLTAREN,0.0,21,True
item_drug_DIGITEK,0.0,22,True
item_drug_VALSARTAN_HYDROCHLOROTHIA,0.0,23,True
item_drug_COLCRYS,0.0,24,True
item_drug_ENOXAPARIN_SODIUM,0.0,25,True
