feature,importance_normalized,importance_scaled,n_models
item_H0020,1.0,0.7688924687877567,3
item_G0483,0.9163737489869576,0.7045928741908739,3
item_80307,0.8134496116030462,0.625455280099908,3
item_SUBOXONE,0.6879621347038211,0.5289689041849163,3
item_G0480,0.5792594598995396,0.44538823619081963,3
item_80305,0.481336454493595,0.370095974813126,3
item_G0444,0.35550799936216887,0.27334742330337425,3
item_S0109,0.31954715355307345,0.24569739978952304,3
item_BUPRENORPHINE HCL/NALOXON,0.30385570321914585,0.23363236180340896,3
item_G0481,0.23007141278798837,0.17690017657604346,3
item_H0004,0.21290936665368393,0.16370440855438873,3
item_G0482,0.2049954850101757,0.15761948455981759,3
item_99214,0.17442442912574213,0.13411362992738696,3
item_99396,0.1710222460240101,0.13149771696302823,3
item_G8929,0.16444241753739727,0.1264385363937565,3
item_G9012,0.15790551079183845,0.12141235802792844,3
item_OXYCODONE HYDROCHLORIDE,0.141107901184851,0.10849680250747891,3
item_GABAPENTIN,0.1329609773301298,0.10223269411179646,3
item_90853,0.11981980824787437,0.09212854817338374,3
item_NARCAN,0.1195858474575392,0.0919486574837034,3
item_F1123,0.1153218207775677,0.08867007948276324,3
item_G0008,0.11472094633387551,0.0882080716483213,3
item_G0439,0.1047693916881175,0.08055639622846815,3
item_82075,0.09600920111725689,0.0738207516733879,3
item_BUPRENORPHINE HCL,0.09182522226314069,0.07060372184289072,3
item_CLONIDINE HYDROCHLORIDE,0.0877655583080004,0.06748227680197424,3
item_99429,0.08564648145496057,0.06585293456888945,3
item_F1121,0.08544080718122704,0.06569479316879236,3
item_G894,0.0853875231966108,0.06565382351431392,3
item_BUPRENORPHINE HYDROCHLORI,0.08437165981042256,0.06487273380735656,3
item_96127,0.08388493607213102,0.06449849559060397,3
item_M545,0.08386269215202938,0.0644813924079615,3
item_99285,0.08382445099273031,0.06445198906857874,3
item_H0005,0.08132226647325513,0.06252807823603695,3
item_F1110,0.08043312536861263,0.06184442433698772,3
item_99499,0.07947807020569242,0.0611100896149415,3
item_90471,0.07492608545991339,0.057610102825875247,3
item_80348,0.07333656051595325,0.05638792906751402,3
item_OXYCODONE/ACETAMINOPHEN,0.0709795788820392,0.05457566364012644,3
item_90791,0.069823395026612,0.05368668258115448,3
item_VENTOLIN HFA,0.06953099083312227,0.053461855198938264,3
item_90688,0.06942087928600293,0.05337719125963164,3
item_DULOXETINE HYDROCHLORIDE,0.0661456688999412,0.05085890666009333,3
item_MORPHINE SULFATE ER,0.06508044883352686,0.05003986697342575,3
item_99213,0.06497810686227266,0.049961177002487506,3
item_B182,0.0646752032782877,0.049728276717992646,3
item_TRAZODONE HYDROCHLORIDE,0.0642490709130269,0.0494006267516369,3
item_80361,0.06281593237857885,0.04829869732577028,3
item_99406,0.06250602411620794,0.048060411196818184,3
item_TIZANIDINE HYDROCHLORIDE,0.062334862230068226,0.04792880611162185,3
item_I10,0.062331633743985336,0.04792632375298713,3
item_99204,0.06217906609720847,0.047809015638399725,3
item_J449,0.059365734329575814,0.04564586603006563,3
item_99283,0.059338513480146876,0.04562493612394571,3
item_J441,0.05816930669519041,0.04472594183253714,3
item_PROMETHAZINE HYDROCHLORID,0.057748977273145895,0.0444027537055172,3
item_82570,0.055779035883202,0.042888080606836056,3
item_Z79891,0.05553134163348379,0.042697630363665695,3
item_80356,0.0554026236910924,0.042598660107163094,3
item_ZUBSOLV,0.05530961172776577,0.04252714390905409,3
item_80306,0.054026178154239095,0.04154032150018007,3
item_90792,0.053934675034349476,0.04146996544042636,3
item_F1020,0.05384602322244266,0.04140180172990682,3
item_G0463,0.05355859921103536,0.04118080357218698,3
item_80053,0.05264707789668992,0.04047994169844725,3
item_M542,0.052048986022743056,0.040020073360926355,3
item_93005,0.05155366890903723,0.039639227762536255,3
item_99205,0.05023690672099116,0.03862677923296314,3
item_A9270,0.05007287837997127,0.0385006590768852,3
item_R0602,0.049937886434703205,0.038396864786821576,3
item_F1320,0.04976507221894385,0.038263989237824744,3
item_LISINOPRIL,0.04973215266118331,0.03823867763778684,3
item_86592,0.04964938007503658,0.03817503441967653,3
item_METHADONE HCL,0.04928517600302201,0.0378950006516027,3
item_83090,0.049087008906829446,0.037742631463778695,3
item_M5136,0.04851897349457193,0.03730587331328915,3
item_F17210,0.04839370482614863,0.0372095551775634,3
item_TRUE METRIX SELF MONITORI,0.04822524681649415,0.037080029082633095,3
item_M5417,0.0480463694695495,0.03694249163773062,3
item_80358,0.0480430346381688,0.03693992751099732,3
item_F1910,0.04803634546553836,0.03693478425653935,3
item_82607,0.0477581970368421,0.03672091802450965,3
item_80346,0.04740980382868706,0.03645304111058243,3
item_OMEPRAZOLE,0.04724556620248526,0.03632676003670429,3
item_86738,0.04688918790892545,0.03605274345074672,3
item_ALBUTEROL SULFATE,0.04669968242745981,0.03590703411325379,3
item_Z23,0.0466033691701073,0.03583297957503103,3
item_20610,0.046524575395925125,0.035772395635475,3
item_80345,0.04628557289270523,0.035588628410727796,3
item_Z01419,0.04600460389254767,0.035372593462543823,3
item_87522,0.045913878001600246,0.035302835008270285,3
item_M797,0.04588380561930887,0.03527971258000794,3
item_HYDROCODONE BITARTRATE/AC,0.045671114522260185,0.035116175997309006,3
