title,pubdate,pmc_id,authors
Buprenorphine Treatment Duration and Adherence Among Youth and Subsequent Health Outcomes.,2025,PMC12662019,"Hadland, Kimmel, Yan, Bettano, Lo-Ciganic, Bagley, Calihan, Hsu, Larochelle"
Buprenorphine prescriber monthly patient caseloads: An examination of 6-year trajectories.,2021,PMC8595760,"Cabreros, Griffin, Saloner, Gordon, Kerber, Stein"
Careful Practices: Ethics and the Anethical in Canadian Addiction Trajectories.,2021,NA,"Stalcup, Wallace"
Case report: The lesson from opioid withdrawal symptoms mimicking paraganglioma recurrence during opioid deprescribing in cancer pain.,2023,PMC10556467,"Ruggiero, Pambuku, Caccese, Lombardi, Gallio, Brunello, Ceccato, Formaglio"
Changes in predicted opioid overdose risk over time in a state Medicaid program: a group-based trajectory modeling analysis.,2022,PMC10184496,"Guo, Gellad, Yang, Weiss, Donohue, Cochran, Gordon, Malone, Kwoh, Kuza, Wilson, Lo-Ciganic"
Characterizing Help-Seeking Searches for Substance Use Treatment From Google Trends and Assessing Their Use for Infoveillance: Longitudinal Descriptive and Validation Statistical Analysis.,2022,PMC9756118,"Patton, Abramovitz, Johnson, Leas, Nobles, Caputi, Ayers, Strathdee, Bórquez"
"Characterizing prescription opioid, heroin, and fentanyl initiation trajectories: A qualitative study.",2024,NA,"Perdue, Carlson, Daniulaityte, Silverstein, Bluthenthal, Valdez, Cepeda"
Children born to women in opioid maintenance treatment: A longitudinal study of child behavioral problems and parenting stress.,2022,PMC9816796,"Sarfi, Eikemo, Konijnenberg"
Chronic Pain Clinical and Prescriptive Practices in the Cannabis Era.,2022,NA,"Aebischer, Dieckmann, Jones, St John"
Clinical characteristics and prognostic factors among hospitalized patients with substance use disorders: Findings from a retrospective cohort study of a Canadian inpatient addiction medicine service.,2024,NA,"Martin, Bawor, Bains, Burns, Khoshroo, Massey, DeJesus, Lennox, Cook-Chaimowitz, O'Shea, MacKillop, Dennis"
"Cohort profile: POPPY II - a population-based cohort examining the patterns and outcomes of prescription opioid use in New South Wales, Australia.",2023,PMC10193079,"Gisev, Pearson, Dobbins, Buizen, Murphy, Wilson, Blyth, Dunlop, Larney, Currow, Mattick, Degenhardt"
"Comparing efficacy of serotonergic, opioidergic, and glutamatergic drugs in gambling disorder: A pooled analysis of response trajectories versus placebo.",2025,NA,"Pettorruso, Di Carlo, Di Lorenzo, Gelormini, Guidotti, Martinotti, Grant"
Complex decision-making of people's use of opioid agonist therapy during pregnancy: Troubling the concept of 'non-compliance'.,2025,NA,"Schmidt, Perez-Brumer, Kaminski, Smoke, Gyan-Mante, George, Gomes, Rush, Strike"
"Decision-making styles, magical thinking, and intolerance of uncertainty in opioid use disorder.",2024,PMC11293786,"Danışman, İspir"
Depression and Buprenorphine Treatment in Patients with Non-cancer Pain and Prescription Opioid Dependence without Comorbid Substance Use Disorders.,2021,NA,"Scherrer, Salas, Grucza, Sullivan, Lustman, Copeland, Ballantyne"
Depression and Opioid Misuse in Elderly Individuals With Chronic Pain: A Latent Class Analysis.,2022,NA,"Yan, Chang, Zhang, Li, Li"
Designing and validating a Markov model for hospital-based addiction consult service impact on 12-month drug and non-drug related mortality.,2021,PMC8432751,"King, Englander, Korthuis, Barocas, McConnell, Morris, Cook"
Determining the Impact of Opioid Policy on Substance Use and Mental Health-Related Harms: Protocol for a Data Linkage Study.,2023,PMC10618880,"Xia, Picco, Lalic, Buchbinder, Bell, Andrew, Lubman, Pearce, Nielsen"
"Development and Evaluation of a Digital App for Patient Self-Management of Opioid Use Disorder: Usability, Acceptability, and Utility Study.",2024,PMC11019416,"King, Siegel, Priesmeyer, Siegel, Potter"
"Differences in Opioid Overdose Mortality Rates Among Middle-Aged Adults by Race/Ethnicity and Sex, 1999-2018.",2021,PMC8093836,"Hoopsick, Homish, Leonard"
Disclosure processes as predictors of relationship outcomes among people in recovery from opioid use disorder: A longitudinal analysis.,2021,PMC12159682,"Earnshaw, Sepucha, Laurenceau, Subramanian, Brousseau, Chaudoir, Hill, Morrison, Kelly"
Distinct Trajectories of Prescription Opioid Exposure in Pregnancy and Risk of Adverse Birth Outcomes.,NA,PMC11790364,"Wang, Ehrenthal, Zhang"
Does polygenic risk for substance-related traits predict ages of onset and progression of symptoms?,2023,PMC10525011,"Kranzler, Feinn, Xu, Ho, Saini, Nicastro, Jacoby, Toikumo, Gelernter, Hartwell, Kember"
Dosing profiles of concurrent opioid and benzodiazepine use associated with overdose risk among US Medicare beneficiaries: group-based multi-trajectory models.,2022,PMC11863753,"Lo-Ciganic, Hincapie-Castillo, Wang, Ge, Jones, Huang, Chang, Wilson, Lee, Reisfield, Kwoh, Delcher, Nguyen, Zhou, Shorr, Guo, Marcum, Harle, Park, Winterstein, Yang, Huang, Adkins, Gellad"
Dual-trajectories of opioid and gabapentinoid use and risk of subsequent drug overdose among Medicare beneficiaries in the United States: a retrospective cohort study.,2021,PMC7796992,"Zhou, Bhattacharjee, Kwoh, Tighe, Reisfield, Malone, Slack, Wilson, Chang, Lo-Ciganic"
Early COVID-Related pandemic impacts and subsequent opioid outcomes among persons receiving medication for opioid use disorder: a secondary data analysis of a Type-3 hybrid trial.,2023,PMC10500804,"Janssen, Garner, Yermash, Yap, Becker"
Early High-Risk Opioid Prescribing and Persistent Opioid Use in Australian Workers with Workers' Compensation Claims for Back and Neck Musculoskeletal Disorders or Injuries: A Retrospective Cohort Study.,2025,PMC11982141,"Tefera, Gray, Nielsen, Di Donato, Collie"
Early OxyContin Marketing Linked To Long-Term Spread Of Infectious Diseases Associated With Injection Drug Use.,2023,PMC10521060,"Dennett, Gonsalves"
Early developmental trajectory of children with prenatal alcohol and opioid exposure.,2024,PMC9911560,"Lowe, DiDomenico, Stephen, Roberts, Rodriguez, Bakhireva"
Effects of Unemployment on Opioid Use Treatment Trajectories: Impact of the COVID-19 Pandemic.,NA,PMC9435955,"Mumba, Davis, Smith, Evans, Castillo"
