feature,importance,scaled_importance,recall,logloss
item_F13239,0.0030395136778115436,9.91460413952813e-05,0.03261904761904762,0.44050177589285205
item_F1021,0.002310030395136782,7.535099146041408e-05,0.03261904761904762,0.44050177589285205
item_GNP NICOTINE POLACRILEX,0.0021884498480243125,7.138514980460257e-05,0.03261904761904762,0.44050177589285205
item_80335,0.00206686930091185,6.741930814879129e-05,0.03261904761904762,0.44050177589285205
item_80343,0.0019452887537993874,6.345346649298002e-05,0.03261904761904762,0.44050177589285205
item_F3111,0.0017021276595744692,5.552178318135768e-05,0.03261904761904762,0.44050177589285205
item_F1129,0.0015805471124620066,5.15559415255464e-05,0.03261904761904762,0.44050177589285205
item_70490,0.001458966565349537,4.7590099869734895e-05,0.03261904761904762,0.44050177589285205
item_SAPHRIS,0.0012158054711246188,3.965841655811257e-05,0.03261904761904762,0.44050177589285205
item_93925,0.0012158054711246188,3.965841655811257e-05,0.03261904761904762,0.44050177589285205
item_F3189,0.0010942249240121632,3.5692574902301515e-05,0.03261904761904762,0.44050177589285205
item_R825,0.0010942249240121632,3.5692574902301515e-05,0.03261904761904762,0.44050177589285205
item_F19939,0.0010942249240121563,3.5692574902301285e-05,0.03261904761904762,0.44050177589285205
item_F1310,0.0009726443768996937,3.172673324649001e-05,0.03261904761904762,0.44050177589285205
item_J2315,0.0008510638297872311,2.7760891590678726e-05,0.03261904761904762,0.44050177589285205
item_F10231,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_S025XXA,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_32551,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_G43A0,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_M150,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_K0381,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_M009,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_T1501XA,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_A4101,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_NICOTINE,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_NICOTROL INHALER,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_Z765,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_R3911,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_T50904A,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_J1071,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_I5021,0.000607902735562306,1.982920827905617e-05,0.03261904761904762,0.44050177589285205
item_S3993XA,0.0004863221884498434,1.586336662324489e-05,0.03261904761904762,0.44050177589285205
item_DIPHENHYDRAMINE HYDROCHLO,0.0004863221884498434,1.586336662324489e-05,0.03261904761904762,0.44050177589285205
item_T40601A,0.0004863221884498434,1.586336662324489e-05,0.03261904761904762,0.44050177589285205
item_J440,0.0004863221884498434,1.586336662324489e-05,0.03261904761904762,0.44050177589285205
item_O358XX1,0.00012158054711246258,3.965841655811279e-06,0.03261904761904762,0.44050177589285205
item_FETZIMA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_QVAR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ERYTHROMYCIN BASE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DORZOLAMIDE HCL/TIMOLOL M,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DIPHENHYDRAMINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RENVELA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HALOPERIDOL DECANOATE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ROZEREM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PHENADOZ,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MEPERIDINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_OXYCODONE HCL ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LEVONORGESTREL AND ETHINY,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DASETTA 1/35,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PNV-DHA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PEG 3350/ELECTROLYTES,0.0,0.0,0.03261904761904762,0.44050177589285205
item_AEROCHAMBER Z-STAT PLUS/F,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ZALEPLON,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DIFLUNISAL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FLOVENT DISKUS,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CONTOUR BLOOD GLUCOSE TES,0.0,0.0,0.03261904761904762,0.44050177589285205
item_KLOR-CON M10,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CANASA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RELPAX,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NEXIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_VITAMIN C,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LINEZOLID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FLULAVAL QUADRIVALENT 201,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MINASTRIN 24 FE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SHAROBEL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SULFACETAMIDE SODIUM/SULF,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DILTIAZEM HCL ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ERYTHROMYCIN/BENZOYL PERO,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MAKENA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ZOVIA 1/35E,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDROCORTISONE VALERATE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ZYLET,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDROCORTISONE/ACETIC ACI,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRI-ESTARYLLA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PRENATE MINI,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NATURE-THROID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_VALPROIC ACID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FERRALET 90,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RECLIPSEN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FREESTYLE TEST STRIPS,0.0,0.0,0.03261904761904762,0.44050177589285205
item_POTASSIUM CITRATE ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DILTIAZEM HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ALENDRONATE SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MEFLOQUINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SENSIPAR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ASMANEX TWISTHALER 30 MET,0.0,0.0,0.03261904761904762,0.44050177589285205
item_INCRUSE ELLIPTA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_IMIPRAMINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HUMIRA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NALOXONE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DRONABINOL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ESTRACE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_XTAMPZA ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CONSTULOSE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BD INSULIN SYRINGE ULTRAF,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ONETOUCH VERIO IQ BLOOD G,0.0,0.0,0.03261904761904762,0.44050177589285205
item_INVOKANA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ORTHO TRI-CYCLEN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_YAZ,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CEFPROZIL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_THERA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FENOFIBRATE MICRONIZED,0.0,0.0,0.03261904761904762,0.44050177589285205
item_AMETHIA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PERPHENAZINE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ELIDEL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRI-LO-ESTARYLLA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ORTHO TRI-CYCLEN LO,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BUTRANS,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PAROXETINE HCL ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_INDOMETHACIN ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_COPAXONE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_JOLESSA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ANDROGEL PUMP,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NOVOLOG MIX 70/30 PREFILL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MOVANTIK,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LEFLUNOMIDE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CIPRO HC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BYDUREON PEN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PROCTOFOAM HC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRAMADOL HCL ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ALCLOMETASONE DIPROPIONAT,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDRALAZINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TIMOLOL MALEATE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CONTOUR BLOOD GLUCOSE MON,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NOVOFINE PEN NEEDLE 32G X,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TECFIDERA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_VESICARE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRI-LEGEST FE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRIVORA-28,0.0,0.0,0.03261904761904762,0.44050177589285205
item_VITAPEARL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ENBREL SURECLICK,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NOVOLIN N,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ANUSOL-HC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRI-LINYAH,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CALCIUM ACETATE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BENAZEPRIL HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DIFFERIN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CIALIS,0.0,0.0,0.03261904761904762,0.44050177589285205
item_EPCLUSA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ATROVENT HFA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NYAMYC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CROMOLYN SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RABEPRAZOLE SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MUCINEX DM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NECON 0.5/35-28,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TOUJEO SOLOSTAR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MINOXIDIL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PENTASA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SENEXON-S,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CAMRESE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SALICYLIC ACID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NEXIUM 24HR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_OXYCODONE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ZOLMITRIPTAN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PREVIFEM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_OXAZEPAM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_DESMOPRESSIN ACETATE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYOSCYAMINE SULFATE ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BUDESONIDE NASAL SPRAY,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CYCLAFEM 1/35,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LARIN FE 1.5/30,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SAVELLA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_POTASSIUM CHLORIDE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDROCODONE BITARTRATE/HO,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BALZIVA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ATENOLOL/CHLORTHALIDONE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RA LORATADINE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CLOMIPRAMINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ALTAVERA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ISONIAZID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PROCTO-MED HC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_JOLIVETTE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_BISOPROLOL FUMARATE/HYDRO,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NORTREL 7/7/7,0.0,0.0,0.03261904761904762,0.44050177589285205
item_KLOR-CON 10,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FALMINA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NUCYNTA ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PEG-3350/ELECTROLYTES,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TETRACYCLINE HYDROCHLORID,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ULORIC,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ARNUITY ELLIPTA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_JUBLIA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ALPRAZOLAM ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_OXAPROZIN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TRINESSA LO,0.0,0.0,0.03261904761904762,0.44050177589285205
item_GLIPIZIDE XL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_QNASL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RAMIPRIL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MARLISSA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SULFACETAMIDE SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FLECTOR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TIVICAY,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RETIN-A MICRO PUMP,0.0,0.0,0.03261904761904762,0.44050177589285205
item_XOLAIR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_INTROVALE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDROXYUREA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_3ML LUER-LOK SYRINGE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PREDNISOLONE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LIALDA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MERCAPTOPURINE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FLUPHENAZINE HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TOBRADEX,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ACETAZOLAMIDE ER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ANASTROZOLE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SM NICOTINE TRANSDERMAL S,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PRENATE DHA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_NADOLOL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PIRMELLA 1/35,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PROMETHAZINE/PHENYLEPHRIN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LEVALBUTEROL TARTRATE HFA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MELODETTA 24 FE,0.0,0.0,0.03261904761904762,0.44050177589285205
item_EQ STOOL SOFTENER,0.0,0.0,0.03261904761904762,0.44050177589285205
item_XARELTO STARTER PACK,0.0,0.0,0.03261904761904762,0.44050177589285205
item_SANTYL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_FLONASE ALLERGY RELIEF,0.0,0.0,0.03261904761904762,0.44050177589285205
item_TIROSINT,0.0,0.0,0.03261904761904762,0.44050177589285205
item_PROMETHAZINE VC PLAIN,0.0,0.0,0.03261904761904762,0.44050177589285205
item_MILK OF MAGNESIA,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HEPARIN SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_HYDROMET,0.0,0.0,0.03261904761904762,0.44050177589285205
item_VERAPAMIL HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CIPROFLOXACIN HCL,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CYPROHEPTADINE HYDROCHLOR,0.0,0.0,0.03261904761904762,0.44050177589285205
item_N19,0.0,0.0,0.03261904761904762,0.44050177589285205
item_G40901,0.0,0.0,0.03261904761904762,0.44050177589285205
item_G8911,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ASPIR-LOW,0.0,0.0,0.03261904761904762,0.44050177589285205
item_YASMIN 28,0.0,0.0,0.03261904761904762,0.44050177589285205
item_LANSOPRAZOLE/AMOXICILLIN/,0.0,0.0,0.03261904761904762,0.44050177589285205
item_CEFTRIAXONE SODIUM,0.0,0.0,0.03261904761904762,0.44050177589285205
item_COLCRYS,0.0,0.0,0.03261904761904762,0.44050177589285205
item_RA VITAMIN D-3,0.0,0.0,0.03261904761904762,0.44050177589285205
item_ULTICARE INSULIN SYRINGE,0.0,0.0,0.03261904761904762,0.44050177589285205
