article_id,title,pubdate,pmc_id,authors,search_num,source_file,ontology_nodes,domain_primary,node_primary,ooda_phase_primary,key_phrases,comprehend_entities,rq1_score,rq2_score,n1_score,n4_score,n5_score,composite_score,include_recommended,screen_reason,human_decision
87,Defining the Pediatric Radiology Workforce in the United States Using Insurance Claims Data.,2025,HSHd1a01470,"Morales-Tisnés, Pelzl, Christensen, Rula, Otero",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,insurance claims data; the united states using insurance claims data; the pediatric radiology workforce; the united states,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
89,Medicaid Enrollees With Opioid Use Disorder Were More Likely To Receive Medication Treatment Than Commercial Enrollees.,2025,HSHd1a01470,"Shen, Thornburg, Kennedy-Hendricks, Meiselbach",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,clinical_outcomes::opioid_ed|data_sources::claims_apcd,clinical_outcomes,opioid_ed,act,opioid use disorder; commercial enrollees; medication treatment; medicaid enrollees,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
135,Disparities in End-of-Life Care: A Retrospective Study on Intensive Care Utilization and Advance Care Planning in the Colorado All-Payer Claims Database.,2026,HSHd1a01470,"Holladay Ford, Landry, Jha, Meyer",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,advance care planning; intensive care utilization; intensive care utilization and advance care planning; colorado; life,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
172,"Decreasing Incident Opioid Use Disorder, Especially Adolescent and Young Adult.",2025,HSHd1a01470,"Harder, Schafrick, Peasley-Miklus, Villanti",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,clinical_outcomes::opioid_ed|data_sources::claims_apcd,clinical_outcomes,opioid_ed,act,decreasing incident opioid use disorder; young adult; especially adolescent,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
174,Economic burden of systemic lupus erythematosus and lupus nephritis in France: a nationwide population-based study using the French medico-administrative (SNDS) claims database.,2025,HSHd1a01470,"Arnaud, Fabry-Vendrand, Todea, Vidal, Cottin, Bureau, Bouée, Thabut",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,systemic lupus erythematosus; lupus nephritis; economic burden; french; france,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
202,"Clinical manifestations, healthcare resource utilization, and costs among patients with long-chain fatty acid oxidation disorders: a retrospective claims database analysis.",2024,HSHd1a01470,"Yang, Fang, Tan, Guo, He, Kruger, Nedzesky, Marsden",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,healthcare resource utilization; clinical manifestations; costs; patients; a retrospective claims database analysis,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
281,Rhode Island (RI) Women's Breast Cancer Mammography Use Prior to and After Cancer Diagnosis: Linkage of RI Cancer Registry Data With RI All-Payer Claims Database.,,HSHd1a01470,"Vyas, Kamat, Oh",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,ri cancer registry data; cancer diagnosis; ri all-payer claims database; rhode island; ri) womens breast cancer mammography,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
291,Physician-Level Continuity of Care and Patient Outcomes in All-Payer Claims Database.,2024,HSHd1a01470,"Dai, Morgan, Russel, Bortz, Peterson, Bazemore",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,all-payer claims database; care and patient outcomes; physician-level continuity; physician-level continuity of care and patient outcomes,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
313,Cost and Use Trends of Endomyocardial Biopsy in Heart Transplant Patients: A 4-Year Claims Data Analysis.,2023,HSHd1a01470,Vilalta,2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,heart transplant patients; endomyocardial biopsy; claims data analysis; cost and use trends; a 4-year claims data analysis,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
319,Real-world expenditures and survival time after CAR-T treatment for large B-cell lymphoma in Switzerland: a retrospective study using insurance claims data.,2023,HSHd1a01470,"Trottmann, Blozik, Hilbig, LoVerdi, Pedruzzi, Scherer, Weiss, Pletscher, Meier",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,survival time; insurance claims data; large b-cell lymphoma; car; switzerland,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
339,How All-Payer Claims Databases (APCDs) Can be Used to Examine Changes in Professional Spending: Experience from the Rhode Island APCD.,2023,HSHd1a01470,"Philips, Lee, James, Lucht, Wilson",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,professional spending; experience; apcds; changes; the rhode island apcd,,0.15,0.0,0.0,0.0,0.0,0.1725,include,score=0.172,
344,Healthcare Costs and Utilization for Patients With Systemic Lupus Erythematosus in China: A National Claims Database Study.,2023,HSHd1a01470,"He, Lloyd, Cooper, Li, Chauhan, Juliao, Quasny, Bao",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,systemic lupus erythematosus; healthcare costs; patients; china; utilization,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
370,Postoperative Opioid Use Among Opioid-Naive Cannabis Users Following Single-Level Lumbar Fusions.,2023,HSHd1a01470,"Khalid, Jiang, Khilwani, Thomson, Mirpuri, Mehta",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,postoperative opioid use; opioid-naive cannabis users; single-level lumbar fusions,,0.0,0.0476,0.0,0.0,0.0,0.0547,include,score=0.055,
381,Use of the FreeStyle Libre system and diabetes treatment progression in T2DM: Results from a retrospective cohort study using a Canadian private payer claims database.,2023,HSHd1a01470,"Harris, Levrat-Guillen",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,treatment progression; freestyle libre; a canadian private payer claims database; canadian; results,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
406,Costs of biomarker testing among patients with metastatic lung or thyroid cancer in the USA: a real-world commercial claims database study.,2023,HSHd1a01470,"Hess, Michael, Krein, Marquart, Sireci",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,metastatic lung; thyroid cancer; biomarker testing; patients; a real-world commercial claims database study,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
418,Commercial Claims Data Sources: PearlDiver and Individual Payer Databases.,2022,HSHd1a01470,"Bolognesi, Habermann",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,commercial claims data sources; individual payer databases; commercial claims data sources: pearldiver; pearldiver,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
427,The Future of State All-Payer Claims Databases.,2023,HSHd1a01470,"Blewett, Mac Arthur, Campbell",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,state all-payer claims databases; the future of state all-payer claims databases; the future,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
433,Long-Term Prescription Opioid Use After Injury in Washington State 2015-2018.,2022,HSHd1a01470,"Lyons, Haviland, Zhang, Whiteside, Arbabi, Vavilala, Curatolo, Rivara, Rowhani-Rahbar",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,washington state; long-term prescription opioid use; injury; washington; 2015-2018,,0.0,0.0476,0.0,0.0,0.0,0.0547,include,score=0.055,
463,"Health care resource utilization in the management of patients with Arginase 1 Deficiency in the US: a retrospective, observational, claims database study.",2022,HSHd1a01470,"Bin Sawad, Jackimiec, Bechter, Hull, Yeaw, Wang, Diaz",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,"health care resource utilization; us; patients; arginase 1 deficiency; a retrospective, observational, claims database study",,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
466,Long-term patient outcomes following buprenorphine/naloxone treatment for opioid use disorder: a retrospective analysis in a commercially insured population.,2022,HSHd1a01470,"Hasan, Noor-E-Alam, Shi, Young, Young",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,clinical_outcomes::opioid_ed|data_sources::claims_apcd,clinical_outcomes,opioid_ed,act,opioid use disorder; long-term patient outcomes; buprenorphine/naloxone treatment; a retrospective analysis; a commercially insured population,,0.0,0.1905,0.0,0.0,0.0,0.1905,include,score=0.191,
479,Evolution of TAVI patients and techniques over the past decade: The French TAVI registries.,2022,HSHd1a01470,"Didier, Le Breton, Eltchaninoff, Cayla, Commeau, Collet, Cuisset, Dumonteil, Verhoye, Beurtheret, Lefèvre, Iung, Gilard",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,clinical_outcomes::polypharmacy_ed|data_sources::claims_apcd,clinical_outcomes,polypharmacy_ed,act,tavi patients; techniques; french; evolution; the french tavi registries,,0.05,0.0,0.0,0.0,0.0,0.05,include,score=0.050,
492,Follow-Up After Asthma Emergency Department Visits and Its Relationship With Subsequent Asthma-Related Utilization.,2022,HSHd1a01470,"Bardach, Harder, McCulloch, Thombley, Shaw, Hart, Cabana",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,asthma emergency department visits; subsequent asthma-related utilization; follow-up; its relationship,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
497,Five-Year Trends in Pediatric Mental Health Emergency Department Visits in Massachusetts: A Population-Based Cohort Study.,2022,HSHd1a01470,"Lin, Kim, Sheldrick, Bair-Merritt, Durham, Feinberg, Cole",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,pediatric mental health emergency department visits; massachusetts; a population-based cohort study; five-year trends; five-year,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
