title,pubdate,pmc_id,authors
Dementia and Alzheimer's Disease Associated With Aromatase Inhibitors: A Disproportionality Analysis of the WHO Pharmacovigilance Database (VigiBase).,2025,PMC11803411,"Yuste, Sainz-Gil, Escudero, Marín"
Dihydropyrimidine dehydrogenase testing: capturing what standard genotyping misses with next-generation sequencing.,2026,NA,"Sourdioux, Ksentini, Chastagner, Tron, Picard"
Do peripheral neuropathies differ among immune checkpoint inhibitors? Reports from the European post-marketing surveillance database in the past 10 years.,2023,PMC10060793,"Ruggiero, Balzano, Di Napoli, Fraenza, Pentella, Riccardi, Donniacuo, Tesorone, Danesi, Del Re, Rossi, Capuano"
Drug-Drug interactions and special considerations in breast cancer patients treated with CDK4/6 inhibitors: A comprehensive review.,2025,NA,"Sahin, Kavgaci, Guven, Aksoy"
Drug-induced comorbidities in patients with sarcoidosis.,2022,PMC9451917,"Drent, Jessurun, Wijnen, Bekers, Bast"
Drug-induced hepatotoxicity and association with slow acetylation variants NAT2*5 and NAT2*6 in Cameroonian patients with tuberculosis and HIV co-infection.,2024,PMC11293078,"Cho, Achidi, Enoh, Pallerla, Linh, Tong, Kamgno, Penlap, Adegnika, Lekana-Douki, Bouyou-Akotet, Kahunu, Lutete, Bates, Tembo, Elton, McHugh, Grobusch, Zumla, Ntoumi, Velavan"
Drug-induced hyponatraemia and possible related signals: Analysis of 659 cases reported to the Spanish Pharmacovigilance System and disproportionality analysis.,2024,NA,"Estévez Asensio, García, Verde Rello, Velasco-González, Fernández-Araque, Sainz-Gil"
Drugs-associated with red man syndrome: An integrative approach using disproportionality analysis and Pharmip.,2022,NA,"M Shaju, Panicker, Chandni, Lakshmi Prasanna, Nair, Subeesh"
Episodic Neuropathic-Like Musculoskeletal Pain Associated With Ritlecitinib Therapy in Alopecia Universalis: A Case Report.,2025,PMC12614120,"Bhardwaj, Aramandla, Naveed, Tu, Mai"
Evaluating genotype-treatment interactions for high-risk medications in British general practice: a retrospective cohort study using UK Biobank.,2025,NA,"Mokbel, Weedon, Daniels, Moye, Jackson"
Everolimus Personalized Therapy: Second Consensus Report by the International Association of Therapeutic Drug Monitoring and Clinical Toxicology.,2025,NA,"Masuda, Lemaitre, Barten, Bergan, Shipkova, van Gelder, Vinks, Wieland, Bornemann-Kolatzki, Brunet, de Winter, Dieterlen, Elens, Ito, Johnson-Davis, Kunicki, Lawson, Lloberas, Marquet, Millan, Mizuno, Moes, Noceti, Oellerich, Pattanaik, Pawinski, Seger, van Schaik, Venkataramanan, Walson, Woillard, Langman"
Exploring the impact of design criteria for reference sets on performance evaluation of signal detection algorithms: The case of drug-drug interactions.,2023,PMC10947279,"Kontsioti, Maskell, Pirmohamed"
Facilitators and Barriers to Uptake of the Med Safety Mobile App for Adverse Drug Reaction Reporting by Health Workers in Uganda: A Qualitative Study.,2023,PMC10127980,"Kiguba, Zakumumpa, Ndagije, Mwebaza, Ssenyonga, Tregunno, Harrison, Pirmohamed"
French-Speaking Network of Pharmacogenetics (RNPGx) Recommendations for Clinical Use of Mavacamten.,2025,PMC11739748,"Lebreton, Boyer, Lafay-Chebassier, Hennart, Baklouti, Cunat, Vilquin, Medard, Gautier-Veyret, Laffitte-Redondo, Verstuyft, Ait Tayeb, Haufroid, Wils, Lamoureux, Evrard, Davaze-Schneider, Ben-Sassi, Picard, Quaranta, Ayme-Dietrich"
French-Speaking Network of Pharmacogenetics (RNPGx) Recommendations for Gene Panel Analysis Through Genotyping or Sequencing in Pharmacogenetics.,2026,NA,"Picard, Ayme-Dietrich, Quaranta, Adam-De-Beaumais, Ait Tayeb, Alarcan, Amor, Barthelemy, Sassi, Cunat, Daldoul, Delacour, Etienne-Grimaldi, Fonrose, Hennart, Lebreton, Malard, Narjoz, Omezzine, Pallet, Payen, Petit, Thomas, Trabelsi, Tron, Verstuyft, Vilquin, Boyer, Haufroid"
Genetic and Molecular Aspects of Drug-Induced QT Interval Prolongation.,2021,PMC8347245,"Baracaldo-Santamaría, Llinás-Caballero, Corso-Ramirez, Restrepo, Dominguez-Dominguez, Fonseca-Mendoza, Calderon-Ospina"
Hepatic Models in Precision Medicine: An African Perspective on Pharmacovigilance.,2022,PMC9046844,"Hurrell, Naidoo, Scholefield"
Hepatitis B reactivation in patients with multiple myeloma treated with anti-CD38 monoclonal antibody-based therapies: a pharmacovigilance analysis.,2023,PMC9685179,"Moore, Elmes, Arnall, Strassels, Patel"
Host pharmacogenetic factors that may affect liver neoplasm incidence upon using direct-acting antivirals for treating hepatitis C infection.,2021,PMC8113831,"Zidan, Saad, Ibrahim, Hashem, Mahmoud, Hemeida"
How to facilitate the wider use of pharmacogenetic tests?,2025,NA,"Verstuyft, Dewolf, Blin, Florentin, Mesnard, Chaumette, Ayme-Dietrich, Raymond, Lang, Lamazière, Allard, Samelson, Lamezec, Loriot, Le Bozec, Picard"
Hydroxychloroquine safety in Covid-19 vs non-Covid-19 patients: analysis of differences and potential interactions.,2023,NA,"Sainz-Gil, Merino Kolly, Velasco-González, Verde Rello, Fernandez-Araque, Sanz Fadrique, Martín Arias"
Identification of adverse drug reactions that may be related to pharmacogenetics in a public hospital in the South of Brazil.,2023,NA,"Camargo, Matte, Botton"
Identification of risk factors for adverse drug reactions in a pharmacovigilance database.,2023,NA,"Attelind, Eriksson, Sundström, Wadelius, Hallberg"
Identification of risk factors for adverse drug reactions in a pharmacovigilance database.,2024,NA,"Attelind, Eriksson, Sundström, Wadelius, Hallberg"
Immune Checkpoint Inhibitors and Cardiotoxicity: An Analysis of Spontaneous Reports in Eudravigilance.,2021,PMC8370948,"Mascolo, Scavone, Ferrajolo, Rafaniello, Danesi, Del Re, Russo, Coscioni, Rossi, Alfano, Capuano"
Immune checkpoint inhibitor-induced acquired haemophilia: A pharmacovigilance analysis of the FDA adverse event reporting system.,2022,NA,"Moore, Elmes, Arnall, Strassels, Patel"
