title,pubdate,pmc_id,authors
Association of Stroke Lesion Pattern and White Matter Hyperintensity Burden With Stroke Severity and Outcome.,2022,PMC9576289,"Bonkhoff, Hong, Bretzner, Schirmer, Regenhardt, Arsava, Donahue, Nardin, Dalca, Giese, Etherton, Hancock, Mocking, McIntosh, Attia, Benavente, Cole, Donatti, Griessenauer, Heitsch, Holmegaard, Jood, Jimenez-Conde, Kittner, Lemmens, Levi, McDonough, Meschia, Phuah, Rolfs, Ropele, Rosand, Roquer, Rundek, Sacco, Schmidt, Sharma, Slowik, Soederholm, Sousa, Stanne, Strbian, Tatlisumak, Thijs, Vagal, Wasselius, Woo, Zand, McArdle, Worrall, Jern, Lindgren, Maguire, Golland, Bzdok, Wu, Rost"
Attention mechanism models for precision medicine.,2024,PMC11136616,Cheng
"Automated warfarin dose prediction for Asian, American, and Caucasian populations using a deep neural network.",2023,NA,"Jahmunah, Chen, Oh, Acharya, Chowbay"
Benchmarking large language models for replication of guideline-based PGx recommendations.,2025,PMC7646874,"Zack, Slobodchikov, Stupichev, Moore, Sokolov, Trifonov, Gobbs"
Bimodal Gene Expression in Patients with Cancer Provides Interpretable Biomarkers for Drug Sensitivity.,2022,NA,"Ba-Alawi, Nair, Li, Mammoliti, Smirnov, Mer, Penn, Haibe-Kains"
Bioinformatic challenges for pharmacogenomic study: tools for genomic data analysis.,2025,PMC12022492,"Arbitrio, Milano, Lucibello, Altomare, Staropoli, Tassone, Tagliaferri, Cannataro, Agapito"
Building and analyzing machine learning-based warfarin dose prediction models using scikit-learn.,2022,PMC9810489,Ahn
CAN-Scan: A multi-omic phenotype-driven precision oncology platform identifies prognostic biomarkers of therapy response for colorectal cancer.,2025,PMC12047494,"Chia, Wen Seow, Peres da Silva, Suphavilai, Shirgaonkar, Murata-Hori, Zhang, Yong, Pan, Thangavelu, Periyasamy, Yap, Anand, Muliaditan, Chan, Siyu, Yong, Hong, Ran, Sim, Guo, Yi Teh, Wei Ling, Wei Tan, Pei Cherylin, Chang, Han, Seow-En, Chen Hui, Hsia Gan, Yap, Ng, Skanderup, Chinswangwatanakul, Riansuwan, Trakarnsanga, Pithukpakorn, Tanjak, Chaiboonchoe, Park, Kim, Iyer, Tsantoulis, Tejpar, Kim, Kim, Sampattavanich, Tan, Nagarajan, DasGupta"
CREAMMIST: an integrative probabilistic database for cancer drug response prediction.,2023,PMC9825458,"Yingtaweesittikul, Wu, Mongia, Peres, Ko, Nagarajan, Suphavilai"
CTDN (Convolutional Temporal Based Deep- Neural Network): An Improvised Stacked Hybrid Computational Approach for Anticancer Drug Response Prediction.,2023,NA,"Singh, Kaushik"
Can artificial intelligence accelerate preclinical drug discovery and precision medicine?,2022,NA,"Farnoud, Ohnmacht, Meinel, Menden"
Cancer Drug Sensitivity Prediction Based on Deep Transfer Learning.,2025,PMC11942577,"Meng, Xu, Xiao, Gao, Yu"
Challenges and opportunities associated with rare-variant pharmacogenomics.,2022,NA,"Zhou, Tremmel, Schaeffeler, Schwab, Lauschke"
Challenges and prospects in bridging precision medicine and artificial intelligence in genomic psychiatric treatment.,2024,PMC11331387,"Okpete, Byeon"
