title,authors,pubdate,pmc_id
"Inappropriate medication prescribing, polypharmacy, potential drug-drug interactions and medication regimen complexity in older adults attending three referral hospitals in Asmara, Eritrea: a cross-sectional study.","Abdu, Idrisnur, Said, Kifle, Habte, Ghirmai, Tewelde, Siele, Tesfamariam",2025,PMC11789384
Medication Use Quality and Safety in Older Adults: 2023 Update.,"Hart, Vo, Hanlon, Schmader, Gray",2025,PMC12215870
"Blood pressure targets, medication considerations and special concerns in elderly hypertension III: Focus on stroke and neurodegenerative disorders.","Li, Hsueh, Tsai, Chang, Cheng, Cheng, Yeh, Lin, Tsai",2025,HSH1fbb06ad
Prevalence and factors associated with potential clinically significant drug-drug interactions in patients with cardiovascular diseases at hospital admission.,"Marović, Udovičić, Rudan, Manola, Samardžić, Vrca, Hadžiabdić, Marinović",2024,HSH1fbb06ad
The European Drug-Drug Interaction (EuroDDI) Study Protocol: A Cross-Country Comparison of Drug-Drug Interaction Prevalence in the Older Community-Dwelling Population.,"Hughes, Menditto, Mucherino, Orlando, Moreno-Juste, Gimeno-Miguel, Poblador-Plou, Aza-Pascual-Salcedo, González-Rubio, Ioakeim-Skoufa, Bennett, Cahir",2025,PMC11706702
Patterns of medication use and potential drug-drug interactions in post-PCI patients: A study from Iran.,"Vafa, Vardanjani, Kojuri",2024,HSH1fbb06ad
Measurement of Cumulative Drug Exposure from Clinical Data Warehouse.,"Bories, Bannay, Pierre-Jean, Bouzille, Le Corre",2024,HSH1fbb06ad
Drug-gene interactions in older patients with coronary artery disease.,"Zhang, Lv, Dong, Wu, Yin",2024,PMC11515805
Magnitude of multiple drug use and determinants of vulnerability among chronic kidney disease inpatients in Ethiopia: a multi-center study.,"Zeleke, Abebe, Wondm, Tegegne",2024,PMC11460044
Potentially Inappropriate Medication: A Pilot Study in Institutionalized Older Adults.,"Andrade, Nascimento, Cabrita, Leitão, Pinto",2024,PMC11241476
[Prevention of drug iatrogenicity].,Scheen,2024,HSH1fbb06ad
Thinking Three-Dimensionally: A Self- and Externally-Controlled Approach to Screening for Drug-Drug-Drug Interactions Among High-Risk Populations.,"Acton, Hennessy, Gelfand, Leonard, Bilker, Shu, Willis, Kasner",2024,PMC11262479
[Current challenges for therapy of comorbid patients: a new look at celecoxib. A review].,"Zyryanov, Baybulatova",2024,HSH1fbb06ad
Drug prescription appropriateness in hospitalized older patients: 15-year results and lessons from a countrywide register.,"Nobili, Mannucci",2024,PMC5651307
Deprescribing of antidepressants: development of indicators of high-risk and overprescribing using the RAND/UCLA Appropriateness Method.,"Brisnik, Vukas, Jung-Sievers, Lukaschek, Alexander, Thiem, Thürmann, Schüle, Fischer, Baum, Drey, Harder, Niebling, Janka, Krause, Gensichen, Dreischulte",2024,PMC11089726
Ageing-related considerations for medication used in supportive care in cancer.,"Walsh, O'Driscoll, Sahm, Meagher, Doblas, McGowan, Smith-Lehane, Hannan, Goggin, Buckley, Horgan",2024,HSH1fbb06ad
Drug Related Problems among Older Inpatients at a Tertiary Care Setting.,"Pramotesiri, Putthipokin, Ruangritchankul",2024,PMC10971276
Efficacy and safety of switching to dolutegravir/lamivudine in virologically suppressed people with HIV-1 aged ≥ 50 years: week 48 pooled results from the TANGO and SALSA studies.,"Walmsley, Smith, Górgolas, Cahn, Lutz, Lacombe, Kumar, Wynne, Grove, Bontempo, Moodley, Okoli, Kisare, Jones, Clark, Ait-Khaled",2024,PMC10958962
Evaluation of medication safety assessment tools for pharmacist-led medication reviews: the Eastern European pilot project.,"Tuula, Merks, Waszyk-Nowaczyk, Drozd, Petrova, Viola, Bobrova, Scott, Oona, Volmer",2024,PMC10904472
Risk Factors for Potential Drug-Drug Interactions in Patients on Chronic Peritoneal Dialysis.,"Stojadinovic, Lausevic, Milosevic, Zaric, Jemcov, Komadina, Petrovic, Djuric, Bulatovic, Jakovljevic, Jankovic",2024,HSH1fbb06ad
Perceptions on artificial intelligence-based decision-making for coexisting multiple long-term health conditions: protocol for a qualitative study with patients and healthcare professionals.,"Gunathilaka, Gooden, Cooper, Flanagan, Marshall, Haroon, D'Elia, Crowe, Jackson, Nirantharakumar, Greenfield",2024,PMC10836375
Prevalence and Appropriateness of Polypharmacy in Older Adults with Inflammatory Bowel Diseases.,"Kochar, Rusher, Araka, Glasser, Lai, Ritchie, Ananthakrishnan",2024,PMC4752169
Lithium prescription trends in psychiatric inpatient care 2014 to 2021: data from a Bavarian drug surveillance project.,"Kriner, Severus, Korbmacher, Mußmann, Seemueller",2023,PMC10730486
Integrated approach to reducing polypharmacy in older people: exploring the role of oxidative stress and antioxidant potential therapy.,"Rojas-Solé, Pinilla-González, Lillo-Moya, González-Fernández, Saso, Rodrigo",2024,PMC10732214
Polypharmacy and drug-drug interactions in metastatic breast cancer patients receiving cyclin-dependent kinase (CDK) 4/6 inhibitors.,"Kapagan, Bulut, Erdem",2024,HSH1fbb06ad
Medication-Related Problems and Their Intervention in the Geriatric Population: A Review of the Literature.,Falemban,2023,PMC10545972
Iatrogenic Side Effects of Pain Therapies.,"Gharibo, Drewes, Breve, Rekatsina, Narvaez Tamayo, Varrassi, Paladini",2023,PMC10545448
Optimizing Pharmacotherapy for Direct Oral Anticoagulants in Older Adults: Strategies for Managing Drug Interactions.,"Tran, Brodeur",2023,HSH1fbb06ad
Polypharmacy in US Medicare beneficiaries with antineutrophil cytoplasmic antibody vasculitis.,"Cao, Hogan, Derebail, Ehlert, Thorpe",2023,PMC10387912
Hospitalization due to adverse drug events in older adults with cancer: A retrospective analysis.,"Walsh, Sahm, O'Driscoll, Bolger, Ameen, Hannan, Goggin, Horgan",2023,HSH1fbb06ad
Feasibility study of a clinical decision support system for polymedicated patients in primary care.,"Pinar Manzanet, Fico, Merino-Barbancho, Hernández, Vera-Muñoz, Seara, Torrego, Gonzalez, Wastesson, Fastbom, Mayol, Johnell, Gómez-Gascón, Arredondo",2023,PMC10230557
Limiting Factors in Implementing Pharmacovigilance Principles in the Elderly.,"Shah, Nagi, Khare, Hassan, Siu",2023,PMC10148568
Association of polypharmacy with all-cause mortality and adverse events among elderly colorectal cancer survivors.,"Choi, Kang, Zhang, Jhang, Jeong, Park",2023,HSH1fbb06ad
Nirmatrelvir/ritonavir (Paxlovid®): French pharmacovigilance survey 2022.,"Bihan, Lipszyc, Lemaitre, Dautriche, Fédrizzi, Atzenhoffer, Vitores, Page, Lebrun-Vignes",2023,PMC9990891
Safety and Tolerability of Antimicrobial Agents in the Older Patient.,"Soraci, Cherubini, Paoletti, Filippelli, Luciani, Laganà, Gambuzza, Filicetti, Corsonello, Lattanzio",2023,PMC10043546
Therapeutic Drug Monitoring of Blood Sirolimus and Tacrolimus Concentrations for Polypharmacy Management in a Lymphangioleiomyomatosis Patient Taking Two Cytochrome P450 3A Inhibitors.,"Kumondai, Kikuchi, Mizuguchi, Hayashi, Ui, Hirama, Okada, Sato, Sato, Maekawa, Mano",2023,HSH1fbb06ad
Dietary supplement and complementary and alternative medicine use among older adults in Australia and the United States.,"Fravel, Ernst, Gilmartin-Thomas, Woods, Orchard, Owen",2023,PMC10460828
