feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_ALLOPURINOL,True,True,30.0,20.0,-10.0
item_drug_ALPRAZOLAM,True,True,26.0,7.0,-19.0
item_drug_AMOXICILLIN,False,True,,23.0,
item_drug_ATENOLOL,True,False,31.0,,
item_drug_AZITHROMYCIN,True,True,17.0,9.0,-8.0
item_drug_BENZONATATE,True,True,19.0,6.0,-13.0
item_drug_CARVEDILOL,True,True,21.0,11.0,-10.0
item_drug_CEFDINIR,True,True,40.0,19.0,-21.0
item_drug_CEPHALEXIN,True,True,28.0,22.0,-6.0
item_drug_CLONAZEPAM,True,True,29.0,25.0,-4.0
item_drug_ERYTHROMYCIN,True,False,23.0,,
item_drug_FLUCONAZOLE,True,True,36.0,10.0,-26.0
item_drug_GABAPENTIN,False,True,,1.0,
item_drug_GLIMEPIRIDE,True,True,32.0,15.0,-17.0
item_drug_HYDROCHLOROTHIAZIDE,True,True,24.0,5.0,-19.0
item_drug_IBUPROFEN,True,True,18.0,14.0,-4.0
item_drug_JANUVIA,False,True,,17.0,
item_drug_KETOCONAZOLE,True,False,34.0,,
item_drug_LEVOFLOXACIN,False,True,,18.0,
item_drug_LISINOPRIL,True,True,16.0,2.0,-14.0
item_drug_LORAZEPAM,False,True,,13.0,
item_drug_LYRICA,False,True,,21.0,
item_drug_MELOXICAM,True,True,39.0,12.0,-27.0
item_drug_METRONIDAZOLE,True,False,33.0,,
item_drug_MUPIROCIN,True,False,25.0,,
item_drug_NAPROXEN,True,True,37.0,24.0,-13.0
item_drug_NYSTATIN,True,True,35.0,16.0,-19.0
item_drug_OFLOXACIN,True,False,38.0,,
item_drug_OMEPRAZOLE,True,True,15.0,4.0,-11.0
item_drug_PREDNISONE,True,True,27.0,3.0,-24.0
item_drug_SIMVASTATIN,True,True,20.0,8.0,-12.0
