feature,mean_abs_shap,rank,is_drug
item_drug_GABAPENTIN,0.12758212,1,True
item_drug_LISINOPRIL,0.120867625,2,True
item_drug_PREDNISONE,0.10819797,3,True
item_drug_OMEPRAZOLE,0.07717097,4,True
item_drug_HYDROCHLOROTHIAZIDE,0.07520476,5,True
item_drug_BENZONATATE,0.060571875,6,True
item_drug_ALPRAZOLAM,0.058683336,7,True
item_drug_SIMVASTATIN,0.04840368,8,True
item_drug_AZITHROMYCIN,0.046117015,9,True
item_drug_FLUCONAZOLE,0.040401425,10,True
item_drug_CARVEDILOL,0.03557793,11,True
item_drug_MELOXICAM,0.03531164,12,True
item_drug_LORAZEPAM,0.030698031,13,True
item_drug_IBUPROFEN,0.029562378,14,True
item_drug_GLIMEPIRIDE,0.021947475,15,True
item_drug_NYSTATIN,0.02162135,16,True
item_drug_JANUVIA,0.018794881,17,True
item_drug_LEVOFLOXACIN,0.017588532,18,True
item_drug_CEFDINIR,0.016704656,19,True
item_drug_ALLOPURINOL,0.015531387,20,True
item_drug_LYRICA,0.01486422,21,True
item_drug_CEPHALEXIN,0.013901877,22,True
item_drug_AMOXICILLIN,0.01376044,23,True
item_drug_NAPROXEN,0.013480653,24,True
item_drug_CLONAZEPAM,0.012666915,25,True
