feature,scaled_importance_mean,scaled_importance_std,scaled_importance_count,importance_mean,importance_std,recall_mean,logloss_mean
item_H0020,17.170562526670935,1.5566511593357129,25,20.846128113960532,1.844572575089287,0.8235469026548672,0.11614003385264478
item_SUBOXONE,8.899299329288375,0.5215220297846439,25,10.806976398551353,0.6468512755151024,0.8235469026548672,0.11614003385264478
item_80307,8.756896262747606,0.7386141370539603,25,10.6359870211942,0.9257124231137481,0.8235469026548672,0.11614003385264478
item_S0109,5.6163652323417566,1.246914842308365,25,6.819334006828408,1.5088233153401578,0.8235469026548672,0.11614003385264478
item_82075,3.480505017503296,0.4299749204869285,25,4.227132266803798,0.5299697247299044,0.8235469026548672,0.11614003385264478
item_80305,3.0704100661504214,0.3941389200602348,25,3.7281232320353994,0.4777161866482816,0.8235469026548672,0.11614003385264478
item_H0004,3.003866373274823,1.4097104397705549,25,3.644912893924569,1.7047101549841785,0.8235469026548672,0.11614003385264478
item_G0483,1.8211591370027134,0.15278672453982345,25,2.211797926374517,0.1904554359089813,0.8235469026548672,0.11614003385264478
item_BUPRENORPHINE HCL/NALOXON,1.8160460502184979,0.13428168820266506,25,2.20484385346695,0.15804218476584211,0.8235469026548672,0.11614003385264478
item_99396,1.5116055742790317,0.2532136215975728,25,1.8355246143649746,0.3080967506572675,0.8235469026548672,0.11614003385264478
item_G0480,1.3531013328646784,0.18623389735916332,25,1.6427761672396242,0.22323461858140065,0.8235469026548672,0.11614003385264478
item_90853,1.1565033434196985,0.1369968646830548,25,1.4045842981692191,0.16860374621473528,0.8235469026548672,0.11614003385264478
item_80348,0.8008387418186254,0.12410461839124165,25,0.9725847634262514,0.1515103356559575,0.8235469026548672,0.11614003385264478
item_90791,0.7624849636531202,0.18359654359351693,25,0.9256557006948759,0.22161765067564615,0.8235469026548672,0.11614003385264478
item_F1123,0.6625764996503463,0.12052567508987691,25,0.8047622509444723,0.14742184993346502,0.8235469026548672,0.11614003385264478
item_G0444,0.5869803159605002,0.06428914759343307,25,0.7127972529920851,0.0784317702281205,0.8235469026548672,0.11614003385264478
item_F1110,0.5761945390865436,0.14708215009691572,25,0.6991960531155237,0.17664529252609545,0.8235469026548672,0.11614003385264478
item_G0482,0.5636306645445345,0.05378419471885955,25,0.6843726962483677,0.06489352931656098,0.8235469026548672,0.11614003385264478
item_99214,0.5630926226415174,0.2537214289716925,25,0.6840041684443345,0.30850124649797345,0.8235469026548672,0.11614003385264478
item_GABAPENTIN,0.5441702028651032,0.15061828821173195,25,0.6607574468697791,0.18273190710778464,0.8235469026548672,0.11614003385264478
item_G0481,0.5312766786844549,0.09480817823187003,25,0.6449798833949554,0.1142490105802143,0.8235469026548672,0.11614003385264478
item_G8929,0.5034440403009164,0.07900614011819178,25,0.6113072396198551,0.09571799934797659,0.8235469026548672,0.11614003385264478
item_99283,0.42469462618509674,0.17877009958263204,25,0.5162000330453905,0.21851719949132248,0.8235469026548672,0.11614003385264478
item_NARCAN,0.4178598862399744,0.1123714215914662,25,0.5073274306201488,0.13641276639117847,0.8235469026548672,0.11614003385264478
item_CLONIDINE HYDROCHLORIDE,0.40399390929267703,0.09826139284795624,25,0.49067583028061584,0.12008432829661257,0.8235469026548672,0.11614003385264478
item_OXYCODONE HYDROCHLORIDE,0.35371338692285625,0.09313546622173594,25,0.4298252342330938,0.11453689511335256,0.8235469026548672,0.11614003385264478
item_36415,0.33971176227967864,0.1321799779566477,25,0.4125185530587898,0.1606010734499112,0.8235469026548672,0.11614003385264478
item_J0574,0.3143795245759632,0.2825989762620866,25,0.38197345172284786,0.344093077085866,0.8235469026548672,0.11614003385264478
item_ZUBSOLV,0.29767359468684035,0.08412889997188597,25,0.36143137355156646,0.10223650206781752,0.8235469026548672,0.11614003385264478
item_86592,0.2950001432812581,0.091312820732756,25,0.3581675489919882,0.11069977007543033,0.8235469026548672,0.11614003385264478
item_90792,0.2816419193509588,0.08609367396446373,25,0.3421497973106382,0.10496088107219495,0.8235469026548672,0.11614003385264478
item_Z79899,0.2800090570268969,0.0999140562442632,25,0.33984067825140973,0.12064864025578534,0.8235469026548672,0.11614003385264478
item_B182,0.2621997224541107,0.09438698298373661,25,0.3185709354827929,0.11514467078984446,0.8235469026548672,0.11614003385264478
item_BUPRENORPHINE HCL,0.24699075088648012,0.028777913823322506,25,0.29997155352645694,0.03538182462007438,0.8235469026548672,0.11614003385264478
