feature,scaled_importance_mean,scaled_importance_std,scaled_importance_count,importance_mean,importance_std,recall_mean,logloss_mean
item_H0020,0.07081191747382505,0.0026973431231686784,25,0.10386296515062017,0.0037030342950406733,0.681741592920354,0.16649919005294486
item_80307,0.056377930154880324,0.0023733667111934674,25,0.0827028942705257,0.003587694214042344,0.681741592920354,0.16649919005294486
item_S0109,0.024201516917656787,0.0025211677866563004,25,0.035501476668635575,0.0037011683322708596,0.681741592920354,0.16649919005294486
item_SUBOXONE,0.02218971987726661,0.0020440530798114874,25,0.03255286473715297,0.0030484926605886093,0.681741592920354,0.16649919005294486
item_G0483,0.015013566533722919,0.0012981616944541083,25,0.022020082693443577,0.001867231773109456,0.681741592920354,0.16649919005294486
item_80305,0.007575376798791487,0.0013058574239752088,25,0.011113998818665096,0.0019296904741185484,0.681741592920354,0.16649919005294486
item_Z79899,0.006913687071700763,0.0008904036368261358,25,0.010140578854105149,0.0013002199405441968,0.681741592920354,0.16649919005294486
item_BUPRENORPHINE HCL/NALOXON,0.004616260395485851,0.0009166325828410718,25,0.006771411695215615,0.0013450800520032093,0.681741592920354,0.16649919005294486
item_99396,0.0034742720938377076,0.0010138741273364971,25,0.005093916125221485,0.001480726851201162,0.681741592920354,0.16649919005294486
item_G9012,0.003104514685665604,0.0010083665172222873,25,0.00455995274660367,0.0015055262566533321,0.681741592920354,0.16649919005294486
item_99213,0.0029714675211307256,0.0016579925547371538,25,0.004352037802717055,0.0024202185994619285,0.681741592920354,0.16649919005294486
item_GABAPENTIN,0.002855287728230254,0.0009725834596335086,25,0.004186650915534567,0.0014213214966967277,0.681741592920354,0.16649919005294486
item_NARCAN,0.0028509504518867373,0.0010957682703385896,25,0.004177200236266981,0.001594393711422682,0.681741592920354,0.16649919005294486
item_G0481,0.0028477506024285424,0.0008766187394092761,25,0.004172474896633211,0.0012676297891101248,0.681741592920354,0.16649919005294486
item_90853,0.0026906585680757126,0.0008529136112046787,25,0.003945658594211432,0.0012441462711541248,0.681741592920354,0.16649919005294486
item_87522,0.0024451918101082606,0.0006281982793442309,25,0.0035865327820437188,0.0009200518601895022,0.681741592920354,0.16649919005294486
item_G0463,0.0021449044216424614,0.0009841298534422657,25,0.0031423508564677903,0.0014306676215463492,0.681741592920354,0.16649919005294486
item_99214,0.0021244926271110996,0.0013877287719155482,25,0.0031139988186650713,0.002031838806503468,0.681741592920354,0.16649919005294486
item_90792,0.0020384078114464017,0.0005784086244049629,25,0.0029911399881866487,0.000852364040522032,0.681741592920354,0.16649919005294486
item_QUETIAPINE FUMARATE,0.0018641071773936443,0.0007130527287511387,25,0.0027312463083284167,0.001035112764187333,0.681741592920354,0.16649919005294486
item_F1121,0.001756315907772245,0.0006380369877382891,25,0.0025753101004134704,0.0009333044216964951,0.681741592920354,0.16649919005294486
item_Z79891,0.0017198580307251643,0.0008183610339397531,25,0.0025186060248080368,0.001193927761914643,0.681741592920354,0.16649919005294486
item_A9270,0.0016890404528798902,0.0007819497109839309,25,0.002476077968103949,0.001143049629777562,0.681741592920354,0.16649919005294486
item_B182,0.0015559330716275732,0.0004761453551638529,25,0.0022823390431187195,0.0007003167494126142,0.681741592920354,0.16649919005294486
item_90471,0.0015517881542426212,0.0006737021655382628,25,0.0022728883638511643,0.0009784895618392356,0.681741592920354,0.16649919005294486
item_G0444,0.0015074218149694902,0.0004522058328348082,25,0.0022114589486119172,0.0006643542967974205,0.681741592920354,0.16649919005294486
item_G0482,0.0015043975976038668,0.0007087295103904534,25,0.0022067336089781307,0.001040379863263046,0.681741592920354,0.16649919005294486
item_90791,0.0014895742489898552,0.0006792638614762879,25,0.002183106910809216,0.000993726679022472,0.681741592920354,0.16649919005294486
item_J0574,0.0014625821053897059,0.0005911329720021708,25,0.0021453041937389197,0.0008712294893085674,0.681741592920354,0.16649919005294486
item_F1123,0.001460063039376078,0.0005697634621793312,25,0.002140578854105124,0.0008334622665644028,0.681741592920354,0.16649919005294486
item_F1110,0.0013461999174110902,0.0003185898117014624,25,0.001975191966922609,0.0004694722626560793,0.681741592920354,0.16649919005294486
item_99284,0.0013005272099064949,0.0010227910366200097,25,0.0019043118724158426,0.001497129364375404,0.681741592920354,0.16649919005294486
item_TRAZODONE HYDROCHLORIDE,0.0012114767209070077,0.0008444451609618939,25,0.0017767277023035932,0.0012326330197737555,0.681741592920354,0.16649919005294486
item_CLONAZEPAM,0.001179215614529383,0.0007205132404166188,25,0.0017294743059657546,0.001056001523378014,0.681741592920354,0.16649919005294486
item_77067,0.0011729698027797804,0.0007467929360677951,25,0.001720023626698146,0.0010955673870179994,0.681741592920354,0.16649919005294486
item_86592,0.0011706029512464273,0.000613136765743058,25,0.001715298287064404,0.0008971666349647087,0.681741592920354,0.16649919005294486
item_80053,0.0011446294737832547,0.0009853923589459859,25,0.0016774955699940986,0.001442406214403811,0.681741592920354,0.16649919005294486
item_99204,0.0011401082019141717,0.0009199323717654636,25,0.0016680448907265078,0.0013423104713188015,0.681741592920354,0.16649919005294486
item_82075,0.0011366440679738076,0.000439308888500437,25,0.00166804489072653,0.0006473312884594091,0.681741592920354,0.16649919005294486
item_G894,0.0011178045988427118,0.0006933215147020605,25,0.0016396928529238063,0.0010129674176356212,0.681741592920354,0.16649919005294486
item_H0005,0.0011031736091872376,0.0005163019209876213,25,0.0016160661547548827,0.0007515803339341956,0.681741592920354,0.16649919005294486
item_ZUBSOLV,0.0010273540711623526,0.0002577963596780018,25,0.0015073833431777795,0.00038017454673242067,0.681741592920354,0.16649919005294486
item_G0008,0.0009941512422311657,0.0008447188228044289,25,0.0014554046072061588,0.0012341605050740056,0.681741592920354,0.16649919005294486
item_90837,0.0009870439968846225,0.0004629241502728812,25,0.0014459539279385724,0.0006737062288274377,0.681741592920354,0.16649919005294486
item_99429,0.0009407390138467189,0.00036927387427787366,25,0.001379799173065579,0.0005410548271694037,0.681741592920354,0.16649919005294486
item_CLONIDINE HYDROCHLORIDE,0.0009371393922920489,0.0005357769117884389,25,0.0013750738334317746,0.000785002750353296,0.681741592920354,0.16649919005294486
item_96127,0.0009293530361875261,0.0006572134144574494,25,0.0013608978145304151,0.0009603993673771013,0.681741592920354,0.16649919005294486
item_Q9967,0.0008842473694389705,0.0006074589046062864,25,0.0012947430596574128,0.0008895904197351359,0.681741592920354,0.16649919005294486
item_G0439,0.0008390379961214636,0.0007468206070382683,25,0.0012285883047844148,0.001093931433990094,0.681741592920354,0.16649919005294486
item_99283,0.0008125242408877763,0.000889813455440396,25,0.001190785587714114,0.0013074625678902185,0.681741592920354,0.16649919005294486
item_H0004,0.0007750794787490409,0.0004813234001064781,25,0.001138806851742471,0.0007127931152893445,0.681741592920354,0.16649919005294486
item_88175,0.0007601423874464843,0.0003307362000633396,25,0.001115180153573534,0.0004847793155034493,0.681741592920354,0.16649919005294486
item_80353,0.0007568739578378495,0.0003779642945922955,25,0.0011104548139397607,0.0005540951872207101,0.681741592920354,0.16649919005294486
item_F1020,0.0007506850174325272,0.000436808529075977,25,0.0011010041346721745,0.0006413752880381733,0.681741592920354,0.16649919005294486
item_B1920,0.0007353648808994886,0.0005035919772696046,25,0.0010773774365032507,0.0007356280388457734,0.681741592920354,0.16649919005294486
item_99244,0.0007089046516368922,0.0002188675007444013,25,0.0010395747194329762,0.00031990700549856604,0.681741592920354,0.16649919005294486
item_90832,0.0007004743111928949,0.0005761273531763966,25,0.0010253987005316124,0.0008455145511417435,0.681741592920354,0.16649919005294486
item_99221,0.0006957807526044298,0.0004295937280582242,25,0.0010206733608978213,0.0006296267560473762,0.681741592920354,0.16649919005294486
item_BUPRENORPHINE HYDROCHLORI,0.0006551160687683233,0.0005819698220838664,25,0.0009592439456585877,0.0008534548575034638,0.681741592920354,0.16649919005294486
item_80367,0.000654232890245622,0.00047298269934956593,25,0.0009592439456585922,0.0006924678506675887,0.681741592920354,0.16649919005294486
item_99282,0.0006381416451918046,0.0005474626575872702,25,0.0009356172474896551,0.000801162255419946,0.681741592920354,0.16649919005294486
item_VENTOLIN HFA,0.0006335819015310401,0.0006297791566359901,25,0.0009261665682221043,0.0009192931378359126,0.681741592920354,0.16649919005294486
item_G8929,0.0006300508601268073,0.000585514261329627,25,0.0009214412285883,0.0008566375238356725,0.681741592920354,0.16649919005294486
item_M545,0.0006287495099551018,0.0006540377112662526,25,0.0009214412285883089,0.0009597210164956832,0.681741592920354,0.16649919005294486
item_J449,0.0006178402479757959,0.0005544666278876713,25,0.0009025398700531717,0.0008061979670477244,0.681741592920354,0.16649919005294486
item_99203,0.0006136668949187085,0.0006419490104079763,25,0.0008978145304193985,0.000940132812468066,0.681741592920354,0.16649919005294486
item_96375,0.0006133591205850268,0.0006522814107846101,25,0.0008978145304193808,0.0009542524761608625,0.681741592920354,0.16649919005294486
item_99215,0.0006025820008467925,0.0007477609568785368,25,0.0008836385115180079,0.0010939952182199735,0.681741592920354,0.16649919005294486
item_DOXEPIN HYDROCHLORIDE,0.000600205113193836,0.0003781250291915011,25,0.0008789131718842258,0.0005541791346777837,0.681741592920354,0.16649919005294486
item_R079,0.0005512338677218595,0.0006264821368951357,25,0.0008080330773774458,0.0009167595282947239,0.681741592920354,0.16649919005294486
item_Z1231,0.0005494206754517622,0.0005451148960045324,25,0.0008033077377436593,0.0007946617865962308,0.681741592920354,0.16649919005294486
item_87521,0.0005480106006513054,0.00037928707756693477,25,0.0008033077377436549,0.0005551436180299946,0.681741592920354,0.16649919005294486
item_99238,0.0005447956970137315,0.0004231731010017878,25,0.0007985823981098639,0.000618821068101993,0.681741592920354,0.16649919005294486
item_OXYCODONE HYDROCHLORIDE,0.0005326185385946315,0.0006077673687222559,25,0.0007796810395747222,0.0008899302524110526,0.681741592920354,0.16649919005294486
item_Z01419,0.0005149867491858699,0.00037043623944711386,25,0.0007560543414057852,0.0005456352219157769,0.681741592920354,0.16649919005294486
