feature,mean_abs_shap,rank,is_drug
item_drug_PREDNISONE,0.33701596,1,True
item_drug_AZITHROMYCIN,0.20863543,2,True
item_drug_GABAPENTIN,0.19459231,3,True
item_drug_OMEPRAZOLE,0.118906945,4,True
item_drug_AMOXICILLIN,0.10965327,5,True
item_drug_LISINOPRIL,0.10374481,6,True
item_drug_FUROSEMIDE,0.09891609,7,True
item_drug_HYDROCHLOROTHIAZIDE,0.0891843,8,True
item_drug_BENZONATATE,0.080072366,9,True
item_drug_CEPHALEXIN,0.07929761,10,True
item_drug_IBUPROFEN,0.06530567,11,True
item_drug_LEVOFLOXACIN,0.0645269,12,True
item_drug_SIMVASTATIN,0.063648105,13,True
item_drug_FLUCONAZOLE,0.05405583,14,True
item_drug_METRONIDAZOLE,0.039570957,15,True
item_drug_GLIMEPIRIDE,0.037262198,16,True
item_drug_SHINGRIX,0.03679635,17,True
item_drug_MELOXICAM,0.0352783,18,True
item_drug_DIAZEPAM,0.032009173,19,True
item_drug_CLOPIDOGREL,0.031750984,20,True
item_drug_CEFDINIR,0.031116745,21,True
item_drug_CARVEDILOL,0.030714104,22,True
item_drug_ATENOLOL,0.024155136,23,True
item_drug_SPIRONOLACTONE,0.02401565,24,True
item_drug_JANUVIA,0.022220403,25,True
