drug_a,drug_b,feature_a,feature_b,features_resolved,ie,ci_low,ci_high,synergy_positive
Acetaminophen,Levofloxacin,item_drug_ACETAMINOPHEN,item_drug_LEVOFLOXACIN,True,0.0,0.0,0.0,False
Levofloxacin,Lorazepam,item_drug_LEVOFLOXACIN,item_drug_LORAZEPAM,True,0.0141,0.013985,0.014183,True
Carvedilol,Levofloxacin,item_drug_CARVEDILOL,item_drug_LEVOFLOXACIN,True,0.010861,0.010692,0.010974,True
Gabapentin,Levofloxacin,item_drug_GABAPENTIN,item_drug_LEVOFLOXACIN,True,0.040247,0.039811,0.040565,True
Digoxin,Simvastatin,item_drug_DIGOXIN,item_drug_SIMVASTATIN,True,0.0,0.0,0.0,False
