feature,mean_abs_shap,rank,is_drug
item_drug_FLUCONAZOLE,0.053927064,1,True
item_drug_METRONIDAZOLE,0.04769621,2,True
item_drug_AMOXICILLIN,0.036414128,3,True
item_drug_PREDNISONE,0.025759326,4,True
item_drug_IBUPROFEN,0.025201462,5,True
item_drug_BENZONATATE,0.024587778,6,True
item_drug_OMEPRAZOLE,0.01817423,7,True
item_drug_GABAPENTIN,0.017706348,8,True
item_drug_CEPHALEXIN,0.016980806,9,True
item_drug_TOPIRAMATE,0.0133789955,10,True
item_drug_AZITHROMYCIN,0.013077264,11,True
item_drug_LORAZEPAM,0.010175782,12,True
item_drug_CLONAZEPAM,0.009970421,13,True
item_drug_VYVANSE,0.009588743,14,True
item_drug_TERCONAZOLE,0.009386605,15,True
item_drug_SPIRONOLACTONE,0.009366264,16,True
item_drug_ALPRAZOLAM,0.008613258,17,True
item_drug_DIAZEPAM,0.0064091114,18,True
item_drug_LISINOPRIL,0.0060807406,19,True
item_drug_OFLOXACIN,0.0052097705,20,True
item_drug_MUPIROCIN,0.004722753,21,True
item_drug_NORETHINDRONE,0.004340268,22,True
item_drug_RISPERIDONE,0.004320221,23,True
item_drug_CIPRODEX,0.0042952234,24,True
item_drug_ERYTHROMYCIN,0.0041547217,25,True
