feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_ADAPALENE,True,False,38.0,,
item_drug_ALPRAZOLAM,True,True,29.0,17.0,-12.0
item_drug_AMOXICILLIN,True,True,12.0,3.0,-9.0
item_drug_AZITHROMYCIN,True,True,15.0,11.0,-4.0
item_drug_BENZONATATE,True,True,28.0,6.0,-22.0
item_drug_CEFDINIR,True,False,21.0,,
item_drug_CEPHALEXIN,True,True,14.0,9.0,-5.0
item_drug_CIPRODEX,True,True,27.0,24.0,-3.0
item_drug_CLONAZEPAM,False,True,,13.0,
item_drug_DIAZEPAM,True,True,37.0,18.0,-19.0
item_drug_EPIDUO,True,False,36.0,,
item_drug_ERYTHROMYCIN,True,True,25.0,25.0,0.0
item_drug_FLUCONAZOLE,True,True,23.0,1.0,-22.0
item_drug_GABAPENTIN,False,True,,8.0,
item_drug_IBUPROFEN,True,True,16.0,5.0,-11.0
item_drug_KETOCONAZOLE,True,False,26.0,,
item_drug_LISINOPRIL,False,True,,19.0,
item_drug_LORATADINE,True,False,32.0,,
item_drug_LORAZEPAM,False,True,,12.0,
item_drug_METRONIDAZOLE,False,True,,2.0,
item_drug_MUPIROCIN,True,True,19.0,21.0,2.0
item_drug_NAPROXEN,True,False,18.0,,
item_drug_NEXPLANON,True,False,33.0,,
item_drug_NORETHINDRONE,False,True,,22.0,
item_drug_OFLOXACIN,True,True,31.0,20.0,-11.0
item_drug_OMEPRAZOLE,True,True,39.0,7.0,-32.0
item_drug_PREDNISONE,True,True,30.0,4.0,-26.0
item_drug_RISPERIDONE,False,True,,23.0,
item_drug_SPIRONOLACTONE,True,True,40.0,16.0,-24.0
item_drug_TAMIFLU,True,False,34.0,,
item_drug_TERCONAZOLE,False,True,,15.0,
item_drug_TOPIRAMATE,False,True,,10.0,
item_drug_TRETINOIN,True,False,35.0,,
item_drug_VYVANSE,True,True,24.0,14.0,-10.0
