title,authors,pubdate,pmc_id
Feasibility and User Experience of an AI-Supported mHealth Intervention for Remote Life Goal Setting Based on Flow Theory: Exploratory Within-Participant Study.,Yoshida,2026,PMC12892030
The use of artificial intelligence in decreasing vaccine skepticism and hesitancy.,"Wolf, Nguyen, Mejia",2026,HSHec106a96
An interpretable model based on concept and argumentation for tabular data.,"Chi, Wang, Liao, Cui, Mao",2026,PMC12783857
Population-Based Cancer Screening analysis in Northern Portugal Using Process Mining.,"Monteiro, Oliveira, Martinho, Reis, Tavares, Felgueiras, Martins",2026,HSHec106a96
Enhancing quality and decision-making for care pathways: An application of process mining in cancer care.,"Ferré, Seghieri, Sarv Ahrabi, Burattin, Vandin",2026,PMC12779139
iMeta Conference 2025: Creating high-impact international journals.,"Zhu, Zhang, Yao, Zeng, Wang, Luo, Zhou, Zhang, Xun, Bai, Yang, Xu, Zhou, Gao, Xu, Han, Shen, Zhang, Ma, Wan, Ma, Hui, Bai, Bai, Bai, Bao, Cao, Cao, Cao, Chen, Chen, Chen, Chen, Chen, Chen, Cui, Dai, Dai, Dai, Dang, Deng, Deng, Ding, Dong, Dong, Dou, Du, Fang, Feng, Fu, Gao, Gong, Guo, Han, Hao, He, Hu, Hu, Hu, Huang, Huang, Huang, Hui, Jia, Jiang, Jiang, Jiang, Jiang, Jin, Lai, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Li, Liang, Liao, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Liu, Lu, Luo, Ma, Meng, Meng, Miao, Miao, Ni, Niu, Niu, Pan, Qin, Qiu, Qiu, Qu, Qu, Ren, Sun, Shang, She, Shen, Shi, Shu, Song, Song, Su, Sun, Sun, Sun, Tang, Tang, Tang, Tao, Teng, Tu, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wang, Wei, Xu, Wu, Wu, Wu, Xiao, Xiao, Xiao, Xiong, Xiong, Xu, Xu, Xu, Xu, Xu, Yan, Yao, Yang, Yang, Yang, Yin, You, You, Yu, Yu, Yu, Yuan, Yue, Zeng, Zha, Zhai, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhang, Zhao, Zhao, Zhao, Zhao, Zhao, Zhao, Zhong, Zhong, Zhong, Zhou, Zhou, Zhou, Zhou, Zhou, Zhu, Liu, Feng, Jin, Xiao, Wang, Luo, Chen, Chen, Liu",2025,PMC12747530
An Integrated Predictive Impact-Enhanced Process Mining Framework for Strategic Oncology Workflow Optimization: Case Study in Iran.,"Salehi, Khayami, Akbari, Mirmozaffari",2025,PMC12729846
Investigating the (mis)match between electronic health records and actual nursing work: An observational study.,"Vanthienen, Martin, Depaire",2026,HSHec106a96
Impact of Quality Improvement Interventions on the Efficiency of Treatment Planning Timelines in a Modern Proton Therapy Clinic.,"McConnell, Valladares, Gutierrez, Luther, Fellows, LeGrand, Chuong, Mehta, Wroe",2026,PMC12704197
Managing Data in Screening Programs: Challenges and Solutions.,"Monteiro, Oliveira, Martinho, Martins",2026,HSHec106a96
Outcome centred process mapping in healthcare using random forest and process mining.,"Leonetti, Seghieri, Tricò, Burattin",2025,PMC12700881
"Advancing CAR-T cell manufacturing in Latin America: Current landscape, future directions, and challenges.","Toro-Pedroza, Victoria, Cardona-Sepúlveda, García-Robledo, Rios-Serna, Loukanov, Ortiz-Guzman, Hoyos, Mainguez-Rodriguez, Cañas, Jaramillo, Franco, Wills, Restrepo, Baena",2026,HSHec106a96
Turning Dialogues Into Event Data: Lessons From GPT-Based Recognition of Nursing Actions.,"Beerepoot, Brinkkemper, Huntink, Duman, Reijers, Bleijenberg",2025,HSHec106a96
Automatic detection of knee medial collateral ligament (MCL) tear from magnetic resonance imaging using deep neural network.,"Mirzakhani, Firoozabadi, Razzaghof, Javad Mortazavi, Khatibi",2026,HSHec106a96
Enhancing hand hygiene compliance in healthcare environmental services staff: a systematic approach to indicator development.,"Liu, Jiang, Yang, Niu, Wang, Rao, Zheng",2025,PMC12581309
Pretrained language models for semantics-aware data harmonisation of observational clinical studies in the era of big data.,"Dylag, Zlatev, Boniface",2025,PMC12573878
Enhanced drug-drug interaction extraction from biomedical text using deep learning-based sentence representations.,"Tahir, Ibrahim, Sarwar, Irshad, Atteia",2025,PMC12572260
[Applications and perspectives of artificial intelligence in periodontology].,"Lü, Ge",2025,PMC12573713
Uncovering psychologically mediated pathways to cardiovascular diseases: depressive symptoms as a mediator between childhood maltreatment and single or multiple cardiovascular disease comorbidities.,"Yu, Zhang, Zhang, Zeng, Zheng, Wang",2025,PMC12550589
"Global Adoption, Promotion, Impact, and Deployment of AI in Patient Care, Health Care Delivery, Management, and Health Care Systems Leadership: Cross-Sectional Survey.","Oleribe, Taylor-Robinson, Agala, Sobande, Izurieta, Taylor-Robinson",2025,PMC12590044
Using natural language processing to extract information from clinical text in electronic medical records for populating clinical registries: a systematic review.,"Liu, Blake, Barman, Gallego, Churches, Kennedy, Ooi, Delaney, Jorm",2026,PMC12844598
Robust comparative evaluation of 15 natural language processing algorithms to positively identify patients with inflammatory bowel disease from secondary care records.,"Stammers, Gwiggner, Nouraei, Metcalf, Batchelor",2025,PMC12517008
MediNet: ensemble transfer learning approach for classification of medical drugs-related text reviews using significant combined-embeddings.,"Kim, Aldrees, AlHammadi, Umer, Saidani, Alsubai, Ashraf",2025,PMC12512702
Health-care transitions for young people living beyond childhood and adolescent cancer: recommendations from the EU-CAYAS-NET consortium.,"Wams, van Dalen, den Hartogh, Otth, Costa, Gorter, van der Aa-van Delden, Panasiuk, Wörmann, Berger, Bardi, Larsen, Potter, Soria, Levitt, Michel, van der Pal, Roganovic, de Bont, Wauters, Pelanconi, Zaletel, Balcerek, Muraca, Brown, Asogwa, de Sousa, Koopman, Mehta, Papadakis, Kremer, Skinner, Scheinemann, Mulder",2025,HSHec106a96
Prognosis models for nasopharyngeal carcinoma recurrences by using tabu search algorithm.,"Raslan, Asiri, Maklad, Fahim",2026,HSHec106a96
Automating the extraction of otology symptoms from clinic letters: a methodological study using natural language processing.,"Joshi, Noor, Bai, Forbes, Ross, Barrett, Dobson, Schilder, Mehta, Lilaonitkul",2025,PMC12482202
Clinical data integration and processing challenges in healthcare caused by contemporary software design.,"Petri, Antoine, Emma, Hervé, Emma, Hana",2025,PMC12461051
Towards robust electronic health record systems: integrating formal verification and process modeling techniques.,"Khan, Akhtar, Mushtaq, Abdel Samee, Mahmoud, Ashraf",2025,PMC12465584
