title,pubdate,pmc_id,authors
EventBox: a Novel Visual Encoding for Interactive Analysis of Temporal and Multivariate Attributes in Event Sequences.,2025,NA,"Montana, Magallanes, Juarez, van Gemeren, Wood, Mason, Narracott, Villa-Uriol"
Functional MRI of the Brainstem for Assessing Its Autonomic Functions: From Imaging Parameters and Analysis to Functional Atlas.,2024,NA,"Mohamed, Kwiatek, Del Fante, Calhoun, Lagopoulos, Shan"
Fusion of Personalized Federated Learning (PFL) with Differential Privacy (DP) Learning for Diagnosis of Arrhythmia Disease.,2025,PMC12250593,"Bokhari, Sohaib, Shafi"
GRASPNET: Fast spatiotemporal deep learning reconstruction of golden-angle radial data for free-breathing dynamic contrast-enhanced magnetic resonance imaging.,2023,PMC9898111,"Jafari, Do, LaGratta, Fung, Bayram, Cashen, Otazo"
Genetic Association Between Schizophrenia and Cortical Brain Surface Area and Thickness.,2021,PMC8223140,"Cheng, Frei, van der Meer, Wang, O'Connell, Chu, Bahrami, Shadrin, Alnæs, Hindley, Lin, Karadag, Fan, Westlye, Kaufmann, Molden, Dale, Djurovic, Smeland, Andreassen"
Genetic and clinical correlates of two neuroanatomical AI dimensions in the Alzheimer's disease continuum.,2024,PMC11455841,"Wen, Yang, Nasrallah, Cui, Erus, Srinivasan, Abdulkadir, Mamourian, Hwang, Singh, Bergman, Bao, Varol, Zhou, Boquet-Pujadas, Chen, Toga, Saykin, Hohman, Thompson, Villeneuve, Gollub, Sotiras, Wittfeld, Grabe, Tosun, Bilgel, An, Marcus, LaMontagne, Benzinger, Heckbert, Austin, Launer, Espeland, Masters, Maruff, Fripp, Johnson, Morris, Albert, Bryan, Resnick, Ferrucci, Fan, Habes, Wolk, Shen, Shou, Davatzikos"
Genetic study of intrahepatic cholestasis of pregnancy in Chinese women unveils East Asian etiology linked to historic HBV epidemic.,2025,NA,"Liu, Wei, Chen, Huang, Gu, Yang, Guo, Zheng, Feng, Huang, Chen, Xiao, Hu, Zhang, Zhang, Chen, Qiu, Wei, Zhen, Liu"
Genome-wide association study and functional validation implicates JADE1 in tauopathy.,2022,PMC8786260,"Farrell, Kim, Han, Iida, Gonzalez, Otero-Garcia, Walker, Richardson, Renton, Andrews, Fulton-Howard, Humphrey, Vialle, Bowles, de Paiva Lopes, Whitney, Dangoor, Walsh, Marcora, Hefti, Casella, Sissoko, Kapoor, Novikova, Udine, Wong, Tang, Bhangale, Hunkapiller, Ayalon, Graham, Cherry, Cortes, Borukov, McKee, Stein, Vonsattel, Teich, Gearing, Glass, Troncoso, Frosch, Hyman, Dickson, Murray, Attems, Flanagan, Mao, Mesulam, Weintraub, Woltjer, Pham, Kofler, Schneider, Yu, Purohit, Haroutunian, Hof, Gandy, Sano, Beach, Poon, Kawas, Corrada, Rissman, Metcalf, Shuldberg, Salehi, Nelson, Trojanowski, Lee, Wolk, McMillan, Keene, Latimer, Montine, Kovacs, Lutz, Fischer, Perrin, Cairns, Franklin, Cohen, Raj, Cobos, Frost, Goate, White Iii, Crary"
"Genomic analyses reveal high diversity and rapid evolution of Pichia kudriavzevii within a neonatal intensive care unit in Delhi, India.",2025,PMC11881565,"Jain, Wang, Jain, Kalita, Shivarathri, Chauhan, Kaur, Chauhan, Xu, Chowdhary"
Genomic and healthcare dynamics of nosocomial SARS-CoV-2 transmission.,2021,PMC8009659,"Ellingford, George, McDermott, Ahmad, Edgerley, Gokhale, Newman, Ball, Machin, Black"
