feature,scaled_importance_mean,scaled_importance_std,scaled_importance_count,importance_mean,importance_std,recall_mean,logloss_mean
item_FUROSEMIDE,1.9680418938067135,0.05191023640479507,25,6.853718749296753,0.17971584044891045,0.287151780987673,0.6422712721957106
item_PREDNISONE,1.7187037597481365,0.05741312597432257,25,5.985529606422634,0.20353439195794765,0.287151780987673,0.6422712721957106
item_HYDROCODONE BITARTRATE/AC,1.5397765200417068,0.047227941793885085,25,5.362194866358481,0.16081176597535393,0.287151780987673,0.6422712721957106
item_CEPHALEXIN,1.3939564158056035,0.0451723267673013,25,4.854543077991694,0.15899067448655826,0.287151780987673,0.6422712721957106
item_ONDANSETRON ODT,1.04175238146007,0.04470223427193336,25,3.6279085627851906,0.15527934686782865,0.287151780987673,0.6422712721957106
item_TRAMADOL HCL,0.8754648044672638,0.03698598508196149,25,3.048797156509194,0.12772778522222117,0.287151780987673,0.6422712721957106
item_ELIQUIS,0.8019280647058745,0.05927398822637556,25,2.7927043799156066,0.20625866381431993,0.287151780987673,0.6422712721957106
item_OXYCODONE/ACETAMINOPHEN,0.7493847757047543,0.025389279502971228,25,2.6098220263288163,0.09072172687502794,0.287151780987673,0.6422712721957106
item_GABAPENTIN,0.7170360835363786,0.03966684666592892,25,2.496906439735108,0.13449373659772235,0.287151780987673,0.6422712721957106
item_PANTOPRAZOLE SODIUM,0.6068962233036086,0.039791347103551464,25,2.113454475698068,0.13737299083349291,0.287151780987673,0.6422712721957106
item_CLOPIDOGREL,0.6028479292555323,0.030657772272406205,25,2.0992436201502325,0.1026037202180511,0.287151780987673,0.6422712721957106
item_ONDANSETRON HYDROCHLORIDE,0.4641448711598236,0.03909818564621977,25,1.6163995026577824,0.13624678919961689,0.287151780987673,0.6422712721957106
item_WARFARIN SODIUM,0.4619745110152424,0.015272233882988873,25,1.6088556899050306,0.05382868949303248,0.287151780987673,0.6422712721957106
item_NITROFURANTOIN MONOHYDRAT,0.4356438260669117,0.02738139202532429,25,1.5171661024875553,0.09606540547297387,0.287151780987673,0.6422712721957106
item_SULFAMETHOXAZOLE/TRIMETHO,0.4283787049429339,0.027505732301422333,25,1.4919556013511726,0.09766892990289913,0.287151780987673,0.6422712721957106
item_CIPROFLOXACIN HYDROCHLORI,0.42369043613310275,0.023563246251067236,25,1.4753800319726553,0.0797936667470385,0.287151780987673,0.6422712721957106
item_OXYCODONE HYDROCHLORIDE,0.3844549188196471,0.030081094923290298,25,1.3387623814838754,0.10326944115597397,0.287151780987673,0.6422712721957106
item_DOXYCYCLINE HYCLATE,0.3664718816761782,0.027096838896595043,25,1.2761324224710255,0.09279894344505403,0.287151780987673,0.6422712721957106
item_QUETIAPINE FUMARATE,0.3368839865968404,0.034049951212038077,25,1.1732253554014702,0.11899969700300264,0.287151780987673,0.6422712721957106
item_CARVEDILOL,0.32828955330871507,0.02788760296778228,25,1.1431736405590978,0.0959581744628486,0.287151780987673,0.6422712721957106
item_ISOSORBIDE MONONITRATE ER,0.29795013538859827,0.028257673123496786,25,1.0375310611438082,0.09747333596469568,0.287151780987673,0.6422712721957106
item_LEVOFLOXACIN,0.2738086171653922,0.02089796713354736,25,0.953623317789624,0.0739525995337742,0.287151780987673,0.6422712721957106
item_OMEPRAZOLE,0.24899438945172164,0.02780039045845657,25,0.8671680427659587,0.0972590818881436,0.287151780987673,0.6422712721957106
item_OMEPRAZOLE DR,0.23973600461817288,0.0806036444860305,25,0.8348815134989163,0.2804151407287943,0.287151780987673,0.6422712721957106
item_AMIODARONE HYDROCHLORIDE,0.23956497460413784,0.024890860626792615,25,0.8342472171046798,0.08625049390554106,0.287151780987673,0.6422712721957106
item_SIMVASTATIN,0.22152808668159366,0.012351003928857041,25,0.7715104267087856,0.04362989034043204,0.287151780987673,0.6422712721957106
item_DONEPEZIL HCL,0.21812728129450815,0.026629661124589775,25,0.7596398366725822,0.09263715581515405,0.287151780987673,0.6422712721957106
item_LORAZEPAM,0.20579523982330758,0.02077025693209129,25,0.716710624933881,0.0726072762817207,0.287151780987673,0.6422712721957106
item_AMOXICILLIN/CLAVULANATE P,0.19551219848618842,0.0206431722812268,25,0.6807199526044498,0.07045618415365579,0.287151780987673,0.6422712721957106
item_XARELTO,0.19501819477879098,0.023595873312790346,25,0.6791369648919986,0.08189417773291799,0.287151780987673,0.6422712721957106
item_METOPROLOL TARTRATE,0.19227931784865898,0.02379030069245869,25,0.6695128192982689,0.08184268699629076,0.287151780987673,0.6422712721957106
item_HYDRALAZINE HYDROCHLORIDE,0.19206096502714956,0.025488351782186242,25,0.6687440061648415,0.08795181439705715,0.287151780987673,0.6422712721957106
item_MIRTAZAPINE,0.18802056138318246,0.022230670964795946,25,0.6547927793482643,0.0774034489549213,0.287151780987673,0.6422712721957106
item_BUMETANIDE,0.18226948743596974,0.01841308680487743,25,0.6348057248149918,0.06462575655937476,0.287151780987673,0.6422712721957106
item_MEMANTINE HYDROCHLORIDE,0.18111624759737793,0.029264206182492696,25,0.6307869594306981,0.1021061095867285,0.287151780987673,0.6422712721957106
item_ATORVASTATIN CALCIUM,0.1619720297513335,0.016912818889207433,25,0.5640919487589691,0.05920593266449323,0.287151780987673,0.6422712721957106
item_LISINOPRIL/HYDROCHLOROTHI,0.14505647807755417,0.012486115718429266,25,0.5051446942396316,0.043283933648824754,0.287151780987673,0.6422712721957106
item_CARBIDOPA/LEVODOPA,0.14486356598401448,0.015474914802918604,25,0.5044582685822269,0.053605792547326836,0.287151780987673,0.6422712721957106
item_LEVETIRACETAM,0.13608396302112827,0.018234381765587504,25,0.47392908210182716,0.06358065847368989,0.287151780987673,0.6422712721957106
item_CYCLOBENZAPRINE HYDROCHLO,0.13292572887002085,0.014016758168490604,25,0.4628624259444707,0.048312983546059105,0.287151780987673,0.6422712721957106
item_MIDODRINE HCL,0.132024065413027,0.015466750953476365,25,0.45968614081617537,0.05311679975197835,0.287151780987673,0.6422712721957106
item_ESCITALOPRAM OXALATE,0.13185013015611863,0.013895243129498058,25,0.4591649759094155,0.04829038215366723,0.287151780987673,0.6422712721957106
item_SHINGRIX,0.13007541587423735,0.02571954820010872,25,0.4528595455259453,0.0889677386857156,0.287151780987673,0.6422712721957106
item_METHYLPREDNISOLONE DOSE P,0.12944871454740814,0.012581413780919036,25,0.45072822922148975,0.04293083638089596,0.287151780987673,0.6422712721957106
item_ALPRAZOLAM,0.1274321607052441,0.014697078467967863,25,0.4437730181497946,0.051043396430517717,0.287151780987673,0.6422712721957106
item_DEXAMETHASONE,0.11600261163986873,0.013501075636181609,25,0.40403113182821854,0.0474036392839455,0.287151780987673,0.6422712721957106
item_LEVOTHYROXINE SODIUM,0.11519206609285457,0.028312461855572686,25,0.4012197217679973,0.09879425423094312,0.287151780987673,0.6422712721957106
item_FAMOTIDINE,0.11446781439426275,0.013014728257247817,25,0.3986284228159065,0.0452262999683952,0.287151780987673,0.6422712721957106
item_SERTRALINE HCL,0.11249085750913652,0.013959565350589091,25,0.3917107371433762,0.04831699350390775,0.287151780987673,0.6422712721957106
item_DULOXETINE HYDROCHLORIDE,0.1088304649495775,0.016627833964736872,25,0.37897207520645115,0.05766201531781802,0.287151780987673,0.6422712721957106
item_TRELEGY ELLIPTA,0.10641013289385758,0.05493177588894478,25,0.3707376232700969,0.19176042279001923,0.287151780987673,0.6422712721957106
item_LOSARTAN POTASSIUM/HYDROC,0.10588423631231526,0.012994482611871276,25,0.36876938969557094,0.04547889804365779,0.287151780987673,0.6422712721957106
item_LISINOPRIL,0.10355327835221197,0.013410907737166843,25,0.36064628932601184,0.0468145840803395,0.287151780987673,0.6422712721957106
item_HYDROCHLOROTHIAZIDE,0.10325370816363268,0.011725662532228644,25,0.35959593910629484,0.04088451996455264,0.287151780987673,0.6422712721957106
item_CEFUROXIME AXETIL,0.0963099566469685,0.01249289804216208,25,0.33542680542777226,0.04374920363866607,0.287151780987673,0.6422712721957106
item_PROAIR HFA,0.0935491407019872,0.012936703970600054,25,0.32573224591449057,0.04464627148860252,0.287151780987673,0.6422712721957106
item_MECLIZINE HCL,0.0926463612598051,0.01339264024609093,25,0.32264810175597863,0.04670182134756405,0.287151780987673,0.6422712721957106
item_TORSEMIDE,0.09040676346004561,0.01221917973895752,25,0.31482094746435485,0.04233837708958678,0.287151780987673,0.6422712721957106
item_CITALOPRAM,0.09003139684004846,0.02226581226304503,25,0.3135393233260333,0.0775844825505275,0.287151780987673,0.6422712721957106
item_POTASSIUM CHLORIDE ER,0.08847377646821221,0.016215931338305376,25,0.3081642425366129,0.05688204451148633,0.287151780987673,0.6422712721957106
item_DIAZEPAM,0.08491907099350629,0.015247483049004876,25,0.295695183559011,0.052830055028710826,0.287151780987673,0.6422712721957106
item_MEMANTINE HYDROCHLORIDE E,0.0844918839290906,0.018050157958418543,25,0.2941178580751014,0.06206431761733378,0.287151780987673,0.6422712721957106
item_AMLODIPINE BESYLATE,0.08057762935406595,0.015246541672854158,25,0.28063003481574245,0.053163444979507854,0.287151780987673,0.6422712721957106
item_CALCIUM ACETATE,0.0803318058356,0.01279716892379386,25,0.2797595954350087,0.044639215321247004,0.287151780987673,0.6422712721957106
item_DICYCLOMINE HYDROCHLORIDE,0.07993718219305995,0.01040078927239227,25,0.2783791989573127,0.036239039571873306,0.287151780987673,0.6422712721957106
