feature,importance_normalized,importance_scaled,n_models,models
item_FUROSEMIDE,1.0,0.287151780987673,3,"catboost,xgboost,xgboost_rf"
item_PREDNISONE,0.8757042885248174,0.2514600460684444,3,"catboost,xgboost,xgboost_rf"
item_HYDROCODONE BITARTRATE/AC,0.7971516312192385,0.22890351062183306,3,"catboost,xgboost,xgboost_rf"
item_CEPHALEXIN,0.7227583891846152,0.20754135867814397,3,"catboost,xgboost,xgboost_rf"
item_ONDANSETRON ODT,0.5873299475849879,0.16865284047642592,3,"catboost,xgboost,xgboost_rf"
item_TRAMADOL HCL,0.44628021667381135,0.12815015903744953,3,"catboost,xgboost,xgboost_rf"
item_ELIQUIS,0.4283799496796476,0.12301006548992055,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE/ACETAMINOPHEN,0.3976169804514764,0.11417642408758222,3,"catboost,xgboost,xgboost_rf"
item_GABAPENTIN,0.38786727913904245,0.11137677999161895,3,"catboost,xgboost,xgboost_rf"
item_PANTOPRAZOLE SODIUM,0.3197056860386379,0.0918040571378807,3,"catboost,xgboost,xgboost_rf"
item_CLOPIDOGREL,0.3163949044702728,0.0908533603140635,3,"catboost,xgboost,xgboost_rf"
item_ONDANSETRON HYDROCHLORIDE,0.25420011663101555,0.07299401621787031,3,"catboost,xgboost,xgboost_rf"
item_WARFARIN SODIUM,0.250068231634381,0.07180753808225046,3,"catboost,xgboost,xgboost_rf"
item_SULFAMETHOXAZOLE/TRIMETHO,0.2346181832688357,0.06737102917773845,3,"catboost,xgboost,xgboost_rf"
item_NITROFURANTOIN MONOHYDRAT,0.2307829639190837,0.06626973911097878,3,"catboost,xgboost,xgboost_rf"
item_CIPROFLOXACIN HYDROCHLORI,0.2290442108741117,0.06577045307741732,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE HYDROCHLORIDE,0.2079574958024637,0.059715365289413985,3,"catboost,xgboost,xgboost_rf"
item_DOXYCYCLINE HYCLATE,0.20273826137673487,0.058216652828673776,3,"catboost,xgboost,xgboost_rf"
item_CARVEDILOL,0.1857552279162895,0.053339944523933654,3,"catboost,xgboost,xgboost_rf"
item_QUETIAPINE FUMARATE,0.17584154800135263,0.0504932136802178,3,"catboost,xgboost,xgboost_rf"
item_ISOSORBIDE MONONITRATE ER,0.16710098482685498,0.04798334539782553,3,"catboost,xgboost,xgboost_rf"
