drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method,guideline_id,guideline_url,source
ASPIRIN,aspirin,CYP2C9,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ASPIRIN,aspirin,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ASPIRIN,aspirin,HLA-DPB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ASPIRIN,aspirin,GP1BA,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ASPIRIN,aspirin,LTC4S,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ASPIRIN,aspirin,PTGS1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATAZANAVIR,atazanavir,UGT1A1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATENOLOL,atenolol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATENOLOL,atenolol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATENOLOL,atenolol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATENOLOL,atenolol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATOMOXETINE,atomoxetine,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
