feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_ALPRAZOLAM,False,True,,9.0,
item_drug_AMOXICILLIN,True,True,27.0,12.0,-15.0
item_drug_ARIPIPRAZOLE,False,True,,17.0,
item_drug_AZITHROMYCIN,True,True,32.0,5.0,-27.0
item_drug_BENZONATATE,True,True,29.0,10.0,-19.0
item_drug_CEFDINIR,True,False,37.0,,
item_drug_CEPHALEXIN,True,False,16.0,,
item_drug_CIPRODEX,True,False,34.0,,
item_drug_CLONAZEPAM,False,True,,15.0,
item_drug_DIAZEPAM,True,False,23.0,,
item_drug_ERYTHROMYCIN,True,True,20.0,23.0,3.0
item_drug_ESTRADIOL,False,True,,24.0,
item_drug_FAMOTIDINE,False,True,,16.0,
item_drug_FLUCONAZOLE,True,True,33.0,1.0,-32.0
item_drug_FUROSEMIDE,False,True,,14.0,
item_drug_GABAPENTIN,True,True,15.0,2.0,-13.0
item_drug_GATIFLOXACIN,True,False,40.0,,
item_drug_HYDROCHLOROTHIAZIDE,True,True,35.0,13.0,-22.0
item_drug_IBUPROFEN,True,True,18.0,4.0,-14.0
item_drug_LAMOTRIGINE,True,False,31.0,,
item_drug_LISINOPRIL,True,True,21.0,7.0,-14.0
item_drug_LORAZEPAM,False,True,,18.0,
item_drug_MELOXICAM,True,False,24.0,,
item_drug_METHOCARBAMOL,False,True,,22.0,
item_drug_METRONIDAZOLE,True,True,39.0,6.0,-33.0
item_drug_MIRENA,True,False,30.0,,
item_drug_NAPROXEN,True,True,19.0,19.0,0.0
item_drug_OCELLA,True,False,36.0,,
item_drug_OFLOXACIN,True,True,22.0,21.0,-1.0
item_drug_OMEPRAZOLE,True,True,38.0,8.0,-30.0
item_drug_PREDNISONE,True,True,28.0,3.0,-25.0
item_drug_SIMVASTATIN,True,True,26.0,20.0,-6.0
item_drug_SPIRONOLACTONE,False,True,,25.0,
item_drug_TOPIRAMATE,True,True,25.0,11.0,-14.0
