feature,mean_abs_shap,rank,is_drug
item_drug_FLUCONAZOLE,0.079072095,1,True
item_drug_GABAPENTIN,0.07154158,2,True
item_drug_PREDNISONE,0.069358535,3,True
item_drug_IBUPROFEN,0.060232274,4,True
item_drug_AZITHROMYCIN,0.05200798,5,True
item_drug_METRONIDAZOLE,0.04580912,6,True
item_drug_LISINOPRIL,0.03634033,7,True
item_drug_OMEPRAZOLE,0.033367533,8,True
item_drug_ALPRAZOLAM,0.032912906,9,True
item_drug_BENZONATATE,0.022638926,10,True
item_drug_TOPIRAMATE,0.021989042,11,True
item_drug_AMOXICILLIN,0.020882089,12,True
item_drug_HYDROCHLOROTHIAZIDE,0.019867845,13,True
item_drug_FUROSEMIDE,0.018661842,14,True
item_drug_CLONAZEPAM,0.01605311,15,True
item_drug_FAMOTIDINE,0.015792668,16,True
item_drug_ARIPIPRAZOLE,0.015679488,17,True
item_drug_LORAZEPAM,0.012538843,18,True
item_drug_NAPROXEN,0.011862643,19,True
item_drug_SIMVASTATIN,0.011138703,20,True
item_drug_OFLOXACIN,0.009395886,21,True
item_drug_METHOCARBAMOL,0.009296424,22,True
item_drug_ERYTHROMYCIN,0.008441069,23,True
item_drug_ESTRADIOL,0.008167469,24,True
item_drug_SPIRONOLACTONE,0.007814985,25,True
