drug_a,drug_b,feature_a,feature_b,features_resolved,ie,ci_low,ci_high,synergy_positive
Acetaminophen,Levofloxacin,item_drug_OXYCODONE_ACETAMINOPHEN,item_drug_LEVOFLOXACIN,True,0.0,0.0,0.0,False
Levofloxacin,Lorazepam,item_drug_LEVOFLOXACIN,item_drug_LORAZEPAM,True,0.004555,0.00452,0.004586,True
Carvedilol,Levofloxacin,,item_drug_LEVOFLOXACIN,False,,,,False
Gabapentin,Levofloxacin,item_drug_GABAPENTIN,item_drug_LEVOFLOXACIN,True,0.009218,0.009138,0.009301,True
Digoxin,Simvastatin,,item_drug_SIMVASTATIN,False,,,,False
