feature,mean_abs_shap,rank,is_drug
item_drug_GABAPENTIN,0.26747873,1,True
item_drug_PREDNISONE,0.18859008,2,True
item_drug_OMEPRAZOLE,0.18100797,3,True
item_drug_FUROSEMIDE,0.16846272,4,True
item_drug_AZITHROMYCIN,0.08669527,5,True
item_drug_LISINOPRIL,0.08369412,6,True
item_drug_CEPHALEXIN,0.069310956,7,True
item_drug_HYDROCHLOROTHIAZIDE,0.06718362,8,True
item_drug_SIMVASTATIN,0.06529197,9,True
item_drug_CARVEDILOL,0.061869424,10,True
item_drug_LEVOFLOXACIN,0.057494316,11,True
item_drug_CLOPIDOGREL,0.04860434,12,True
item_drug_FLUCONAZOLE,0.04687107,13,True
item_drug_LORAZEPAM,0.04318568,14,True
item_drug_SHINGRIX,0.036808487,15,True
item_drug_DIAZEPAM,0.036141325,16,True
item_drug_MUPIROCIN,0.034664482,17,True
item_drug_ATENOLOL,0.03220055,18,True
item_drug_FINASTERIDE,0.026870456,19,True
item_drug_NAPROXEN,0.026483702,20,True
item_drug_CRESTOR,0.026283504,21,True
item_drug_BOOSTRIX,0.02580336,22,True
item_drug_ALLOPURINOL,0.024898529,23,True
item_drug_MELOXICAM,0.02449998,24,True
item_drug_CEFDINIR,0.024326786,25,True
