feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_ACCU_CHEK_AVIVA_PLUS,True,False,28.0,,
item_drug_ALLOPURINOL,False,True,,23.0,
item_drug_AMANTADINE_HCL,True,False,32.0,,
item_drug_AMLODIPINE_BESYLATE_ATORV,True,False,24.0,,
item_drug_ASPIRIN_DIPYRIDAMOLE,True,False,35.0,,
item_drug_ATENOLOL,False,True,,18.0,
item_drug_AZITHROMYCIN,False,True,,5.0,
item_drug_BENAZEPRIL_HCL_HYDROCHLOR,True,False,34.0,,
item_drug_BOOSTRIX,False,True,,22.0,
item_drug_CARVEDILOL,False,True,,10.0,
item_drug_CEFDINIR,False,True,,25.0,
item_drug_CEPHALEXIN,False,True,,7.0,
item_drug_CITALOPRAM,True,False,29.0,,
item_drug_CLOPIDOGREL,False,True,,12.0,
item_drug_CRESTOR,False,True,,21.0,
item_drug_DIAZEPAM,False,True,,16.0,
item_drug_FINASTERIDE,False,True,,19.0,
item_drug_FLUCONAZOLE,False,True,,13.0,
item_drug_FLUOCINOLONE_ACETONIDE,True,False,37.0,,
item_drug_FUROSEMIDE,False,True,,4.0,
item_drug_GABAPENTIN,False,True,,1.0,
item_drug_HUMULIN_R,True,False,39.0,,
item_drug_HYDROCHLOROTHIAZIDE,False,True,,8.0,
item_drug_HYDROXYZINE_PAMOATE,True,False,18.0,,
item_drug_KLOR_CON_10,True,False,30.0,,
item_drug_LETROZOLE,True,False,21.0,,
item_drug_LEVALBUTEROL_TARTRATE_HFA,True,False,27.0,,
item_drug_LEVOFLOXACIN,False,True,,11.0,
item_drug_LISINOPRIL,False,True,,6.0,
item_drug_LORAZEPAM,False,True,,14.0,
item_drug_MELOXICAM,False,True,,24.0,
item_drug_MOXIFLOXACIN_HYDROCHLORID,True,False,36.0,,
item_drug_MUPIROCIN,False,True,,17.0,
item_drug_NAPROXEN,False,True,,20.0,
item_drug_NORTRIPTYLINE_HCL,True,False,19.0,,
item_drug_NOVOLIN_70_30,True,False,26.0,,
item_drug_NYSTATIN_TRIAMCINOLONE,True,False,31.0,,
item_drug_OMEPRAZOLE,False,True,,3.0,
item_drug_OXCARBAZEPINE,True,False,25.0,,
item_drug_PATADAY,True,False,22.0,,
item_drug_PREDNISONE,False,True,,2.0,
item_drug_QUINAPRIL_HYDROCHLORIDE,True,False,15.0,,
item_drug_SHINGRIX,False,True,,15.0,
item_drug_SIMVASTATIN,False,True,,9.0,
item_drug_TORSEMIDE,True,False,23.0,,
item_drug_TRAMADOL_HYDROCHLORIDE_AC,True,False,17.0,,
item_drug_URSODIOL,True,False,33.0,,
item_drug_VALACYCLOVIR_HYDROCHLORID,True,False,20.0,,
item_drug_VESICARE,True,False,38.0,,
item_drug_VYTORIN,True,False,16.0,,
