drugs,features,features_resolved,n_all_three,case_rate_all_three,prevalence,lift_vs_prevalence
Furosemide + Hydrochlorothiazide + Lisinopril,"['item_drug_FUROSEMIDE', 'item_drug_HYDROCHLOROTHIAZIDE', 'item_drug_LISINOPRIL']",True,54.0,0.0,0.0284,
Digoxin + Furosemide + Amiodarone,"[None, 'item_drug_FUROSEMIDE', 'item_drug_AMIODARONE_HCL']",False,,,,
