combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_DEXAMETHASONE|item_drug_LORATADINE|item_drug_OFLOXACIN,DEXAMETHASONE + LORATADINE + OFLOXACIN,3,2,0.0010355120161367167,2011,2011
item_drug_ALPRAZOLAM|item_drug_KETOCONAZOLE|item_drug_NUVARING,ALPRAZOLAM + KETOCONAZOLE + NUVARING,3,2,0.0010312048684252,3587,2639
item_drug_DIFFERIN|item_drug_EPIDUO|item_drug_PREDNISONE,DIFFERIN + EPIDUO + PREDNISONE,3,2,0.0010306036626737667,3696,3696
item_drug_DEXAMETHASONE|item_drug_EPIDUO|item_drug_MELOXICAM,DEXAMETHASONE + EPIDUO + MELOXICAM,3,2,0.0010280050347069,3276,3276
item_drug_ACYCLOVIR|item_drug_KETOCONAZOLE|item_drug_METHOCARBAMOL,ACYCLOVIR + KETOCONAZOLE + METHOCARBAMOL,3,2,0.0010263140843157835,2181,2181
item_drug_FLUCONAZOLE|item_drug_MUPIROCIN,FLUCONAZOLE + MUPIROCIN,2,2,0.0010244307906107498,3455,3453
item_drug_FLUCONAZOLE|item_drug_METRONIDAZOLE|item_drug_MUPIROCIN,FLUCONAZOLE + METRONIDAZOLE + MUPIROCIN,3,2,0.0010224056812244166,3455,3453
item_drug_ACYCLOVIR|item_drug_AMOXICILLIN|item_drug_NUVARING,ACYCLOVIR + AMOXICILLIN + NUVARING,3,2,0.0010203001712009833,2091,1449
item_drug_KETOCONAZOLE|item_drug_METHOCARBAMOL|item_drug_NUVARING,KETOCONAZOLE + METHOCARBAMOL + NUVARING,3,2,0.0010192993878630333,3587,2639
item_drug_NORETHINDRONE|item_drug_NUVARING|item_drug_OFLOXACIN,NORETHINDRONE + NUVARING + OFLOXACIN,3,2,0.00101461898831415,3327,3264
item_drug_NUVARING|item_drug_OCELLA,NUVARING + OCELLA,2,2,0.0010083536410764,3116,2998
item_drug_LORYNA|item_drug_NORETHINDRONE|item_drug_NUVARING,LORYNA + NORETHINDRONE + NUVARING,3,2,0.0010080382671257167,3327,3264
item_drug_LORYNA|item_drug_NEXPLANON|item_drug_NUVARING,LORYNA + NEXPLANON + NUVARING,3,2,0.0010047407403992667,4000,4000
item_drug_ERYTHROMYCIN|item_drug_NORETHINDRONE|item_drug_NUVARING,ERYTHROMYCIN + NORETHINDRONE + NUVARING,3,2,0.0009984354414539166,3327,3264
item_drug_FLUCONAZOLE|item_drug_NORETHINDRONE|item_drug_OFLOXACIN,FLUCONAZOLE + NORETHINDRONE + OFLOXACIN,3,2,0.00099599680455175,3327,3264
item_drug_EPIDUO|item_drug_NEXPLANON|item_drug_NUVARING,EPIDUO + NEXPLANON + NUVARING,3,2,0.0009951864527617499,3788,3788
item_drug_ERYTHROMYCIN|item_drug_NEXPLANON|item_drug_NUVARING,ERYTHROMYCIN + NEXPLANON + NUVARING,3,2,0.0009951379147274666,4000,4000
item_drug_FLUCONAZOLE|item_drug_LORYNA|item_drug_NORETHINDRONE,FLUCONAZOLE + LORYNA + NORETHINDRONE,3,2,0.0009894160833633166,3327,3264
item_drug_MUPIROCIN|item_drug_NUVARING|item_drug_OFLOXACIN,MUPIROCIN + NUVARING + OFLOXACIN,3,2,0.0009878615690531,3455,3453
item_drug_FLUCONAZOLE|item_drug_LORYNA|item_drug_NEXPLANON,FLUCONAZOLE + LORYNA + NEXPLANON,3,2,0.0009861185566368666,4000,4000
item_drug_LORYNA|item_drug_MUPIROCIN|item_drug_NUVARING,LORYNA + MUPIROCIN + NUVARING,3,2,0.0009812808478646667,3455,3453
item_drug_ERYTHROMYCIN|item_drug_FLUCONAZOLE|item_drug_NORETHINDRONE,ERYTHROMYCIN + FLUCONAZOLE + NORETHINDRONE,3,2,0.0009798132576915167,3327,3264
item_drug_EPIDUO|item_drug_NEXPLANON|item_drug_PREDNISONE,EPIDUO + NEXPLANON + PREDNISONE,3,2,0.0009789363839437834,3788,3788
item_drug_ACYCLOVIR|item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,ACYCLOVIR + AMOXICILLIN + OMEPRAZOLE,3,2,0.0009770326558144501,2257,435
item_drug_DEXAMETHASONE|item_drug_LORATADINE|item_drug_MELOXICAM,DEXAMETHASONE + LORATADINE + MELOXICAM,3,2,0.0009768565293524667,2011,2011
item_drug_ERYTHROMYCIN|item_drug_FLUCONAZOLE|item_drug_NEXPLANON,ERYTHROMYCIN + FLUCONAZOLE + NEXPLANON,3,2,0.0009765157309650665,4000,4000
item_drug_EPIDUO|item_drug_LORYNA|item_drug_OFLOXACIN,EPIDUO + LORYNA + OFLOXACIN,3,2,0.00097460995159815,3696,3696
item_drug_ERYTHROMYCIN|item_drug_MUPIROCIN|item_drug_NUVARING,ERYTHROMYCIN + MUPIROCIN + NUVARING,3,2,0.0009716780221928667,3455,3453
item_drug_MELOXICAM|item_drug_OCELLA,MELOXICAM + OCELLA,2,2,0.000971035812941,3165,3165
item_drug_FLUCONAZOLE|item_drug_MUPIROCIN|item_drug_OFLOXACIN,FLUCONAZOLE + MUPIROCIN + OFLOXACIN,3,2,0.0009692393852907001,3455,3453
item_drug_FLUCONAZOLE|item_drug_LORYNA|item_drug_MUPIROCIN,FLUCONAZOLE + LORYNA + MUPIROCIN,3,2,0.0009626586641022666,3455,3453
item_drug_NAPROXEN|item_drug_NORETHINDRONE|item_drug_PREDNISONE,NAPROXEN + NORETHINDRONE + PREDNISONE,3,2,0.0009624237882450167,3327,3264
item_drug_ERYTHROMYCIN|item_drug_FLUCONAZOLE|item_drug_MUPIROCIN,ERYTHROMYCIN + FLUCONAZOLE + MUPIROCIN,3,2,0.0009530558384304666,3455,3453
item_drug_ALLOPURINOL|item_drug_ATENOLOL,ALLOPURINOL + ATENOLOL,2,2,0.0009447454603165,1475,1475
item_drug_EPIDUO|item_drug_ERYTHROMYCIN|item_drug_OFLOXACIN,EPIDUO + ERYTHROMYCIN + OFLOXACIN,3,2,0.0009421950670834001,3696,3696
item_drug_ACYCLOVIR|item_drug_AMOXICILLIN|item_drug_KETOCONAZOLE,ACYCLOVIR + AMOXICILLIN + KETOCONAZOLE,3,2,0.0009321977022610499,2181,2181
item_drug_AMOXICILLIN|item_drug_KETOCONAZOLE|item_drug_NUVARING,AMOXICILLIN + KETOCONAZOLE + NUVARING,3,2,0.0009251830058083,3587,2639
item_drug_EPIDUO|item_drug_LORATADINE,EPIDUO + LORATADINE,2,2,0.0009204264526162999,2288,2288
item_drug_METRONIDAZOLE|item_drug_NAPROXEN|item_drug_NORETHINDRONE,METRONIDAZOLE + NAPROXEN + NORETHINDRONE,3,2,0.0009202320011782166,3327,3264
item_drug_DIFFERIN|item_drug_NORETHINDRONE|item_drug_NUVARING,DIFFERIN + NORETHINDRONE + NUVARING,3,2,0.0008993439826072,3327,3264
item_drug_DIFFERIN|item_drug_NEXPLANON|item_drug_NUVARING,DIFFERIN + NEXPLANON + NUVARING,3,2,0.00089604645588075,4000,4000
item_drug_DEXAMETHASONE|item_drug_EPIDUO,DEXAMETHASONE + EPIDUO,2,2,0.0008942974505200001,3276,3276
item_drug_MELOXICAM|item_drug_NORETHINDRONE|item_drug_NUVARING,MELOXICAM + NORETHINDRONE + NUVARING,3,2,0.0008832593282529666,3327,3264
item_drug_DIFFERIN|item_drug_FLUCONAZOLE|item_drug_NORETHINDRONE,DIFFERIN + FLUCONAZOLE + NORETHINDRONE,3,2,0.0008807217988447999,3327,3264
item_drug_DEXAMETHASONE|item_drug_EPIDUO|item_drug_LORATADINE,DEXAMETHASONE + EPIDUO + LORATADINE,3,2,0.0008774328652082166,2011,2011
item_drug_DIFFERIN|item_drug_FLUCONAZOLE|item_drug_NEXPLANON,DIFFERIN + FLUCONAZOLE + NEXPLANON,3,2,0.00087742427211835,4000,4000
item_drug_DIFFERIN|item_drug_MUPIROCIN|item_drug_NUVARING,DIFFERIN + MUPIROCIN + NUVARING,3,2,0.00087258656334615,3455,3453
item_drug_NAPROXEN|item_drug_NORETHINDRONE,NAPROXEN + NORETHINDRONE,2,2,0.00087117027054145,3327,3264
item_drug_EPIDUO|item_drug_ERYTHROMYCIN|item_drug_LORYNA,EPIDUO + ERYTHROMYCIN + LORYNA,3,2,0.0008683023226635834,3696,3696
item_drug_NAPROXEN|item_drug_NORETHINDRONE|item_drug_OFLOXACIN,NAPROXEN + NORETHINDRONE + OFLOXACIN,3,2,0.0008670657052445,3327,3264
item_drug_FLUCONAZOLE|item_drug_MELOXICAM|item_drug_NORETHINDRONE,FLUCONAZOLE + MELOXICAM + NORETHINDRONE,3,2,0.0008646371444905666,3327,3264
item_drug_LORYNA|item_drug_NAPROXEN|item_drug_NORETHINDRONE,LORYNA + NAPROXEN + NORETHINDRONE,3,2,0.0008604849840560666,3327,3264
item_drug_LORYNA|item_drug_NAPROXEN|item_drug_NEXPLANON,LORYNA + NAPROXEN + NEXPLANON,3,2,0.0008571874573296167,4000,4000
item_drug_EPIDUO|item_drug_LORYNA,EPIDUO + LORYNA,2,2,0.0008567142262565751,3696,3696
item_drug_MELOXICAM|item_drug_MUPIROCIN|item_drug_NUVARING,MELOXICAM + MUPIROCIN + NUVARING,3,2,0.0008565019089919166,3455,3453
item_drug_DIFFERIN|item_drug_FLUCONAZOLE|item_drug_MUPIROCIN,DIFFERIN + FLUCONAZOLE + MUPIROCIN,3,2,0.0008539643795837501,3455,3453
item_drug_ERYTHROMYCIN|item_drug_NAPROXEN|item_drug_NORETHINDRONE,ERYTHROMYCIN + NAPROXEN + NORETHINDRONE,3,2,0.0008508821583842667,3327,3264
item_drug_ERYTHROMYCIN|item_drug_NAPROXEN|item_drug_NEXPLANON,ERYTHROMYCIN + NAPROXEN + NEXPLANON,3,2,0.0008475846316578167,4000,4000
item_drug_MUPIROCIN|item_drug_NAPROXEN|item_drug_OFLOXACIN,MUPIROCIN + NAPROXEN + OFLOXACIN,3,2,0.0008403082859834499,3455,3453
item_drug_FLUCONAZOLE|item_drug_MELOXICAM|item_drug_MUPIROCIN,FLUCONAZOLE + MELOXICAM + MUPIROCIN,3,2,0.0008378797252295168,3455,3453
item_drug_ACYCLOVIR|item_drug_NUVARING,ACYCLOVIR + NUVARING,2,2,0.000835860837363575,2091,1449
item_drug_NEXPLANON|item_drug_NORETHINDRONE|item_drug_NUVARING,NEXPLANON + NORETHINDRONE + NUVARING,3,2,0.0008357855561606166,3327,3264
item_drug_LORYNA|item_drug_MUPIROCIN|item_drug_NAPROXEN,LORYNA + MUPIROCIN + NAPROXEN,3,2,0.0008337275647950166,3455,3453
item_drug_DIFFERIN|item_drug_EPIDUO|item_drug_OFLOXACIN,DIFFERIN + EPIDUO + OFLOXACIN,3,2,0.0008332469217499333,3696,3696
item_drug_METRONIDAZOLE|item_drug_NORETHINDRONE|item_drug_PREDNISONE,METRONIDAZOLE + NORETHINDRONE + PREDNISONE,3,2,0.00083184504815775,3327,3264
item_drug_DEXAMETHASONE|item_drug_LORATADINE,DEXAMETHASONE + LORATADINE,2,2,0.0008175746924883499,2011,2011
item_drug_FLUCONAZOLE|item_drug_NEXPLANON|item_drug_NORETHINDRONE,FLUCONAZOLE + NEXPLANON + NORETHINDRONE,3,2,0.0008171633723982166,3327,3264
item_drug_MUPIROCIN|item_drug_NORETHINDRONE|item_drug_NUVARING,MUPIROCIN + NORETHINDRONE + NUVARING,3,2,0.0008123256636260166,2957,2918
item_drug_MUPIROCIN|item_drug_NEXPLANON|item_drug_NUVARING,MUPIROCIN + NEXPLANON + NUVARING,3,2,0.0008090281368995667,3455,3453
item_drug_EPIDUO|item_drug_ERYTHROMYCIN,EPIDUO + ERYTHROMYCIN,2,2,0.00080809189948445,3696,3696
item_drug_EPIDUO|item_drug_NEXPLANON|item_drug_OFLOXACIN,EPIDUO + NEXPLANON + OFLOXACIN,3,2,0.00079593172448205,3788,3788
item_drug_FLUCONAZOLE|item_drug_MUPIROCIN|item_drug_NORETHINDRONE,FLUCONAZOLE + MUPIROCIN + NORETHINDRONE,3,2,0.0007937034798636166,2957,2918
item_drug_FLUCONAZOLE|item_drug_MUPIROCIN|item_drug_NEXPLANON,FLUCONAZOLE + MUPIROCIN + NEXPLANON,3,2,0.0007904059531371667,3455,3453
item_drug_ACYCLOVIR|item_drug_NUVARING|item_drug_OMEPRAZOLE,ACYCLOVIR + NUVARING + OMEPRAZOLE,3,2,0.0007890859737506666,2091,9
item_drug_EPIDUO|item_drug_LORYNA|item_drug_MELOXICAM,EPIDUO + LORYNA + MELOXICAM,3,2,0.0007799192887060999,3696,3696
item_drug_NORETHINDRONE|item_drug_OFLOXACIN|item_drug_PREDNISONE,NORETHINDRONE + OFLOXACIN + PREDNISONE,3,2,0.0007786787522240334,3327,3264
item_drug_LORYNA|item_drug_NORETHINDRONE|item_drug_PREDNISONE,LORYNA + NORETHINDRONE + PREDNISONE,3,2,0.0007720980310356,3327,3264
item_drug_ACYCLOVIR|item_drug_OMEPRAZOLE,ACYCLOVIR + OMEPRAZOLE,2,2,0.000770959564283775,2257,435
item_drug_LORYNA|item_drug_NEXPLANON|item_drug_PREDNISONE,LORYNA + NEXPLANON + PREDNISONE,3,2,0.00076880050430915,4000,4000
item_drug_EPIDUO|item_drug_MELOXICAM|item_drug_NEXPLANON,EPIDUO + MELOXICAM + NEXPLANON,3,2,0.0007648761452733833,3788,3788
item_drug_ERYTHROMYCIN|item_drug_NORETHINDRONE|item_drug_PREDNISONE,ERYTHROMYCIN + NORETHINDRONE + PREDNISONE,3,2,0.0007624952053638,3327,3264
item_drug_DIFFERIN|item_drug_EPIDUO|item_drug_LORYNA,DIFFERIN + EPIDUO + LORYNA,3,2,0.0007593541773301167,3696,3696
item_drug_ERYTHROMYCIN|item_drug_NEXPLANON|item_drug_PREDNISONE,ERYTHROMYCIN + NEXPLANON + PREDNISONE,3,2,0.00075919767863735,4000,4000
item_drug_DIFFERIN|item_drug_NAPROXEN|item_drug_NORETHINDRONE,DIFFERIN + NAPROXEN + NORETHINDRONE,3,2,0.0007517906995375501,3327,3264
item_drug_DIFFERIN|item_drug_NAPROXEN|item_drug_NEXPLANON,DIFFERIN + NAPROXEN + NEXPLANON,3,2,0.0007484931728111,4000,4000
item_drug_EPIDUO|item_drug_ERYTHROMYCIN|item_drug_MELOXICAM,EPIDUO + ERYTHROMYCIN + MELOXICAM,3,2,0.0007475044041913501,3696,3696
item_drug_LORYNA|item_drug_MUPIROCIN|item_drug_PREDNISONE,LORYNA + MUPIROCIN + PREDNISONE,3,2,0.00074534061177455,3455,3453
item_drug_ACYCLOVIR|item_drug_KETOCONAZOLE|item_drug_NUVARING,ACYCLOVIR + KETOCONAZOLE + NUVARING,3,2,0.0007442510201972667,2010,1401
item_drug_NORETHINDRONE|item_drug_PREDNISONE,NORETHINDRONE + PREDNISONE,2,2,0.00073858984101075,3327,3264
item_drug_METRONIDAZOLE|item_drug_NORETHINDRONE|item_drug_OFLOXACIN,METRONIDAZOLE + NORETHINDRONE + OFLOXACIN,3,2,0.0007364869651572334,3327,3264
item_drug_MELOXICAM|item_drug_NAPROXEN|item_drug_NORETHINDRONE,MELOXICAM + NAPROXEN + NORETHINDRONE,3,2,0.0007357060451833165,3327,3264
item_drug_LORYNA|item_drug_METRONIDAZOLE|item_drug_NORETHINDRONE,LORYNA + METRONIDAZOLE + NORETHINDRONE,3,2,0.0007299062439688,3327,3264
item_drug_DIFFERIN|item_drug_EPIDUO|item_drug_ERYTHROMYCIN,DIFFERIN + EPIDUO + ERYTHROMYCIN,3,2,0.0007269392928153668,3696,3696
item_drug_LORYNA|item_drug_METRONIDAZOLE|item_drug_NEXPLANON,LORYNA + METRONIDAZOLE + NEXPLANON,3,2,0.00072660871724235,4000,4000
item_drug_DIFFERIN|item_drug_MUPIROCIN|item_drug_NAPROXEN,DIFFERIN + MUPIROCIN + NAPROXEN,3,2,0.0007250332802765001,3455,3453
item_drug_ERYTHROMYCIN|item_drug_METRONIDAZOLE|item_drug_NORETHINDRONE,ERYTHROMYCIN + METRONIDAZOLE + NORETHINDRONE,3,2,0.000720303418297,3327,3264
item_drug_ERYTHROMYCIN|item_drug_METRONIDAZOLE|item_drug_NEXPLANON,ERYTHROMYCIN + METRONIDAZOLE + NEXPLANON,3,2,0.00071700589157055,4000,4000
item_drug_BENZONATATE|item_drug_LEVOFLOXACIN|item_drug_OFLOXACIN,BENZONATATE + LEVOFLOXACIN + OFLOXACIN,3,2,0.0007115661043590667,229,229
