cohort,age_band,bin,feature,drug_name,rank,combined_importance
non_opioid_ed,45_54,high,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,8,0.0106666654075963
non_opioid_ed,45_54,high,item_drug_GABAPENTIN,GABAPENTIN,11,0.0050710642746932
non_opioid_ed,45_54,high,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,13,0.0045592343553695
non_opioid_ed,45_54,high,item_drug_IBUPROFEN,IBUPROFEN,4,0.025274776393671
non_opioid_ed,45_54,high,item_drug_KETOCONAZOLE,KETOCONAZOLE,10,0.0075682205267235
non_opioid_ed,45_54,high,item_drug_LISINOPRIL,LISINOPRIL,5,0.0235810737033094
non_opioid_ed,45_54,high,item_drug_METRONIDAZOLE,METRONIDAZOLE,7,0.011342833734671
non_opioid_ed,45_54,high,item_drug_MUPIROCIN,MUPIROCIN,19,0.0024979721423042
non_opioid_ed,45_54,high,item_drug_NAPROXEN,NAPROXEN,20,0.002384199566791
non_opioid_ed,45_54,high,item_drug_OMEPRAZOLE,OMEPRAZOLE,9,0.0080790183040946
non_opioid_ed,45_54,high,item_drug_PREDNISONE,PREDNISONE,14,0.0045120679965572
non_opioid_ed,45_54,high,item_drug_SIMVASTATIN,SIMVASTATIN,16,0.0040876602384704
non_opioid_ed,75_84,low,item_drug_ALPRAZOLAM,ALPRAZOLAM,7,0.0065130787851312
non_opioid_ed,75_84,low,item_drug_AMOXICILLIN,AMOXICILLIN,14,0.0003737119967481
non_opioid_ed,75_84,low,item_drug_ATENOLOL,ATENOLOL,11,0.002497799834746
non_opioid_ed,75_84,low,item_drug_AZITHROMYCIN,AZITHROMYCIN,5,0.013132265862522
non_opioid_ed,75_84,low,item_drug_CEPHALEXIN,CEPHALEXIN,12,0.0012684909848571
non_opioid_ed,75_84,low,item_drug_CLOPIDOGREL,CLOPIDOGREL,17,9.81660442768334e-05
non_opioid_ed,75_84,low,item_drug_FINASTERIDE,FINASTERIDE,13,0.0006513434773042
non_opioid_ed,75_84,low,item_drug_FUROSEMIDE,FUROSEMIDE,9,0.0047041375967234
non_opioid_ed,75_84,low,item_drug_GABAPENTIN,GABAPENTIN,16,0.0001410073457185
non_opioid_ed,75_84,low,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,18,3.363689955135592e-05
non_opioid_ed,75_84,low,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,8,0.0050713081144249
non_opioid_ed,75_84,low,item_drug_LISINOPRIL,LISINOPRIL,3,0.0151112889665443
non_opioid_ed,75_84,low,item_drug_LORAZEPAM,LORAZEPAM,6,0.0079478261855245
non_opioid_ed,75_84,low,item_drug_OMEPRAZOLE,OMEPRAZOLE,10,0.004003686953162
non_opioid_ed,75_84,low,item_drug_PREDNISONE,PREDNISONE,15,0.0001759975221574
non_opioid_ed,75_84,low,item_drug_SIMVASTATIN,SIMVASTATIN,4,0.0150254667497506
non_opioid_ed,75_84,medium,item_drug_ALPRAZOLAM,ALPRAZOLAM,6,0.0271773411289729
non_opioid_ed,75_84,medium,item_drug_AMOXICILLIN,AMOXICILLIN,14,0.0010466368723363
non_opioid_ed,75_84,medium,item_drug_ATENOLOL,ATENOLOL,11,0.0060125719769271
non_opioid_ed,75_84,medium,item_drug_AZITHROMYCIN,AZITHROMYCIN,5,0.0283249103975633
non_opioid_ed,75_84,medium,item_drug_CEPHALEXIN,CEPHALEXIN,12,0.004688197839002
non_opioid_ed,75_84,medium,item_drug_CLOPIDOGREL,CLOPIDOGREL,17,0.0003124444749053
non_opioid_ed,75_84,medium,item_drug_FINASTERIDE,FINASTERIDE,13,0.0022694474119947
non_opioid_ed,75_84,medium,item_drug_FUROSEMIDE,FUROSEMIDE,10,0.0101416239658667
non_opioid_ed,75_84,medium,item_drug_GABAPENTIN,GABAPENTIN,15,0.000745058439504
non_opioid_ed,75_84,medium,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,18,0.0001001633885949
non_opioid_ed,75_84,medium,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,8,0.0147576651554433
non_opioid_ed,75_84,medium,item_drug_LISINOPRIL,LISINOPRIL,3,0.0441767126598834
non_opioid_ed,75_84,medium,item_drug_LORAZEPAM,LORAZEPAM,7,0.0259290101981392
non_opioid_ed,75_84,medium,item_drug_OMEPRAZOLE,OMEPRAZOLE,9,0.011140190550328
non_opioid_ed,75_84,medium,item_drug_PREDNISONE,PREDNISONE,16,0.0004064999358173
non_opioid_ed,75_84,medium,item_drug_SIMVASTATIN,SIMVASTATIN,4,0.03572486231868
non_opioid_ed,75_84,extreme,item_drug_ALPRAZOLAM,ALPRAZOLAM,8,0.0393409612247605
non_opioid_ed,75_84,extreme,item_drug_AMOXICILLIN,AMOXICILLIN,14,0.0031764498815327
non_opioid_ed,75_84,extreme,item_drug_ATENOLOL,ATENOLOL,12,0.0072940354210203
non_opioid_ed,75_84,extreme,item_drug_AZITHROMYCIN,AZITHROMYCIN,7,0.0555856113684334
non_opioid_ed,75_84,extreme,item_drug_CEPHALEXIN,CEPHALEXIN,11,0.0173609462519487
non_opioid_ed,75_84,extreme,item_drug_CLOPIDOGREL,CLOPIDOGREL,17,0.0005941787938537
non_opioid_ed,75_84,extreme,item_drug_FINASTERIDE,FINASTERIDE,13,0.0036764766318618
non_opioid_ed,75_84,extreme,item_drug_FUROSEMIDE,FUROSEMIDE,9,0.0393059724973886
non_opioid_ed,75_84,extreme,item_drug_GABAPENTIN,GABAPENTIN,15,0.0025314911211874
non_opioid_ed,75_84,extreme,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,18,0.000105427649825
non_opioid_ed,75_84,extreme,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,6,0.0573928913529375
non_opioid_ed,75_84,extreme,item_drug_LISINOPRIL,LISINOPRIL,4,0.0791106267545883
non_opioid_ed,75_84,extreme,item_drug_LORAZEPAM,LORAZEPAM,3,0.0869842925797706
non_opioid_ed,75_84,extreme,item_drug_OMEPRAZOLE,OMEPRAZOLE,10,0.0232820050945212
non_opioid_ed,75_84,extreme,item_drug_PREDNISONE,PREDNISONE,16,0.0019448096163889
non_opioid_ed,75_84,extreme,item_drug_SIMVASTATIN,SIMVASTATIN,5,0.0607447139298034
non_opioid_ed,75_84,high,item_drug_ALPRAZOLAM,ALPRAZOLAM,7,0.0348935285965318
non_opioid_ed,75_84,high,item_drug_AMOXICILLIN,AMOXICILLIN,14,0.0020142671856672
non_opioid_ed,75_84,high,item_drug_ATENOLOL,ATENOLOL,12,0.0080649673913878
non_opioid_ed,75_84,high,item_drug_AZITHROMYCIN,AZITHROMYCIN,5,0.0517003548121622
non_opioid_ed,75_84,high,item_drug_CEPHALEXIN,CEPHALEXIN,11,0.0091772340571608
non_opioid_ed,75_84,high,item_drug_CLOPIDOGREL,CLOPIDOGREL,17,0.0006421948119413
non_opioid_ed,75_84,high,item_drug_FINASTERIDE,FINASTERIDE,13,0.0030098583041774
non_opioid_ed,75_84,high,item_drug_FUROSEMIDE,FUROSEMIDE,9,0.0211586463861381
non_opioid_ed,75_84,high,item_drug_GABAPENTIN,GABAPENTIN,15,0.0018705657727371
non_opioid_ed,75_84,high,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,18,0.0001619043907163
non_opioid_ed,75_84,high,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,8,0.0262028251509628
non_opioid_ed,75_84,high,item_drug_LISINOPRIL,LISINOPRIL,3,0.0743292200471507
non_opioid_ed,75_84,high,item_drug_LORAZEPAM,LORAZEPAM,6,0.0480961841848446
non_opioid_ed,75_84,high,item_drug_OMEPRAZOLE,OMEPRAZOLE,10,0.0193177523806562
non_opioid_ed,75_84,high,item_drug_PREDNISONE,PREDNISONE,16,0.0011107700351083
non_opioid_ed,75_84,high,item_drug_SIMVASTATIN,SIMVASTATIN,4,0.0552992003970011
non_opioid_ed,0_12,low,item_drug_ACYCLOVIR,ACYCLOVIR,19,0.0003419390525166
non_opioid_ed,0_12,low,item_drug_AMOXICILLIN,AMOXICILLIN,3,0.01919507108122
non_opioid_ed,0_12,low,item_drug_AZITHROMYCIN,AZITHROMYCIN,6,0.0027588489747416
non_opioid_ed,0_12,low,item_drug_BENZONATATE,BENZONATATE,18,0.0005265851518174
non_opioid_ed,0_12,low,item_drug_CEFDINIR,CEFDINIR,5,0.0035326671589708
non_opioid_ed,0_12,low,item_drug_CEPHALEXIN,CEPHALEXIN,4,0.0045997228858438
non_opioid_ed,0_12,low,item_drug_CIPRODEX,CIPRODEX,13,0.0013138822456851
non_opioid_ed,0_12,low,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,17,0.0011312302247482
non_opioid_ed,0_12,low,item_drug_HYDROCORTISONE,HYDROCORTISONE,20,0.0003190864816427
non_opioid_ed,0_12,low,item_drug_IBUPROFEN,IBUPROFEN,10,0.0017826593693483
non_opioid_ed,0_12,low,item_drug_LORATADINE,LORATADINE,8,0.0021069648029405
