combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_ALPRAZOLAM|item_drug_BACLOFEN|item_drug_OMEPRAZOLE,ALPRAZOLAM + BACLOFEN + OMEPRAZOLE,3,5,0.07748094351078405,7281,7281
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_LYRICA,ALPRAZOLAM + AMOXICILLIN + LYRICA,3,5,0.07665870595094684,7281,7281
item_drug_ALPRAZOLAM|item_drug_DIAZEPAM|item_drug_LORAZEPAM,ALPRAZOLAM + DIAZEPAM + LORAZEPAM,3,5,0.07564666896300554,7281,7281
item_drug_CLONAZEPAM|item_drug_LYRICA|item_drug_OMEPRAZOLE,CLONAZEPAM + LYRICA + OMEPRAZOLE,3,5,0.07497903373514028,7281,7281
item_drug_AZITHROMYCIN|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,AZITHROMYCIN + LORAZEPAM + OMEPRAZOLE,3,5,0.07465191874943497,7281,7281
item_drug_ALPRAZOLAM|item_drug_DIAZEPAM|item_drug_LYRICA,ALPRAZOLAM + DIAZEPAM + LYRICA,3,5,0.07458361707924949,7281,7281
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_BACLOFEN,ALPRAZOLAM + AMOXICILLIN + BACLOFEN,3,5,0.07452134725172903,7281,7281
item_drug_CLONAZEPAM|item_drug_LYRICA,CLONAZEPAM + LYRICA,2,5,0.0742792952136676,7281,7281
item_drug_GABAPENTIN|item_drug_IBUPROFEN|item_drug_LORAZEPAM,GABAPENTIN + IBUPROFEN + LORAZEPAM,3,5,0.07401691806704372,5519,5519
item_drug_AZITHROMYCIN|item_drug_LORAZEPAM,AZITHROMYCIN + LORAZEPAM,2,5,0.07378862273510965,7281,7281
item_drug_AZITHROMYCIN|item_drug_LYRICA|item_drug_OMEPRAZOLE,AZITHROMYCIN + LYRICA + OMEPRAZOLE,3,5,0.07358886686567892,7281,7281
item_drug_BACLOFEN|item_drug_CLONAZEPAM|item_drug_OMEPRAZOLE,BACLOFEN + CLONAZEPAM + OMEPRAZOLE,3,5,0.07284167503592247,7281,7281
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_LYRICA,ALPRAZOLAM + CEPHALEXIN + LYRICA,3,5,0.07269022807139373,7281,7281
item_drug_ALPRAZOLAM|item_drug_BACLOFEN|item_drug_DIAZEPAM,ALPRAZOLAM + BACLOFEN + DIAZEPAM,3,5,0.07244625838003169,7281,7281
item_drug_AZITHROMYCIN|item_drug_LYRICA,AZITHROMYCIN + LYRICA,2,5,0.07219404490947558,7281,7281
