combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AZITHROMYCIN + PREDNISONE,2,42,0.028251597122277754,0.2083911142023128,55443,53853
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,AMOXICILLIN + AZITHROMYCIN,2,40,0.02919246649244666,0.1706347045291183,59467,57423
item_drug_AMOXICILLIN|item_drug_PREDNISONE,AMOXICILLIN + PREDNISONE,2,40,0.02668556246098444,0.21548616707426899,56659,56128
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AMOXICILLIN + AZITHROMYCIN + PREDNISONE,3,38,0.02649570805838275,0.19817066193523336,54257,52717
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,AMOXICILLIN + CEPHALEXIN,2,37,0.020974887348748066,0.11686809187061865,56164,55219
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AZITHROMYCIN + CEPHALEXIN,2,36,0.036924691698073005,0.2170929097340565,51313,49661
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,AMOXICILLIN + OMEPRAZOLE,2,36,0.020897247052811277,0.15134406538840423,50000,42338
item_drug_CEPHALEXIN|item_drug_PREDNISONE,CEPHALEXIN + PREDNISONE,2,35,0.030793656458642734,0.20017327557912107,46983,46500
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + OMEPRAZOLE,2,35,0.02813269511664469,0.1392631199369217,45046,37581
item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,CEPHALEXIN + OMEPRAZOLE,2,34,0.03128715694427692,0.17806314615295477,43147,35839
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_PREDNISONE,AZITHROMYCIN + CEPHALEXIN + PREDNISONE,3,34,0.031093058117605786,0.1687552302972738,46681,45281
item_drug_OMEPRAZOLE|item_drug_PREDNISONE,OMEPRAZOLE + PREDNISONE,2,34,0.021142725243318297,0.13036918471483205,40194,32980
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,AZITHROMYCIN + OMEPRAZOLE + PREDNISONE,3,33,0.02573899093729699,0.13408113087882836,39800,32560
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + OMEPRAZOLE,2,32,0.02982637635645065,0.1719872342551437,39066,32312
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AMOXICILLIN + AZITHROMYCIN + CEPHALEXIN,3,32,0.024775788371583063,0.13081827095276757,50062,48199
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AMOXICILLIN + AZITHROMYCIN + OMEPRAZOLE,3,31,0.025969589568892903,0.13098072460091761,43809,36130
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_PREDNISONE,AMOXICILLIN + CEPHALEXIN + PREDNISONE,3,31,0.020488962007315828,0.1144074296288029,45800,45364
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN,ALPRAZOLAM + GABAPENTIN,2,30,0.08100902200485331,0.6191989522286543,35116,33599
item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,GABAPENTIN + OMEPRAZOLE,2,30,0.07171655050628913,0.5527882811128182,35022,30062
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + GABAPENTIN + OMEPRAZOLE,3,30,0.06148676042297158,0.44799148919887205,34965,30062
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,AMOXICILLIN + OMEPRAZOLE + PREDNISONE,3,30,0.021262312460580197,0.13458372323071835,39024,31855
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,AMOXICILLIN + CEPHALEXIN + OMEPRAZOLE,3,30,0.021242008664935832,0.13113717141851827,41913,34388
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN,ALPRAZOLAM + CEPHALEXIN,2,29,0.044249413068840254,0.1815379094768982,34084,34057
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + CEPHALEXIN + OMEPRAZOLE,3,29,0.036971104269911674,0.15152800762794913,33897,27215
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + CEPHALEXIN + OMEPRAZOLE,3,29,0.03689124762460526,0.15401514401316294,37052,29783
item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,CEPHALEXIN + OMEPRAZOLE + PREDNISONE,3,28,0.031734305498789264,0.14273538790987264,32742,25686
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN,ALPRAZOLAM + AMOXICILLIN,2,28,0.030332020899033366,0.17364674356059334,38096,37767
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + AMOXICILLIN + OMEPRAZOLE,3,28,0.027160854107392465,0.1509566834201648,37909,30861
item_drug_CEPHALEXIN|item_drug_GABAPENTIN,CEPHALEXIN + GABAPENTIN,2,27,0.09102722275749461,0.5553047767299444,30016,28574
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_GABAPENTIN,ALPRAZOLAM + CEPHALEXIN + GABAPENTIN,3,27,0.07574347590750757,0.4496691529436228,29949,28574
item_drug_CEPHALEXIN|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,CEPHALEXIN + GABAPENTIN + OMEPRAZOLE,3,27,0.06869258110989185,0.40539537219973215,29851,25097
item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN,ALPRAZOLAM + AZITHROMYCIN,2,27,0.03921500772164221,0.2056737910527577,33108,32008
item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + AZITHROMYCIN + OMEPRAZOLE,3,27,0.03427179954957837,0.17230804841494105,32921,26104
item_drug_AMOXICILLIN|item_drug_GABAPENTIN,AMOXICILLIN + GABAPENTIN,2,26,0.07918423066614602,0.5544477904182679,34027,32237
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_GABAPENTIN,ALPRAZOLAM + AMOXICILLIN + GABAPENTIN,3,26,0.06666214127244491,0.4490978287358385,33961,32237
item_drug_AMOXICILLIN|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,AMOXICILLIN + GABAPENTIN + OMEPRAZOLE,3,26,0.060244967907969765,0.4048240479919478,33860,28711
item_drug_ALPRAZOLAM|item_drug_PREDNISONE,ALPRAZOLAM + PREDNISONE,2,26,0.030634366566801633,0.18105752906681072,28481,28387
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,ALPRAZOLAM + OMEPRAZOLE + PREDNISONE,3,26,0.028081742582611185,0.15589720709097638,28289,21503
item_drug_AMOXICILLIN|item_drug_IBUPROFEN,AMOXICILLIN + IBUPROFEN,2,26,0.01980608236193277,0.11609005149078686,45644,45635
item_drug_AZITHROMYCIN|item_drug_GABAPENTIN,AZITHROMYCIN + GABAPENTIN,2,25,0.09141366212760943,0.5864748379104322,29037,26601
item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN|item_drug_GABAPENTIN,ALPRAZOLAM + AZITHROMYCIN + GABAPENTIN,3,25,0.07441229902427784,0.4704491937306147,28968,26601
item_drug_AZITHROMYCIN|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + GABAPENTIN + OMEPRAZOLE,3,25,0.06970263173912787,0.42617541298672407,28865,24045
item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN|item_drug_PREDNISONE,ALPRAZOLAM + AZITHROMYCIN + PREDNISONE,3,25,0.03411035458931146,0.17835491162271902,28111,26976
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,ALPRAZOLAM + AMOXICILLIN + CEPHALEXIN,3,25,0.028560914567067535,0.15263434716491556,32919,32595
item_drug_GABAPENTIN|item_drug_PREDNISONE,GABAPENTIN + PREDNISONE,2,24,0.07568686270775184,0.5618585759244852,24463,22897
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN|item_drug_PREDNISONE,ALPRAZOLAM + GABAPENTIN + PREDNISONE,3,24,0.06352148932665498,0.45403835240665,24429,22897
item_drug_GABAPENTIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,GABAPENTIN + OMEPRAZOLE + PREDNISONE,3,24,0.058735655520125364,0.40976457166275937,24300,19366
item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,ALPRAZOLAM + AZITHROMYCIN + CEPHALEXIN,3,24,0.04685988047156008,0.1739857121596918,28031,27037
item_drug_AZITHROMYCIN|item_drug_LISINOPRIL,AZITHROMYCIN + LISINOPRIL,2,24,0.030142187002455842,0.0752186852412146,24792,23601
item_drug_LISINOPRIL|item_drug_PREDNISONE,LISINOPRIL + PREDNISONE,2,24,0.02288664272751141,0.058299051086279155,22112,21980
item_drug_LISINOPRIL|item_drug_OMEPRAZOLE,LISINOPRIL + OMEPRAZOLE,2,24,0.021116954482143974,0.05119631592455475,24117,22941
item_drug_AZITHROMYCIN|item_drug_GABAPENTIN|item_drug_PREDNISONE,AZITHROMYCIN + GABAPENTIN + PREDNISONE,3,23,0.06685219811109348,0.43222227619450204,24086,21688
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_GABAPENTIN,AMOXICILLIN + CEPHALEXIN + GABAPENTIN,3,23,0.06542845611127839,0.40650171173669863,28842,27212
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_PREDNISONE,ALPRAZOLAM + CEPHALEXIN + PREDNISONE,3,23,0.041569758697424075,0.15757487083572713,23921,23876
item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE,CEPHALEXIN + METRONIDAZOLE,2,23,0.0332848524402617,0.1769914896074022,27590,25999
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,ALPRAZOLAM + AMOXICILLIN + AZITHROMYCIN,3,23,0.033029039018320806,0.17341438795190747,31942,30546
item_drug_AZITHROMYCIN|item_drug_LISINOPRIL|item_drug_PREDNISONE,AZITHROMYCIN + LISINOPRIL + PREDNISONE,3,23,0.025037101056179484,0.07417241396871253,21743,20569
item_drug_AZITHROMYCIN|item_drug_LISINOPRIL|item_drug_OMEPRAZOLE,AZITHROMYCIN + LISINOPRIL + OMEPRAZOLE,3,23,0.02442313502218043,0.05943232768460167,23747,22512
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_IBUPROFEN,AMOXICILLIN + CEPHALEXIN + IBUPROFEN,3,23,0.019434371426280808,0.10763449548677335,40782,40773
item_drug_LISINOPRIL|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,LISINOPRIL + OMEPRAZOLE + PREDNISONE,3,23,0.01878298323154554,0.048152571581311365,21069,19911
item_drug_CEPHALEXIN|item_drug_IBUPROFEN,CEPHALEXIN + IBUPROFEN,2,23,0.0159129410007203,0.0899453430989146,40782,40773
item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,METRONIDAZOLE + OMEPRAZOLE,2,23,0.014564103363758364,0.10020350572619885,26333,19956
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_GABAPENTIN,AZITHROMYCIN + CEPHALEXIN + GABAPENTIN,3,22,0.08758321421543237,0.4278530767314748,23949,21705
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_PREDNISONE,ALPRAZOLAM + AMOXICILLIN + PREDNISONE,3,22,0.027036363180815207,0.1570035466279428,27335,27251
item_drug_ALPRAZOLAM|item_drug_METRONIDAZOLE,ALPRAZOLAM + METRONIDAZOLE,2,22,0.024892989533942613,0.16661417684203486,24515,22924
item_drug_ALPRAZOLAM|item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,ALPRAZOLAM + METRONIDAZOLE + OMEPRAZOLE,3,22,0.021181342418322698,0.14626830560779247,24333,17956
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_IBUPROFEN,AMOXICILLIN + AZITHROMYCIN + IBUPROFEN,3,22,0.020467260795184614,0.10747804866917271,39865,39856
item_drug_AMOXICILLIN|item_drug_IBUPROFEN|item_drug_PREDNISONE,AMOXICILLIN + IBUPROFEN + PREDNISONE,3,22,0.01863153116921912,0.11108104729897343,39250,39201
item_drug_METRONIDAZOLE|item_drug_PREDNISONE,METRONIDAZOLE + PREDNISONE,2,22,0.017093376875789986,0.10927380053786584,26112,24476
item_drug_AZITHROMYCIN|item_drug_IBUPROFEN,AZITHROMYCIN + IBUPROFEN,2,22,0.016561379189866436,0.08971067287251361,39865,39856
item_drug_AMOXICILLIN|item_drug_METRONIDAZOLE,AMOXICILLIN + METRONIDAZOLE,2,22,0.015557563692417094,0.10186301503164849,31379,29788
item_drug_AZITHROMYCIN|item_drug_IBUPROFEN|item_drug_PREDNISONE,AZITHROMYCIN + IBUPROFEN + PREDNISONE,3,22,0.015412936831430869,0.09349479488679126,39250,39201
item_drug_IBUPROFEN|item_drug_PREDNISONE,IBUPROFEN + PREDNISONE,2,22,0.013807784750918206,0.0951151708172147,39250,39201
item_drug_AMOXICILLIN|item_drug_NAPROXEN,AMOXICILLIN + NAPROXEN,2,22,0.011512119122075925,0.034333512415075,40018,40018
item_drug_CEPHALEXIN|item_drug_GABAPENTIN|item_drug_PREDNISONE,CEPHALEXIN + GABAPENTIN + PREDNISONE,3,21,0.07717148815039813,0.4114422354075102,19900,18527
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_GABAPENTIN,AMOXICILLIN + AZITHROMYCIN + GABAPENTIN,3,21,0.0754851934906682,0.4272817525236905,27860,25239
item_drug_AZITHROMYCIN|item_drug_METRONIDAZOLE|item_drug_PREDNISONE,AZITHROMYCIN + METRONIDAZOLE + PREDNISONE,3,21,0.022170262143310426,0.13049909260342246,25981,24332
item_drug_AMOXICILLIN|item_drug_LISINOPRIL,AMOXICILLIN + LISINOPRIL,2,21,0.022023432373232562,0.0411435383180605,23974,23581
item_drug_AZITHROMYCIN|item_drug_METRONIDAZOLE,AZITHROMYCIN + METRONIDAZOLE,2,21,0.021619677622106714,0.13389006252381286,26603,24998
item_drug_AMOXICILLIN|item_drug_SIMVASTATIN,AMOXICILLIN + SIMVASTATIN,2,21,0.02122366585067092,0.10029639002730995,26790,25844
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,AMOXICILLIN + OMEPRAZOLE + SIMVASTATIN,3,21,0.019820648727181926,0.10205644773130922,26699,24765
item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,OMEPRAZOLE + SIMVASTATIN,2,21,0.01907728158028221,0.0986368807218603,26810,25091
item_drug_AMOXICILLIN|item_drug_GABAPENTIN|item_drug_PREDNISONE,AMOXICILLIN + GABAPENTIN + PREDNISONE,3,20,0.06413121877780625,0.4108709111997258,23313,21761
item_drug_AZITHROMYCIN|item_drug_FUROSEMIDE,AZITHROMYCIN + FUROSEMIDE,2,20,0.0530450811021269,0.1847693205359639,16975,15245
item_drug_GABAPENTIN|item_drug_METRONIDAZOLE,GABAPENTIN + METRONIDAZOLE,2,20,0.050706914195371,0.5474152236997094,20508,18959
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN|item_drug_METRONIDAZOLE,ALPRAZOLAM + GABAPENTIN + METRONIDAZOLE,3,20,0.046081437789054505,0.4444094509234662,20508,18959
item_drug_FUROSEMIDE|item_drug_OMEPRAZOLE,FUROSEMIDE + OMEPRAZOLE,2,20,0.043523517770695436,0.1510827637383499,16282,14585
item_drug_GABAPENTIN|item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,GABAPENTIN + METRONIDAZOLE + OMEPRAZOLE,3,20,0.038826042590626886,0.4001356701795755,20367,17208
item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,CEPHALEXIN + METRONIDAZOLE + OMEPRAZOLE,3,20,0.02906551983646004,0.12728086392872676,21410,15081
item_drug_AZITHROMYCIN|item_drug_SIMVASTATIN,AZITHROMYCIN + SIMVASTATIN,2,20,0.02808236462090808,0.1323234375194743,26490,24728
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_SIMVASTATIN,AMOXICILLIN + AZITHROMYCIN + SIMVASTATIN,3,20,0.025917328357433305,0.12451415226305186,26371,24402
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,AZITHROMYCIN + OMEPRAZOLE + SIMVASTATIN,3,20,0.024633776556875164,0.12340781272608543,26400,24662
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_LISINOPRIL,AMOXICILLIN + AZITHROMYCIN + LISINOPRIL,3,20,0.022334281623054168,0.0459575626681848,23598,22139
item_drug_AMOXICILLIN|item_drug_BENZONATATE,AMOXICILLIN + BENZONATATE,2,20,0.021954708919719537,0.13794195109540255,29977,29953
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_BENZONATATE,AMOXICILLIN + AZITHROMYCIN + BENZONATATE,3,20,0.021883297252783356,0.12204598173891651,29975,29890
item_drug_AMOXICILLIN|item_drug_BENZONATATE|item_drug_CEPHALEXIN,AMOXICILLIN + BENZONATATE + CEPHALEXIN,3,20,0.02116325237505677,0.12220242855651715,29848,29824
item_drug_AZITHROMYCIN|item_drug_BENZONATATE|item_drug_CEPHALEXIN,AZITHROMYCIN + BENZONATATE + CEPHALEXIN,3,20,0.01884053260466873,0.104616176144335,29848,29819
item_drug_AZITHROMYCIN|item_drug_BENZONATATE,AZITHROMYCIN + BENZONATATE,2,20,0.01847062926413747,0.11156257247712931,29975,29890
item_drug_AMOXICILLIN|item_drug_LISINOPRIL|item_drug_OMEPRAZOLE,AMOXICILLIN + LISINOPRIL + OMEPRAZOLE,3,20,0.017666264917026976,0.035189693910214065,22933,21490
item_drug_BENZONATATE|item_drug_CEPHALEXIN,BENZONATATE + CEPHALEXIN,2,20,0.017390561947547595,0.1117972427035303,29848,29824
item_drug_AMOXICILLIN|item_drug_LISINOPRIL|item_drug_PREDNISONE,AMOXICILLIN + LISINOPRIL + PREDNISONE,3,20,0.017386403198268306,0.03379389938074127,20959,20844
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_NAPROXEN,AMOXICILLIN + CEPHALEXIN + NAPROXEN,3,20,0.013660597312250122,0.0352663264765135,36018,36018
item_drug_CEPHALEXIN|item_drug_NAPROXEN,CEPHALEXIN + NAPROXEN,2,20,0.012031738515132515,0.03340374706050325,36018,36018
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_MELOXICAM,AMOXICILLIN + CEPHALEXIN + MELOXICAM,3,20,0.010629578811071478,0.020024517401887366,31667,30241
item_drug_AMOXICILLIN|item_drug_MELOXICAM,AMOXICILLIN + MELOXICAM,2,20,0.009163402780754365,0.0195241703189412,31977,30551
item_drug_CEPHALEXIN|item_drug_MELOXICAM,CEPHALEXIN + MELOXICAM,2,20,0.008258461467996286,0.02069574066528715,31667,30241
item_drug_FUROSEMIDE|item_drug_PREDNISONE,FUROSEMIDE + PREDNISONE,2,19,0.04660942914586599,0.16015305855001688,12747,12279
item_drug_AZITHROMYCIN|item_drug_FUROSEMIDE|item_drug_OMEPRAZOLE,AZITHROMYCIN + FUROSEMIDE + OMEPRAZOLE,3,19,0.044111672457796694,0.1583717347370785,15878,14156
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE,ALPRAZOLAM + CEPHALEXIN + METRONIDAZOLE,3,19,0.03788060603097376,0.14794596935254323,19590,17999
item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE|item_drug_PREDNISONE,CEPHALEXIN + METRONIDAZOLE + PREDNISONE,3,19,0.03321319712203911,0.14202095021283762,21792,20198
item_drug_AMOXICILLIN|item_drug_IBUPROFEN|item_drug_OMEPRAZOLE,AMOXICILLIN + IBUPROFEN + OMEPRAZOLE,3,19,0.020803055061303248,0.13061847783196376,31518,29149
item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,METRONIDAZOLE + OMEPRAZOLE + PREDNISONE,3,19,0.01809262292332539,0.1080413880716798,19932,13512
item_drug_IBUPROFEN|item_drug_OMEPRAZOLE,IBUPROFEN + OMEPRAZOLE,2,19,0.017997799328324224,0.12442131661670015,31518,29149
item_drug_AMOXICILLIN|item_drug_PREDNISONE|item_drug_SIMVASTATIN,AMOXICILLIN + PREDNISONE + SIMVASTATIN,3,19,0.01778265031272803,0.1081033109390872,21580,21107
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_IBUPROFEN,AZITHROMYCIN + CEPHALEXIN + IBUPROFEN,3,19,0.01763783717137175,0.0900482430745912,35003,34994
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE,AMOXICILLIN + CEPHALEXIN + METRONIDAZOLE,3,19,0.016740684913400573,0.104778528145619,26454,24863
item_drug_CEPHALEXIN|item_drug_IBUPROFEN|item_drug_PREDNISONE,CEPHALEXIN + IBUPROFEN + PREDNISONE,3,19,0.016507898763508527,0.09365124170439193,34992,34982
item_drug_PREDNISONE|item_drug_SIMVASTATIN,PREDNISONE + SIMVASTATIN,2,19,0.016125125449164734,0.1077071755335273,21630,21107
item_drug_OMEPRAZOLE|item_drug_PREDNISONE|item_drug_SIMVASTATIN,OMEPRAZOLE + PREDNISONE + SIMVASTATIN,3,19,0.01590298752749588,0.10699697140212076,21567,20061
item_drug_AMOXICILLIN|item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,AMOXICILLIN + METRONIDAZOLE + OMEPRAZOLE,3,19,0.014514244549595984,0.10310086440086823,25206,18831
item_drug_AMOXICILLIN|item_drug_NAPROXEN|item_drug_OMEPRAZOLE,AMOXICILLIN + NAPROXEN + OMEPRAZOLE,3,19,0.010858086478873862,0.04057210099389174,33849,28191
item_drug_NAPROXEN|item_drug_OMEPRAZOLE,NAPROXEN + OMEPRAZOLE,2,19,0.008315982653156728,0.0413624088365706,33849,28191
item_drug_GABAPENTIN|item_drug_LORAZEPAM,GABAPENTIN + LORAZEPAM,2,18,0.09869307978135204,0.5691536918129587,13466,13444
item_drug_CEPHALEXIN|item_drug_GABAPENTIN|item_drug_LORAZEPAM,CEPHALEXIN + GABAPENTIN + LORAZEPAM,3,18,0.08736291850124674,0.41630564599982584,13463,13444
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN|item_drug_LORAZEPAM,ALPRAZOLAM + GABAPENTIN + LORAZEPAM,3,18,0.08499488710122244,0.4589017629989658,13454,13444
item_drug_GABAPENTIN|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,GABAPENTIN + LORAZEPAM + OMEPRAZOLE,3,18,0.07593665778359421,0.4146279822550751,13451,13433
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_LORAZEPAM,ALPRAZOLAM + CEPHALEXIN + LORAZEPAM,3,18,0.05364050701531017,0.16243828142804284,13546,13546
item_drug_CEPHALEXIN|item_drug_LORAZEPAM,CEPHALEXIN + LORAZEPAM,2,18,0.051661509652483624,0.19992117126219155,13604,13546
item_drug_ALPRAZOLAM|item_drug_LORAZEPAM,ALPRAZOLAM + LORAZEPAM,2,18,0.048109462552447156,0.18835264495528425,13548,13546
item_drug_FUROSEMIDE|item_drug_LISINOPRIL,FUROSEMIDE + LISINOPRIL,2,18,0.04617594741766776,0.13034447773952595,12270,12181
item_drug_AZITHROMYCIN|item_drug_FUROSEMIDE|item_drug_PREDNISONE,AZITHROMYCIN + FUROSEMIDE + PREDNISONE,3,18,0.045327529008845416,0.1644185979448565,12354,10868
item_drug_CEPHALEXIN|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,CEPHALEXIN + LORAZEPAM + OMEPRAZOLE,3,18,0.044582277697681943,0.14256731836525297,13579,13535
item_drug_CEPHALEXIN|item_drug_LISINOPRIL,CEPHALEXIN + LISINOPRIL,2,18,0.04289046930784973,0.18639245524169182,16102,16006
item_drug_ALPRAZOLAM|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + LORAZEPAM + OMEPRAZOLE,3,18,0.04221424629765764,0.16076061768329206,13539,13535
item_drug_FUROSEMIDE|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,FUROSEMIDE + OMEPRAZOLE + PREDNISONE,3,18,0.03879793950703941,0.14196089341311383,11669,10210
item_drug_CEPHALEXIN|item_drug_FLUCONAZOLE,CEPHALEXIN + FLUCONAZOLE,2,18,0.037107556885233456,0.16765273646762807,24643,24643
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_METRONIDAZOLE,AZITHROMYCIN + CEPHALEXIN + METRONIDAZOLE,3,18,0.03686181949121134,0.1533007063161279,21717,20118
item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,LORAZEPAM + OMEPRAZOLE,2,18,0.03452211857600483,0.12194197383944824,13592,13535
item_drug_CEPHALEXIN|item_drug_LISINOPRIL|item_drug_OMEPRAZOLE,CEPHALEXIN + LISINOPRIL + OMEPRAZOLE,3,18,0.03275832638798399,0.13354817435158647,16073,14991
item_drug_ALPRAZOLAM|item_drug_METRONIDAZOLE|item_drug_PREDNISONE,ALPRAZOLAM + METRONIDAZOLE + PREDNISONE,3,18,0.02350999625670197,0.15231516881557047,18112,16476
item_drug_AZITHROMYCIN|item_drug_METRONIDAZOLE|item_drug_OMEPRAZOLE,AZITHROMYCIN + METRONIDAZOLE + OMEPRAZOLE,3,18,0.021828941536529922,0.12445222939564447,20424,14080
item_drug_AZITHROMYCIN|item_drug_HYDROCHLOROTHIAZIDE,AZITHROMYCIN + HYDROCHLOROTHIAZIDE,2,18,0.0218148716588716,0.05825444731192625,19038,18622
item_drug_AZITHROMYCIN|item_drug_PREDNISONE|item_drug_SIMVASTATIN,AZITHROMYCIN + PREDNISONE + SIMVASTATIN,3,18,0.021765689389597238,0.12945467593386342,21232,19696
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_METRONIDAZOLE,ALPRAZOLAM + AMOXICILLIN + METRONIDAZOLE,3,18,0.021535379763977687,0.1473746451447589,23379,21788
item_drug_LISINOPRIL|item_drug_SIMVASTATIN,LISINOPRIL + SIMVASTATIN,2,18,0.02077198506409033,0.06992767034219585,21769,21664
item_drug_AMOXICILLIN|item_drug_BENZONATATE|item_drug_PREDNISONE,AMOXICILLIN + BENZONATATE + PREDNISONE,3,18,0.020080368166840484,0.12564898036871722,25969,25945
item_drug_AZITHROMYCIN|item_drug_HYDROCHLOROTHIAZIDE|item_drug_OMEPRAZOLE,AZITHROMYCIN + HYDROCHLOROTHIAZIDE + OMEPRAZOLE,3,18,0.019543968482766804,0.04812283573174277,18966,18611
item_drug_AMOXICILLIN|item_drug_LISINOPRIL|item_drug_SIMVASTATIN,AMOXICILLIN + LISINOPRIL + SIMVASTATIN,3,18,0.01899973429895557,0.0476772635219748,21712,21338
item_drug_LISINOPRIL|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,LISINOPRIL + OMEPRAZOLE + SIMVASTATIN,3,18,0.01701380024601966,0.05437911525963763,21741,20585
item_drug_BENZONATATE|item_drug_CEPHALEXIN|item_drug_PREDNISONE,BENZONATATE + CEPHALEXIN + PREDNISONE,3,18,0.016830855471227216,0.10821917477413573,25848,25824
