combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_LATANOPROST|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,LATANOPROST + LORAZEPAM + OMEPRAZOLE,3,5,0.03361894375614724,0.049127842814503636,1180,1178
item_drug_CLONAZEPAM|item_drug_FLUCONAZOLE|item_drug_LORAZEPAM,CLONAZEPAM + FLUCONAZOLE + LORAZEPAM,3,5,0.033495664782728314,0.1059668417352686,5396,5396
item_drug_CARVEDILOL|item_drug_GABAPENTIN|item_drug_LORAZEPAM,CARVEDILOL + GABAPENTIN + LORAZEPAM,3,5,0.032507165624175945,0.05544619062648204,1182,1129
item_drug_LATANOPROST|item_drug_LORAZEPAM|item_drug_METRONIDAZOLE,LATANOPROST + LORAZEPAM + METRONIDAZOLE,3,5,0.03201693748951587,0.048413405117468604,1142,1142
item_drug_ARIPIPRAZOLE|item_drug_AZITHROMYCIN|item_drug_IBUPROFEN,ARIPIPRAZOLE + AZITHROMYCIN + IBUPROFEN,3,5,0.031660986894904056,0.07871024722985727,7134,7134
item_drug_AZITHROMYCIN|item_drug_BENZONATATE|item_drug_FLUCONAZOLE,AZITHROMYCIN + BENZONATATE + FLUCONAZOLE,3,5,0.031302458463869,0.09269498808457337,8359,8359
item_drug_IBUPROFEN|item_drug_PREDNISONE|item_drug_TOPIRAMATE,IBUPROFEN + PREDNISONE + TOPIRAMATE,3,5,0.030972681371558092,0.08623598144892737,8632,8620
item_drug_BENZONATATE|item_drug_FLUCONAZOLE,BENZONATATE + FLUCONAZOLE,2,5,0.03051221234794126,0.09391546061388785,8359,8359
item_drug_CARVEDILOL|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,CARVEDILOL + LORAZEPAM + OMEPRAZOLE,3,5,0.030447651916106776,0.045791364199323836,1173,1118
item_drug_ARIPIPRAZOLE|item_drug_CEPHALEXIN|item_drug_IBUPROFEN,ARIPIPRAZOLE + CEPHALEXIN + IBUPROFEN,3,5,0.030284605204974602,0.07886669404745793,7134,7134
item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM|item_drug_SIMVASTATIN,LEVOFLOXACIN + LORAZEPAM + SIMVASTATIN,3,5,0.030238204700637712,0.0683739659541705,428,385
item_drug_LATANOPROST|item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM,LATANOPROST + LEVOFLOXACIN + LORAZEPAM,3,5,0.030152678109188136,0.044888906565409205,1147,1146
item_drug_IBUPROFEN|item_drug_TOPIRAMATE,IBUPROFEN + TOPIRAMATE,2,5,0.029928130505060747,0.07882245271571775,8768,8768
item_drug_CARVEDILOL|item_drug_LORAZEPAM|item_drug_METRONIDAZOLE,CARVEDILOL + LORAZEPAM + METRONIDAZOLE,3,5,0.0288456456494754,0.045076926502288804,1135,1129
item_drug_ARIPIPRAZOLE|item_drug_IBUPROFEN|item_drug_PREDNISONE,ARIPIPRAZOLE + IBUPROFEN + PREDNISONE,3,5,0.02855447880320459,0.082313245859658,7134,7134
item_drug_BENZONATATE|item_drug_DIAZEPAM|item_drug_FLUCONAZOLE,BENZONATATE + DIAZEPAM + FLUCONAZOLE,3,5,0.0283631506208503,0.08837613989852257,8359,8359
item_drug_AZITHROMYCIN|item_drug_CLONAZEPAM|item_drug_KETOCONAZOLE,AZITHROMYCIN + CLONAZEPAM + KETOCONAZOLE,3,5,0.02814366823363181,0.04994538316933447,8503,8503
item_drug_PREDNISONE|item_drug_TOPIRAMATE,PREDNISONE + TOPIRAMATE,2,5,0.027839298587626522,0.08477032081384965,8632,8620
item_drug_ATENOLOL|item_drug_LISINOPRIL|item_drug_LORAZEPAM,ATENOLOL + LISINOPRIL + LORAZEPAM,3,5,0.027319731568266614,0.057796318251793065,405,385
item_drug_CARVEDILOL|item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM,CARVEDILOL + LEVOFLOXACIN + LORAZEPAM,3,5,0.026981386269147666,0.041552427950229405,1140,1086
item_drug_ARIPIPRAZOLE|item_drug_IBUPROFEN,ARIPIPRAZOLE + IBUPROFEN,2,5,0.02647417606012779,0.0729383493318137,7134,7134
item_drug_IBUPROFEN|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,IBUPROFEN + LORAZEPAM + OMEPRAZOLE,3,5,0.025838344783728102,0.09962669994281091,5519,5519
item_drug_AMOXICILLIN|item_drug_IBUPROFEN|item_drug_LORAZEPAM,AMOXICILLIN + IBUPROFEN + LORAZEPAM,3,5,0.025588539057997454,0.09407252319220204,5519,5519
item_drug_ATENOLOL|item_drug_LORAZEPAM|item_drug_SIMVASTATIN,ATENOLOL + LORAZEPAM + SIMVASTATIN,3,5,0.024880048664089143,0.0516743473101981,443,385
item_drug_ATENOLOL|item_drug_FUROSEMIDE|item_drug_LORAZEPAM,ATENOLOL + FUROSEMIDE + LORAZEPAM,3,5,0.023857453927264828,0.04452810016605983,431,385
item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM|item_drug_METRONIDAZOLE,LEVOFLOXACIN + LORAZEPAM + METRONIDAZOLE,3,5,0.023812600035966233,0.037478255364737534,1100,1099
item_drug_ATENOLOL|item_drug_LEVOFLOXACIN|item_drug_LISINOPRIL,ATENOLOL + LEVOFLOXACIN + LISINOPRIL,3,5,0.0230117212222241,0.047932517842848694,669,568
item_drug_AZITHROMYCIN|item_drug_FLUCONAZOLE|item_drug_LEVOFLOXACIN,AZITHROMYCIN + FLUCONAZOLE + LEVOFLOXACIN,3,5,0.02269666126140546,0.0427002455861314,2879,2879
item_drug_CLONAZEPAM|item_drug_DIAZEPAM|item_drug_KETOCONAZOLE,CLONAZEPAM + DIAZEPAM + KETOCONAZOLE,3,5,0.02227411127654085,0.043295907141000435,8350,8350
item_drug_CLONAZEPAM|item_drug_KETOCONAZOLE|item_drug_PREDNISONE,CLONAZEPAM + KETOCONAZOLE + PREDNISONE,3,5,0.021955780794867794,0.04495822800701063,8068,8048
item_drug_ALPRAZOLAM|item_drug_FLUCONAZOLE|item_drug_LAMOTRIGINE,ALPRAZOLAM + FLUCONAZOLE + LAMOTRIGINE,3,5,0.021657405680616228,0.03916209058447904,6775,6775
