feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_AMOXICILLIN,True,True,5.0,1.0,-4.0
item_drug_ARIPIPRAZOLE,False,True,,10.0,
item_drug_ATOMOXETINE,False,True,,21.0,
item_drug_AZITHROMYCIN,True,True,12.0,2.0,-10.0
item_drug_BENZONATATE,True,True,32.0,25.0,-7.0
item_drug_BUDESONIDE,False,True,,16.0,
item_drug_CEFDINIR,True,True,11.0,3.0,-8.0
item_drug_CEPHALEXIN,True,True,15.0,4.0,-11.0
item_drug_CIPRODEX,True,True,31.0,14.0,-17.0
item_drug_CLOTRIMAZOLE,True,False,37.0,,
item_drug_EPINEPHRINE,True,True,36.0,19.0,-17.0
item_drug_ERYTHROMYCIN,True,True,21.0,8.0,-13.0
item_drug_FLUORIDE,True,True,34.0,24.0,-10.0
item_drug_HYDROCORTISONE,True,True,22.0,12.0,-10.0
item_drug_IBUPROFEN,True,True,29.0,11.0,-18.0
item_drug_KETOCONAZOLE,True,True,26.0,20.0,-6.0
item_drug_LORATADINE,True,True,40.0,18.0,-22.0
item_drug_MALATHION,True,False,39.0,,
item_drug_MUPIROCIN,True,True,20.0,6.0,-14.0
item_drug_NYSTATIN,True,True,35.0,5.0,-30.0
item_drug_OFLOXACIN,True,True,25.0,7.0,-18.0
item_drug_PERMETHRIN,True,True,27.0,13.0,-14.0
item_drug_PREDNISOLONE,True,True,19.0,15.0,-4.0
item_drug_PREDNISONE,True,True,30.0,9.0,-21.0
item_drug_SYMBICORT,False,True,,23.0,
item_drug_TAMIFLU,True,True,23.0,17.0,-6.0
item_drug_TRETINOIN,True,False,38.0,,
item_drug_VIGAMOX,True,False,33.0,,
item_drug_VYVANSE,True,True,28.0,22.0,-6.0
