feature,scaled_importance_mean,scaled_importance_std,scaled_importance_count,importance_mean,importance_std,recall_mean,logloss_mean
item_ONDANSETRON ODT,0.00022692171647513233,1.0738444179982588e-05,25,0.0052833605118471575,0.00022166526750755245,0.04294255085946481,0.5265155553448565
item_HYDROCODONE BITARTRATE/AC,0.00022558592478771973,1.0358201063336073e-05,25,0.005252421561026902,0.0002158536623163855,0.04294255085946481,0.5265155553448565
item_PREDNISONE,0.00018175909379185496,8.341975092337376e-06,25,0.004232220350914714,0.00017918438063923442,0.04294255085946481,0.5265155553448565
item_OXYCODONE/ACETAMINOPHEN,0.00015842078977941373,8.392974783060531e-06,25,0.0036881510590709393,0.00016991666341964676,0.04294255085946481,0.5265155553448565
item_FUROSEMIDE,0.0001418505038692599,6.4546201631871e-06,25,0.0033034102351609763,0.00014927796271297814,0.04294255085946481,0.5265155553448565
item_CEPHALEXIN,0.00012998196584134214,4.721500776911244e-06,25,0.0030268131633116786,0.0001034172290611426,0.04294255085946481,0.5265155553448565
item_GABAPENTIN,0.00012818272215800038,6.206743631392316e-06,25,0.0029843968597677785,0.00012848219389528085,0.04294255085946481,0.5265155553448565
item_OXYCODONE HYDROCHLORIDE,0.00012237380623700354,6.976688210909005e-06,25,0.0028493062795733404,0.0001521347615335721,0.04294255085946481,0.5265155553448565
item_ONDANSETRON HYDROCHLORIDE,9.534119439996392e-05,5.200814272683571e-06,25,0.0022201905169264204,0.00011865818627783966,0.04294255085946481,0.5265155553448565
item_ELIQUIS,7.918705894918946e-05,4.316154562749096e-06,25,0.0018438616658201217,9.523368872048425e-05,0.04294255085946481,0.5265155553448565
item_TRAMADOL HCL,7.751475907750946e-05,5.902704542401968e-06,25,0.0018047246059115494,0.00013080638572728116,0.04294255085946481,0.5265155553448565
item_PANTOPRAZOLE SODIUM,7.499032718752698e-05,4.658032140255649e-06,25,0.0017459120841910158,0.00010007437744459896,0.04294255085946481,0.5265155553448565
item_CIPROFLOXACIN HYDROCHLORI,7.013171351650654e-05,5.269788321985508e-06,25,0.0016332059062029371,0.00012235882421592303,0.04294255085946481,0.5265155553448565
item_SULFAMETHOXAZOLE/TRIMETHO,5.8507064853153285e-05,5.102073780244193e-06,25,0.001362311866762905,0.00011617026177827463,0.04294255085946481,0.5265155553448565
item_CARVEDILOL,5.821572873487739e-05,3.333893621771701e-06,25,0.0013555395157769053,7.381253567555166e-05,0.04294255085946481,0.5265155553448565
item_DOXYCYCLINE HYCLATE,5.34541468082287e-05,4.104358016409684e-06,25,0.0012444729596064901,9.024550903551997e-05,0.04294255085946481,0.5265155553448565
item_CLOPIDOGREL,5.101758464126806e-05,3.3368640389428455e-06,25,0.0011881555145650089,7.862185253711193e-05,0.04294255085946481,0.5265155553448565
item_CYCLOBENZAPRINE HYDROCHLO,4.7213916478297485e-05,3.4418441191458217e-06,25,0.001099402072695841,7.863296142190765e-05,0.04294255085946481,0.5265155553448565
item_WARFARIN SODIUM,4.460370965143752e-05,2.7599894757435987e-06,25,0.0010385934896320656,6.156600781231336e-05,0.04294255085946481,0.5265155553448565
item_OMEPRAZOLE,4.428867416859235e-05,4.684833940069243e-06,25,0.0010313934112153689,0.00010937612702273875,0.04294255085946481,0.5265155553448565
item_METOPROLOL TARTRATE,3.581063098665566e-05,3.957617018971361e-06,25,0.0008338546261394924,9.074099082450682e-05,0.04294255085946481,0.5265155553448565
item_NITROFURANTOIN MONOHYDRAT,3.5760121332388055e-05,2.4416643114234895e-06,25,0.0008327140196576404,5.584443584230085e-05,0.04294255085946481,0.5265155553448565
item_LEVOFLOXACIN,3.5330600221999736e-05,2.696832932191435e-06,25,0.0008228762887516597,6.418905843788966e-05,0.04294255085946481,0.5265155553448565
item_TAMSULOSIN HYDROCHLORIDE,3.2753294039241614e-05,7.144749124576708e-06,25,0.000762067705687883,0.00016310354233803337,0.04294255085946481,0.5265155553448565
item_QUETIAPINE FUMARATE,3.2626116965367346e-05,3.2869532529874073e-06,25,0.0007594300531985996,7.22638834401803e-05,0.04294255085946481,0.5265155553448565
item_AZITHROMYCIN,3.195212981438901e-05,3.3540030516461436e-06,25,0.0007441031535987017,7.783417009921893e-05,0.04294255085946481,0.5265155553448565
item_XARELTO,3.1471548291731154e-05,2.2309229925938985e-06,25,0.0007328396645904056,5.0646511296286555e-05,0.04294255085946481,0.5265155553448565
item_AMOXICILLIN/CLAVULANATE P,3.0928012651993744e-05,2.7940298253770524e-06,25,0.0007202217053849097,6.467748821888111e-05,0.04294255085946481,0.5265155553448565
item_ISOSORBIDE MONONITRATE ER,2.951615880705546e-05,3.098830157087809e-06,25,0.0006876431327469912,7.462330545049268e-05,0.04294255085946481,0.5265155553448565
item_BENZONATATE,2.7180751255959264e-05,2.890635221708016e-06,25,0.0006329653095231732,6.680602931414574e-05,0.04294255085946481,0.5265155553448565
item_LORAZEPAM,2.6140754730327436e-05,2.1852637041170995e-06,25,0.000608798709688916,5.141931003727258e-05,0.04294255085946481,0.5265155553448565
item_METRONIDAZOLE,2.604130536795826e-05,3.2712820101767407e-06,25,0.0006063036330098632,7.460081435009725e-05,0.04294255085946481,0.5265155553448565
