feature,importance_normalized,importance_scaled,n_models
item_H0020,1.0,0.832821238938053,3
item_80307,0.760469466308549,0.6333351231056458,3
item_SUBOXONE,0.6718595090431854,0.5595388687136577,3
item_G0483,0.3204700908481305,0.26689429810273047,3
item_S0109,0.2275899167268996,0.18954171641830483,3
item_80305,0.18875738457059413,0.15720115887678873,3
item_BUPRENORPHINE HCL/NALOXON,0.1514565140767948,0.12613620169867493,3
item_82075,0.12162422884336634,0.10129124095021763,3
item_99396,0.11566481307574164,0.09632811292727747,3
item_G0480,0.10257684626155965,0.0854281761899103,3
item_80348,0.09613770336333317,0.08006552122371016,3
item_G0482,0.0910228514510681,0.0758057639171529,3
item_G0481,0.08141076643857542,0.06780061536827085,3
item_90853,0.07728963487542102,0.06436844947401789,3
item_H0004,0.0738038226794958,0.061465391042302066,3
item_G0444,0.06327706955654891,0.05269848746445442,3
item_GABAPENTIN,0.05993933692964971,0.049918752842876266,3
item_F1123,0.05408415982754879,0.04504243699450286,3
item_G8929,0.05111436648647505,0.042569130024799846,3
item_99214,0.049911945698763505,0.04156772845465305,3
item_90791,0.04368809013015185,0.036384369349030395,3
item_F1110,0.042099534797104654,0.03506138672844037,3
item_90792,0.03958522748801739,0.032967418200215315,3
item_NARCAN,0.035991050384027175,0.0299741111715074,3
item_G0439,0.03551800503769241,0.029580148960099,3
item_F1320,0.03522109450545225,0.029332875562784997,4
item_OXYCODONE HYDROCHLORIDE,0.03329874458246716,0.027731901718252086,3
item_99283,0.03121254049146337,0.025994466642504672,3
item_77067,0.03073453774547375,0.025596375803373806,3
item_Z79899,0.029611950058524242,0.02466146093511191,3
item_99204,0.029439136151163725,0.0245175378426782,3
item_I10,0.02941090709289208,0.024494028083394355,3
item_99213,0.02888168769860379,0.024053282931773133,3
item_G0463,0.02869807307518756,0.023900364773612483,3
item_CLONIDINE HYDROCHLORIDE,0.027949673650305422,0.023277081837361616,3
item_96127,0.027089242616196007,0.022560496597513864,3
item_90471,0.026590145672253717,0.02214483806230965,3
item_99284,0.025513934442864792,0.02124854649289092,3
item_F1190,0.02541908092843687,0.021169550471487428,4
item_86592,0.02452332015392652,0.020423541873467607,3
item_G894,0.023655081553026886,0.019700454326172536,3
item_G9012,0.023268603653429764,0.019378587323007884,3
item_ZUBSOLV,0.022301599204814074,0.018573245480053156,3
item_F1124,0.021779880339965564,0.018138746928652666,4
item_J0572,0.021127061040849757,0.017595065151160365,4
item_J449,0.020928309353638066,0.0174295405247757,3
item_B182,0.02008256601619354,0.016725187510661543,3
item_99215,0.019262137512624455,0.016041917227859047,3
item_87522,0.019177094799630857,0.015971091850261063,3
item_80362,0.01912191068603389,0.015925133348405538,3
item_99429,0.01909818877872453,0.015905377240170188,3
item_F1121,0.018854592525594217,0.01570250510683753,3
item_99232,0.01875878392050065,0.015622713665642579,3
item_J0574,0.018378968672047826,0.015306395459858534,3
item_A9270,0.01675455520764948,0.013953549425890647,3
item_M545,0.016651342332945202,0.013867591551705074,3
item_QUETIAPINE FUMARATE,0.0165911823057068,0.01381748900328584,3
item_93010,0.015737497155463586,0.013106521878797269,3
item_90837,0.01544491964132833,0.01286285711098973,3
item_L02413,0.015362598787564326,0.012794298555567553,4
item_J441,0.014868083458332645,0.012382455686402966,3
item_ACAMPROSATE CALCIUM DR,0.014788976367051569,0.012316573620633474,4
item_G0008,0.014748752729870486,0.01228307452128173,3
item_99222,0.014423231226788244,0.0120119732997838,3
item_36415,0.014311073533867418,0.011918565991009045,3
item_80337,0.014166870544016797,0.011798470678343078,3
item_96372,0.01362462421027346,0.011346876414865335,3
item_87521,0.01330758055254285,0.011082835723036677,3
item_B1920,0.01315487792003304,0.010955661727440755,3
item_METHADONE HCL,0.013153259508316422,0.010954313879789809,3
item_T401X1A,0.013130275692312263,0.0109351724696697,3
item_99243,0.012648003082928206,0.010533525597616583,3
item_BUPRENORPHINE HCL,0.012641687478016663,0.010528265827709509,3
item_I071,0.012531910077341156,0.010436840876871535,4
item_99244,0.012458581160431786,0.010375770997441086,3
item_DOXEPIN HYDROCHLORIDE,0.01209274474363591,0.010071094659556488,3
item_99282,0.012059828779989777,0.010043681545931875,3
item_M5430,0.011916249830626125,0.009924105947437414,4
item_92014,0.011796925274145628,0.009824729922473593,3
item_F1020,0.01161649801203213,0.009674466266502028,3
item_F1910,0.011588570589414897,0.009651207715797598,3
item_90832,0.011368423469878021,0.009467864518956254,3
item_F1410,0.011342163084170484,0.009445994311996312,4
item_G8921,0.011319630883230552,0.009427229016493515,4
item_E291,0.011238006579777611,0.009359250562964383,3
item_TRAZODONE HYDROCHLORIDE,0.0110204693099692,0.009178080904407339,3
item_F17210,0.010952437817636202,0.009121422832675767,3
item_I5032,0.01092251431654704,0.009096501905425327,4
