title,pubdate,pmc_id,authors,Selected,Category
FHIR-up! Advancing knowledge from clinical data through application of standardized nursing terminologies within HL7® FHIR®.,2023,PMC10586043,"Monsen, Heermann, Dunn-Lopez",,FHIR
Fast Healthcare Interoperability Resources (FHIR) in a FAIR Metadata Registry for COVID-19 Research.,2021,HSH7b00e10a,"Klopfenstein, Vorisek, Shutsko, Lehne, Sass, Löbe, Schmidt, Thun",,FHIR
Fast Healthcare Interoperability Resources (FHIR®) Representation of Medication Data Derived from German Procedure Classification Codes (OPS) Using Identification of Medicinal Products (IDMP) Compliant Terminology.,2021,HSH256cacf7,"Sass, Zabka, Essenwanger, Schepers, Boeker, Thun",,FHIR
Fit for Purpose: Analyzing the German Archiving and Exchange Interface for Medical Practice Management Systems.,2021,HSHe951801f,"Barkow, Meincke, Ulrich, Ingenerf",,FHIR
From OpenEHR to FHIR and OMOP Data Model for Microbiology Findings.,2021,HSH771f1c32,"Rinaldi, Thun",,FHIR
HL7 FHIR-based tools and initiatives to support clinical research: a scoping review.,2022,PMC9382376,"Duda, Kennedy, Conway, Cheng, Nguyen, Zayas-Cabán, Harris",,FHIR
Health Care in the Age of Interoperability Part 5: The Personal Health Record.,2019,HSH63f0f3c0,Braunstein,,FHIR
Health Care in the Age of Interoperability Part 6: The Future of FHIR.,2019,HSH63f0f3c0,Braunstein,,FHIR
Health Care in the Age of Interoperability: Part 4.,2019,HSH63f0f3c0,Braunstein,,FHIR
Healthcare in the Age of Interoperability: Part 3.,2019,HSH63f0f3c0,Braunstein,,FHIR
"Human-centered development of an electronic health record-embedded, interactive information visualization in the emergency department using fast healthcare interoperability resources.",2021,PMC8279791,"Thayer, Ferro, Miller, Karavite, Grundmeier, Utidjian, Zorc",,FHIR
Implementation of Interoperable Healthcare Standards for Community Healthcare.,2023,HSH4d190959,"Bae, Park, Lee, You, Park, Lee, Yoon",,FHIR
Implementation of a Clinical Trial Recruitment Support System Based on Fast Healthcare Interoperability Resources (FHIR) in a Cardiology Department.,2022,HSHece80eb5,"Scherer, Endres, Orban, Kääb, Massberg, Winter, Löbe",,FHIR
Improving Cancer Data Interoperability: The Promise of the Minimal Common Oncology Data Elements (mCODE) Initiative.,2020,PMC7713551,"Osterman, Terry, Miller",,FHIR
Integrated displays to improve chronic disease management in ambulatory care: A SMART on FHIR application informed by mixed-methods user testing.,2020,PMC7481023,"Curran, Kukhareva, Taft, Weir, Reese, Nanjo, Rodriguez-Loya, Martin, Warner, Shields, Flynn, Boltax, Kawamoto",,FHIR
Integration of NLP2FHIR Representation with Deep Learning Models for EHR Phenotyping: A Pilot Study on Obesity Datasets.,2021,PMC8378603,"Liu, Luo, Stone, Zong, Wen, Yu, Rasmussen, Wang, Pathak, Liu, Jiang",,FHIR
Interoperability Improvement of Mobile Patient Survey (MoPat) Implementing Fast Health Interoperability Resources (FHIR).,2019,HSHf7aa569d,"Storck, Hollenberg, Dugas, Soto-Rey",,FHIR
Interoperable genetic lab test reports: mapping key data elements to HL7 FHIR specifications and professional reporting guidelines.,2021,PMC8633597,"Khalifa, Mason, Garvin, Williams, Del Fiol, Jackson, Bleyl, Alterovitz, Huff",,FHIR
Mapping Injection Order Messages to Health Level 7 Fast Healthcare Interoperability Resources to Collate Infusion Pump Data.,2024,PMC10764120,"Doi, Yokota, Nagae, Takahashi, Aoki, Ohe",,FHIR
Mapping of OpenEHR Archetypes to FHIR Resources in Use Case Oncology.,2021,HSH0fa9d196,"Rajput, Brakollari",,FHIR
Mapping the SPHN Dataset to FHIR.,2023,HSH721f61b9,"Klopfenstein, Thun, Crameri, Stellmach",,FHIR
Microservice chatbot architecture for chronic patient support.,2020,HSH58a7b92d,"Roca, Sancho, García, Alesanco",,FHIR
Modeling Medical Guidelines by Prova and SHACL Accessing FHIR/RDF. Use Case: The Medical ABCDE Approach.,2022,HSH541672ca,"Kober, Robaldo, Paschke",,FHIR
OpenMRS Analytics Engine: A FHIR Based Approach.,2022,HSHbee51dfe,"Kimaina, Dick, Sadjad",,FHIR
"ResultsMyWay: combining Fast Healthcare Interoperability Resources (FHIR), Clinical Quality Language (CQL), and informational resources to create a newborn screening application.",2021,PMC8378617,"Watkins, Au, Vuong, Wallis, Hart, Rohrwasser, Eilbeck",,FHIR
Semantics Management for a Regional Health Information System in Italy by CTS2 and FHIR.,2021,HSH42151503,"Gazzarata, Maggi, Magnoni, Monteverde, Ruggiero, Giacomini",,FHIR
Semi-Automated Approach to Populate any FHIR Server via POST Method.,2021,HSH82c4e2b4,Rajput,,FHIR
Shape Expressions (ShEx) schemas for the FHIR R5 specification.,2023,PMC10841909,"Sharma, Prud'hommeaux, Booth, Nanjo, Jiang",,FHIR
Structurally Mapping Healthcare Data to HL7 FHIR through Ontology Alignment.,2019,HSHefc31ded,"Kiourtis, Mavrogiorgou, Menychtas, Maglogiannis, Kyriazis",,FHIR
The SMART Text2FHIR Pipeline.,2023,PMC10785871,"Miller, McMurry, Jones, Gottlieb, Mandl",,FHIR
The Use of FHIR in Digital Health - A Review of the Scientific Literature.,2019,HSH21366ab9,"Lehne, Luijten, Vom Felde Genannt Imbusch, Thun",,FHIR
Towards the Representation of Genomic Data in HL7 FHIR and OMOP CDM.,2021,HSH9eceecdb,"Peng, Nassirian, Ahmadi, Sedlmayr, Bathelt",,FHIR
Use of Semantic Interoperability to Improve the Urgent Continuity of Care in Danish ERs.,2021,HSHe139f734,"Andersen, Brandsborg, Pape-Haugaard",,FHIR
Using FHIR to Construct a Corpus of Clinical Questions Annotated with Logical Forms and Answers.,2019,PMC7153115,"Soni, Gudala, Wang, Roberts",,FHIR
[Consent management and workflows for cross-sectoral patient records and teleconsultations].,2020,HSH79a7327a,"Bauer, Rohner-Rojas, Holderried",,FHIR
[Cross-enterprise interoperability : Challenges and principles for technical implementation].,2020,HSH79a7327a,"Bauer, Rohner-Rojas, Holderried",,FHIR
openEHR-to-FHIR: Converting openEHR Compositions to Fast Healthcare Interoperability Resources (FHIR) for the German Corona Consensus Dataset (GECCO).,2022,HSH1acfa97b,"Ladas, Franz, Haarbrandt, Sommer, Kohler, Ballout, Fiebeck, Marschollek, Gietzelt",,FHIR
