feature,mean_abs_shap,rank,is_drug
item_drug_FUROSEMIDE,0.5210865,1,True
item_drug_CEPHALEXIN,0.33018345,2,True
item_drug_PREDNISONE,0.1395371,3,True
item_drug_GABAPENTIN,0.11057934,4,True
item_drug_SIMVASTATIN,0.09654177,5,True
item_drug_LEVOFLOXACIN,0.07612807,6,True
item_drug_AZITHROMYCIN,0.07219678,7,True
item_drug_LORAZEPAM,0.06541047,8,True
item_drug_CARVEDILOL,0.054710846,9,True
item_drug_LISINOPRIL,0.052853815,10,True
item_drug_OMEPRAZOLE,0.030556688,11,True
item_drug_MIRTAZAPINE,0.028586768,12,True
item_drug_CLOPIDOGREL,0.019812971,13,True
item_drug_SANTYL,0.016163178,14,True
item_drug_NYSTATIN,0.009044574,15,True
item_drug_OXYBUTYNIN_CHLORIDE_ER,0.0,16,True
item_drug_LISINOPRIL_HYDROCHLOROTHI,0.0,17,True
item_drug_DILTIAZEM_HCL,0.0,18,True
item_drug_S42034K,0.0,19,True
item_drug_S61220A,0.0,20,True
item_drug_SILVER_SULFADIAZINE,0.0,21,True
item_drug_S0100XD,0.0,22,True
item_drug_S3992XA,0.0,23,True
item_drug_S90821A,0.0,24,True
item_drug_CILOSTAZOL,0.0,25,True
