feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_ANORO_ELLIPTA,True,False,30.0,,
item_drug_AZITHROMYCIN,False,True,,7.0,
item_drug_CARVEDILOL,False,True,,9.0,
item_drug_CEPHALEXIN,False,True,,2.0,
item_drug_CILOSTAZOL,True,True,11.0,25.0,14.0
item_drug_CLOPIDOGREL,False,True,,13.0,
item_drug_DICLOFENAC_SODIUM_DR,True,False,15.0,,
item_drug_DILTIAZEM_HCL,True,True,18.0,18.0,0.0
item_drug_FUROSEMIDE,False,True,,1.0,
item_drug_GABAPENTIN,False,True,,4.0,
item_drug_H4010X3,True,False,20.0,,
item_drug_H4051X3,True,False,25.0,,
item_drug_LEVOFLOXACIN,False,True,,6.0,
item_drug_LISINOPRIL,False,True,,10.0,
item_drug_LISINOPRIL_HYDROCHLOROTHI,True,True,19.0,17.0,-2.0
item_drug_LORAZEPAM,False,True,,8.0,
item_drug_MIRTAZAPINE,False,True,,12.0,
item_drug_NYSTATIN,False,True,,15.0,
item_drug_OMEPRAZOLE,False,True,,11.0,
item_drug_OXYBUTYNIN_CHLORIDE_ER,True,True,21.0,16.0,-5.0
item_drug_PRAVASTATIN_SODIUM,True,False,31.0,,
item_drug_PREDNISONE,False,True,,3.0,
item_drug_S0100XD,True,True,14.0,22.0,8.0
item_drug_S2232XA,True,False,27.0,,
item_drug_S31010D,True,False,33.0,,
item_drug_S32512A,True,False,23.0,,
item_drug_S32612A,True,False,34.0,,
item_drug_S3992XA,True,True,13.0,23.0,10.0
item_drug_S42034K,True,True,17.0,19.0,2.0
item_drug_S42295D,True,False,32.0,,
item_drug_S46012A,True,False,28.0,,
item_drug_S61220A,True,True,16.0,20.0,4.0
item_drug_S7222XD,True,False,26.0,,
item_drug_S8010XA,True,False,35.0,,
item_drug_S81809A,True,False,24.0,,
item_drug_S90821A,True,True,12.0,24.0,12.0
item_drug_SANTYL,False,True,,14.0,
item_drug_SILVER_SULFADIAZINE,True,True,22.0,21.0,-1.0
item_drug_SIMVASTATIN,False,True,,5.0,
item_drug_TOBRADEX,True,False,29.0,,
