drugs,features,features_resolved,n_all_three,case_rate_all_three,prevalence,lift_vs_prevalence
Furosemide + Hydrochlorothiazide + Lisinopril,"['item_drug_FUROSEMIDE', 'item_drug_HYDROCHLOROTHIAZIDE', 'item_drug_LISINOPRIL']",True,12.0,0.0,0.0233,
Digoxin + Furosemide + Amiodarone,"['item_drug_DIGOXIN', 'item_drug_FUROSEMIDE', None]",False,,,,
