feature,importance,scaled_importance,recall,logloss
item_BUPROPION HYDROCHLORIDE,0.00021075509599235986,3.1855826739715207e-06,0.015115092040702077,0.6864765721289856
item_CLORAZEPATE DIPOTASSIUM,0.00019758290249283737,2.9864837568483006e-06,0.015115092040702077,0.6864765721289856
item_GAVILYTE-G,0.00019758290249283737,2.9864837568483006e-06,0.015115092040702077,0.6864765721289856
item_CEFPODOXIME PROXETIL,0.00019758290249283737,2.9864837568483006e-06,0.015115092040702077,0.6864765721289856
item_RENVELA,0.00017123851549379066,2.5882859226018345e-06,0.015115092040702077,0.6864765721289856
item_EPLERENONE,0.00015806632199426816,2.3891870054786144e-06,0.015115092040702077,0.6864765721289856
item_METAXALONE,0.00015148022524450779,2.2896375469170175e-06,0.015115092040702077,0.6864765721289856
item_THEOPHYLLINE ER,0.00014489412849474914,2.1900880883554468e-06,0.015115092040702077,0.6864765721289856
item_ARNUITY ELLIPTA,0.00011854974149570242,1.7918902541089805e-06,0.015115092040702077,0.6864765721289856
item_BANOPHEN,0.00011196364474594031,1.6923407955473573e-06,0.015115092040702077,0.6864765721289856
item_LIDOCAINE HYDROCHLORIDE,0.00011196364474594031,1.6923407955473573e-06,0.015115092040702077,0.6864765721289856
item_RYTARY,0.00010537754799617993,1.5927913369857604e-06,0.015115092040702077,0.6864765721289856
item_SODIUM CHLORIDE 0.9%,9.879145124641955e-05,1.4932418784241634e-06,0.015115092040702077,0.6864765721289856
item_PREVALITE,9.879145124641955e-05,1.4932418784241634e-06,0.015115092040702077,0.6864765721289856
item_CYPROHEPTADINE HYDROCHLOR,9.220535449665744e-05,1.3936924198625404e-06,0.015115092040702077,0.6864765721289856
item_POTASSIUM CITRATE ER,9.220535449665744e-05,1.3936924198625404e-06,0.015115092040702077,0.6864765721289856
item_CONSTULOSE,9.220535449665744e-05,1.3936924198625404e-06,0.015115092040702077,0.6864765721289856
item_ZIOPTAN,8.561925774689359e-05,1.294142961300891e-06,0.015115092040702077,0.6864765721289856
item_NEOMYCIN/POLYMYXIN/HC,8.561925774689359e-05,1.294142961300891e-06,0.015115092040702077,0.6864765721289856
item_ARTIFICIAL TEARS,7.903316099713495e-05,1.1945935027393203e-06,0.015115092040702077,0.6864765721289856
item_PRILOSEC OTC,7.903316099713321e-05,1.194593502739294e-06,0.015115092040702077,0.6864765721289856
item_CEFADROXIL,7.903316099713321e-05,1.194593502739294e-06,0.015115092040702077,0.6864765721289856
item_MUCINEX DM,7.903316099713321e-05,1.194593502739294e-06,0.015115092040702077,0.6864765721289856
item_PROTONIX,7.903316099713321e-05,1.194593502739294e-06,0.015115092040702077,0.6864765721289856
item_ZENPEP,7.24470642473711e-05,1.0950440441776709e-06,0.015115092040702077,0.6864765721289856
item_GUAIFENESIN/CODEINE,7.24470642473711e-05,1.0950440441776709e-06,0.015115092040702077,0.6864765721289856
item_DILTIAZEM HCL CD,6.586096749761419e-05,9.954945856161265e-07,0.015115092040702077,0.6864765721289856
item_DOCQLACE,6.586096749761072e-05,9.95494585616074e-07,0.015115092040702077,0.6864765721289856
item_ENTACAPONE,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_LIDOCAINE HCL JELLY,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_GLUCAGEN HYPOKIT,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_AMPICILLIN,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_DESMOPRESSIN ACETATE,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_DEXTROSE 5%/NACL 0.45%,5.9274870747850344e-05,8.959451270544771e-07,0.015115092040702077,0.6864765721289856
item_LITHIUM CARBONATE,5.268877399808823e-05,7.96395668492854e-07,0.015115092040702077,0.6864765721289856
item_ROBAFEN DM,5.268877399808823e-05,7.96395668492854e-07,0.015115092040702077,0.6864765721289856
item_SPS,5.268877399808823e-05,7.96395668492854e-07,0.015115092040702077,0.6864765721289856
item_TRANSDERM-SCOP,5.268877399808823e-05,7.96395668492854e-07,0.015115092040702077,0.6864765721289856
item_VITAMIN D-1000,5.268877399808823e-05,7.96395668492854e-07,0.015115092040702077,0.6864765721289856
item_ASPIR-LOW,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_HALOBETASOL PROPIONATE,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_BETHANECHOL CHLORIDE,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_MYCOPHENOLATE MOFETIL,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_DALIRESP,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_MINOCYCLINE HYDROCHLORIDE,4.610267724832785e-05,6.968462099312571e-07,0.015115092040702077,0.6864765721289856
item_XOPENEX HFA,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_ALCLOMETASONE DIPROPIONAT,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_BISACODYL EC,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_PROCRIT,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_DICLOFENAC POTASSIUM,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_MOVANTIK,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_FAMCICLOVIR,3.951658049856574e-05,5.972967513696339e-07,0.015115092040702077,0.6864765721289856
item_BACITRACIN ZINC,3.293048374880536e-05,4.97747292808037e-07,0.015115092040702077,0.6864765721289856
item_PRESERVISION AREDS,3.293048374880536e-05,4.97747292808037e-07,0.015115092040702077,0.6864765721289856
item_REPAGLINIDE,3.293048374880536e-05,4.97747292808037e-07,0.015115092040702077,0.6864765721289856
item_SUPREP BOWEL PREP KIT,2.6344386999044983e-05,3.981978342464401e-07,0.015115092040702077,0.6864765721289856
item_NOVOLOG MIX 70/30,2.6344386999044983e-05,3.981978342464401e-07,0.015115092040702077,0.6864765721289856
item_TAB-A-VITE/IRON,2.6344386999044983e-05,3.981978342464401e-07,0.015115092040702077,0.6864765721289856
item_ETODOLAC,2.6344386999044983e-05,3.981978342464401e-07,0.015115092040702077,0.6864765721289856
item_SODIUM CHLORIDE 0.45%,2.6344386999044983e-05,3.981978342464401e-07,0.015115092040702077,0.6864765721289856
item_OXAZEPAM,1.975829024928287e-05,2.9864837568481695e-07,0.015115092040702077,0.6864765721289856
item_SEREVENT DISKUS,1.975829024928287e-05,2.9864837568481695e-07,0.015115092040702077,0.6864765721289856
item_LIPITOR,1.975829024928287e-05,2.9864837568481695e-07,0.015115092040702077,0.6864765721289856
item_SENEXON-S,1.975829024928287e-05,2.9864837568481695e-07,0.015115092040702077,0.6864765721289856
item_DYMISTA,1.3172193499522492e-05,1.9909891712322005e-07,0.015115092040702077,0.6864765721289856
item_ZAFIRLUKAST,1.3172193499522492e-05,1.9909891712322005e-07,0.015115092040702077,0.6864765721289856
item_THERA M PLUS,1.3172193499522492e-05,1.9909891712322005e-07,0.015115092040702077,0.6864765721289856
item_METHADONE HCL,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_GENERLAC,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_REFRESH TEARS,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_NORVASC,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_DILANTIN,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_HEPARIN SODIUM,6.586096749760378e-06,9.954945856159692e-08,0.015115092040702077,0.6864765721289856
item_TRANDOLAPRIL,0.0,0.0,0.015115092040702077,0.6864765721289856
item_FIBER-LAX,0.0,0.0,0.015115092040702077,0.6864765721289856
