feature,importance_normalized,importance_scaled,n_models,models
item_NITRO-BID,0.005640905351041997,0.0007551498030516668,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_RASAGILINE MESYLATE,0.0056337926915164625,0.0007541976290466751,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BUPRENORPHINE,0.005628019199818199,0.0007534247298669257,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_RULOX,0.0056237696894620905,0.0007528558465567513,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TRIAD HYDROPHILIC WOUND D,0.005608990210302859,0.0007508773129558927,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PILOCARPINE HYDROCHLORIDE,0.005587335068834434,0.000747978332243175,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TERBINAFINE HCL,0.005579622548564814,0.0007469458546885639,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CICLOPIROX,0.005551848050487171,0.0007432276737498753,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_K-TAB,0.005524210488267437,0.0007395278244582709,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_YUVAFEM,0.005431315805475561,0.0007270919835693835,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BROVANA,0.005428333900205359,0.0007266927949573824,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DIOVAN,0.00532255652552575,0.0007125323439861789,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_AGGRENOX,0.005290268983466394,0.0007082100004065902,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_GNP TUSSIN DM COUGH,0.00527232228090538,0.0007058074695961993,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ACCU-CHEK COMPACT PLUS,0.005250963881157589,0.0007029482137925075,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_BENICAR,0.005237913820444198,0.0007012011979919837,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
