title,authors,pubdate,pmc_id
Construction and validation of a machine learning-based model predicting early readmission in patients with decompensated cirrhosis: a prospective two-center cohort study.,"Yang, Li, Yang, Wu, Wang, Sun",2025,PMC12462353
Explainable Prediction of ICU Transfer in Acute Pancreatitis: A Neural Network Model With SHAP Interpretability for Clinical Decision Support.,"Chen, Shi",2026,HSH6e12adec
Decoding the association between health level and human settlements environment: a machine learning-driven provincial analysis in China.,"Zhu, Peng",2025,PMC12440893
Development and validation of an interpretable multi-task model to predict outcomes in patients with rhabdomyolysis: a multicenter retrospective cohort study.,"Liu, Shi, Wang, Li, Luo, Yang, Zhao, Zhang, Yang, Jin, Song, Guo, Fan, Lv",2025,PMC12396465
Personalized health monitoring using explainable AI: bridging trust in predictive healthcare.,"Vani, Sudhakar, Mahendar, Ledalla, Radha, Sunitha",2025,PMC12397250
Hospital acquired drug resistant pathogens infections in patients with viral respiratory tract infections: a retrospective study.,"Fan, Xu, Li, Zhou, Wang, Ma, Chen, Lu, Zhang, Wang, Zhang",2025,PMC12376413
"Machine learning-based nomogram for predicting depressive symptoms in women: A cross-sectional study in Guangdong Province, China.","Chen, Rao, Wei, Zhou, Tao, Wang, Bi",2025,PMC12362627
Development and validation of the machine learning model for acute exacerbation of chronic obstructive pulmonary disease prediction based on inflammatory biomarkers.,"Zhu, Wang, Gu, Wang, Deng",2025,PMC12354386
Systemic immune-inflammatory biomarkers combined with the CRP-albumin-lymphocyte index predict surgical site infection following posterior lumbar spinal fusion: a retrospective study using machine learning.,"Pang, Liang, Chen, Ou, Wu, Huang, Huang, Chen",2025,PMC12343696
XGBoost models based on non imaging features for the prediction of mild cognitive impairment in older adults.,"Fernández-Blázquez, Ruiz-Sánchez de León, Sanz-Blasco, Verche, Ávila-Villanueva, Gil-Moreno, Montenegro-Peña, Terrón, Fernández-García, Gómez-Ramírez",2025,PMC12350651
Enhancing end-stage renal disease outcome prediction: a multisourced data-driven approach.,"Li, Padman",2026,PMC12758457
An interpretable machine learning model for preoperative prediction of renal mass malignancy.,"Wang, He, Ou, Li, Wei, Zhou, Su, Mi, Lu, Wang",2026,PMC6804853
A Simplified Machine Learning Model for Predicting Reduced Kidney Function in Thai Patients with Type 2 Diabetes: A Retrospective Study.,"Pongsittisak, Suraamornkul",2025,PMC12250820
Development of an explainable machine learning model for predicting device-related pressure injuries in clinical settings.,"Qian, Pan, Chen, Hu, Fang, Huang, Xu, Gao",2025,PMC12239401
Enhancing diabetes risk prediction through focal active learning and machine learning models.,"Zhang, Xia, Cai, Wang, Dong",2025,PMC12237043
AI-driven analysis by identifying risk factors of VL relapse in HIV co-infected patients.,"Kumar, Mondal, Khatua, Guha, Mukherjee, Lahiri, Prasad, Sekh",2025,PMC12215746
Understanding Cancer Risk Among Bangladeshi Women: An Explainable Machine Learning Approach to Socio-Reproductive Factors Using Tertiary Hospital Data.,"Islam, Islam, Siddiqua, Al Ayub, Saha, Akter, Islam, Khatun, Craver, Ahsan",2025,PMC12192815
Machine learning-based prediction of diabetic peripheral neuropathy: model development and clinical validation.,"Sun, Sun, Wang, Liu",2025,PMC12176554
Improving Hepatitis B outcome prediction with ensemble machine learning: A study on predictive models and interpretability.,"Ahosan, Islam, Mohi Uddin, Hasan, Uddin",2025,PMC12174665
The risk factors for relapse behavior in individuals with substance use disorders: An interpretable machine learning study.,"Xu, Li, Liang, Zhang, Ying, Liu",2025,HSH6e12adec
Predicting Organ Rejections for Pediatric Heart Transplantations with a Combined Use of Transplant Registry Data and Electronic Health Records.,"Bhasuran, Wang, Gupta, Killian, He",2025,PMC12060946
Development of explainable artificial intelligence based machine learning model for predicting 30-day hospital readmission after renal transplantation.,"Alnazari, Alanazi, Alosaimi, Alanazi, Alhajeri, Alhussaini, Alanazi, Azzam",2025,PMC12013099
Explainable AI for enhanced accuracy in malaria diagnosis using ensemble machine learning models.,"Awe, Mwangi, Goudoungou, Esho, Oyejide",2025,PMC11987329
A multicenter study on developing a prognostic model for severe fever with thrombocytopenia syndrome using machine learning.,"Xu, Yang, Quan, Xie, Zheng",2025,PMC11962041
An interpretable deep-learning approach to detect biomarkers in anxious-depressed symptoms from prefrontal fNIRS signals during an autobiographical memory test.,"Zhang, Xu, Cheng, Zhao, Potenza, Shi",2025,HSH6e12adec
Interpretable machine learning models for prolonged Emergency Department wait time prediction.,"Wang, Sambamoorthi, Sandlin, Sambamoorthi",2025,PMC11917090
AI Machine Learning-Based Diabetes Prediction in Older Adults in South Korea: Cross-Sectional Analysis.,"Lee, Park, Won",2025,PMC11779598
Constructing a fall risk prediction model for hospitalized patients using machine learning.,"Kang, Yan, Tian, Pu, Wu",2025,PMC11748310
Optimizing hypertension prediction using ensemble learning approaches.,"Sifat, Kibria",2024,PMC11666061
Combining computed tomography features of left atrial epicardial and pericoronary adipose tissue with the triglyceride-glucose index to predict the recurrence of atrial fibrillation after radiofrequency catheter ablation: a machine learning study.,"Li, Wang, Wang, Chen, Li, Zhang, Sun, Xie, Hu",2024,PMC11651957
Predictive and Interpretable Machine Learning of Economic Burden: The Role of Chronic Conditions Among Elderly Patients with Incident Primary Merkel Cell Carcinoma (MCC).,"Mbous, Siddiqui, Bharmal, LeMasters, Kolodney, Kelley, Kamal, Sambamoorthi",2024,PMC11646392
Construction and SHAP interpretability analysis of a risk prediction model for feeding intolerance in preterm newborns based on machine learning.,"Xu, Peng, Peng, Wang, Zhou, Fu",2024,PMC11572196
